Variable:,pr
,Tunisia,Ariana,"Ben Arous",Bizerte,Beja,Gabes,Gafsa,Jendouba,Kairouan,Kasserine,Kebili,"Le Kef",Mahdia,Manouba,Monastir,Medenine,Nabeul,Sfax,"Sidi Bouz",Siliana,Sousse,Tataouine,Tozeur,Tunis,Zaghouan
1901,272.41,477.59,461.64,534.75,571.31,205.72,255.39,640.27,440.68,452.15,139.98,586.14,312.79,514.58,334.54,190.01,447.58,280.50,334.74,540.48,378.33,112.28,164.58,462.70,471.61
1902,253.59,471.00,446.90,537.23,560.40,195.62,214.95,650.08,369.03,363.88,138.78,548.39,272.61,501.85,303.33,188.10,435.30,256.01,275.67,498.71,337.02,114.56,167.12,448.60,444.21
1903,284.17,500.57,476.19,559.85,584.26,223.00,268.49,669.68,426.90,457.85,156.96,610.74,334.00,526.63,333.23,201.59,463.30,307.58,349.38,555.39,377.25,115.77,186.80,477.50,481.69
1904,274.72,486.93,464.69,549.96,576.22,204.83,248.17,653.90,412.92,459.94,137.85,586.96,297.81,518.90,328.70,227.91,452.17,279.97,318.43,542.25,371.07,119.94,160.58,465.90,472.18
1905,265.19,491.52,467.41,561.95,590.00,179.42,226.65,662.12,464.10,444.60,118.21,581.46,330.23,531.85,358.82,186.69,457.25,274.61,324.48,544.66,393.39,101.42,139.86,468.80,473.77
1906,313.48,525.15,503.41,613.57,658.88,227.84,275.15,776.32,515.09,484.85,163.75,665.58,371.92,579.83,406.88,260.29,484.71,323.50,362.43,604.77,431.34,137.51,190.78,505.10,514.20
1907,219.27,439.35,420.89,519.53,557.05,127.26,159.14,662.04,368.79,377.96,84.09,594.31,229.77,486.38,252.02,134.57,398.71,190.32,230.58,521.79,311.37,77.91,92.40,422.30,431.16
1908,199.34,468.74,440.41,538.83,553.30,94.88,125.43,650.51,330.92,308.39,74.04,532.85,216.16,493.42,262.25,106.42,424.63,161.27,176.46,473.59,316.68,69.48,105.01,442.40,428.78
1909,265.85,457.56,435.25,523.68,547.26,199.96,239.19,608.94,427.39,436.34,135.88,546.23,333.24,487.92,354.29,201.27,428.56,288.57,331.34,506.72,363.29,116.72,152.04,436.90,433.08
1910,231.91,488.04,460.95,560.29,585.61,138.91,178.34,640.88,393.06,393.23,95.62,559.96,278.34,522.14,312.40,135.58,453.21,221.77,251.28,533.32,353.22,76.37,118.74,462.70,460.29
1911,316.23,543.64,521.25,592.89,623.67,237.89,286.29,653.47,523.63,507.83,171.93,632.60,433.46,565.58,438.97,238.89,518.44,369.34,389.34,607.81,448.62,131.08,215.34,522.80,518.58
1912,245.84,506.56,483.57,543.90,555.60,174.17,212.17,524.97,385.86,367.12,127.78,455.80,305.02,516.64,370.38,182.47,491.30,256.45,273.69,474.44,398.81,101.70,161.46,485.20,474.34
1913,238.77,390.18,373.29,455.29,488.37,189.12,226.74,527.51,384.28,408.95,124.76,472.14,271.07,428.83,290.41,187.21,364.00,250.07,307.93,462.76,309.61,103.86,147.25,374.80,377.11
