Variable:,pr
,Niger,Agadez,Diffa,Dosso,Maradi,Niamey,Tahoua,Tillaberi,Zinder
1901,164.12,48.33,133.86,601.38,429.18,530.21,284.46,453.55,251.93
1902,163.78,48.33,133.86,597.62,429.18,526.35,284.46,450.51,251.93
1903,163.50,48.33,133.86,597.52,429.18,525.76,284.46,446.86,251.93
1904,164.08,48.33,134.86,596.99,429.18,526.91,284.46,452.96,251.93
1905,166.84,49.01,134.23,571.40,492.60,486.27,284.68,421.26,280.26
1906,177.99,49.42,139.67,629.51,516.32,573.06,293.58,488.61,295.71
1907,173.73,51.69,146.34,535.73,472.33,502.36,277.55,434.40,322.84
1908,159.92,48.23,131.78,536.51,422.17,492.48,266.12,427.90,265.90
1909,197.80,49.02,147.76,827.29,521.59,744.74,326.18,623.33,297.02
1910,152.28,47.63,131.30,522.99,403.50,451.16,269.81,390.22,235.84
1911,170.60,46.62,143.67,720.34,438.26,600.39,300.80,498.42,233.32
1912,135.54,45.35,119.30,458.53,339.61,409.43,250.16,359.41,186.91
1913,122.65,45.51,94.30,430.50,297.21,346.67,228.10,309.49,171.71
1914,150.20,48.25,120.07,495.64,426.10,401.85,278.93,349.84,246.32
1915,150.61,48.20,135.96,470.88,459.28,342.52,279.82,299.26,261.32
1916,178.48,51.32,139.55,587.50,528.48,498.20,291.99,424.13,339.09
1917,138.90,47.44,122.14,401.81,402.84,317.99,244.23,290.26,245.47
1918,195.98,52.00,136.37,712.66,575.98,622.31,332.41,519.65,351.86
1919,173.34,47.21,121.94,736.43,453.81,638.70,322.81,525.36,234.36
1920,179.46,49.86,151.81,614.97,543.67,480.43,313.60,420.69,317.23
1921,170.32,50.82,127.37,639.79,465.65,501.95,310.63,451.51,262.09
1922,200.83,59.98,160.28,683.81,566.72,589.23,355.98,509.24,331.31
1923,185.41,58.60,108.01,725.90,476.50,642.15,346.61,541.51,266.60
1924,199.68,51.92,162.52,787.06,524.40,680.93,358.53,580.29,296.59
1925,183.53,50.75,145.16,721.48,489.52,636.53,321.25,513.41,280.82
1926,135.67,36.57,110.83,494.77,367.40,435.31,219.77,367.85,235.04
1927,225.86,68.85,201.36,871.19,556.30,777.68,377.37,629.41,326.22
