Variable:,pr
,Jamaica,Clarendon,Hanover,Manchester,Portland,"Saint Andrew And Kingston","Saint Ann","Saint Catherine","Saint Elizabeth","Saint James","Saint Mary","Saint Thomas",Trelawny,Westmoreland
1901,2693.58,2345.09,2226.72,2435.69,3298.53,3449.07,2263.44,2753.87,2492.42,2555.54,3512.12,2839.62,2531.46,2300.86
1902,1706.87,1478.09,1391.60,1534.10,2077.55,2169.99,1463.94,1738.84,1572.70,1623.76,2224.26,1765.13,1613.78,1444.05
1903,1906.67,1670.43,1533.91,1717.30,2304.13,2415.04,1664.65,1951.03,1749.69,1801.02,2480.73,1953.72,1796.24,1594.24
1904,2411.39,2134.52,2002.19,2206.27,2907.95,2997.70,2069.28,2459.99,2250.98,2301.69,3028.37,2594.82,2284.50,2069.71
1905,3260.50,2886.48,2613.09,2946.50,3991.14,4150.61,2821.16,3360.30,2981.32,3041.87,4227.22,3452.61,3032.81,2709.66
1906,3188.64,2806.14,2624.77,2931.88,3786.26,3924.30,2743.34,3223.42,3016.13,3110.10,3993.68,3306.84,3082.80,2733.96
1907,1309.52,1126.06,1121.40,1200.81,1554.47,1620.46,1095.50,1310.06,1252.36,1298.36,1650.52,1349.42,1280.36,1161.68
1908,1971.38,1764.29,1545.42,1699.70,2576.15,2711.69,1735.20,2121.66,1646.82,1631.80,2777.54,2165.53,1650.96,1564.86
1909,2738.89,2419.53,2243.58,2509.28,3291.66,3402.79,2346.81,2788.81,2565.99,2633.55,3443.35,2918.92,2613.88,2331.60
1910,2881.22,2561.73,2290.73,2578.51,3586.58,3737.98,2495.85,3003.98,2581.35,2614.77,3801.25,3111.96,2614.98,2363.77
1911,1456.25,1295.20,1116.66,1259.24,1870.57,1967.12,1298.94,1551.87,1231.14,1238.08,2022.89,1568.26,1253.78,1144.19
1912,1262.87,1137.38,926.82,1057.24,1704.01,1787.59,1139.13,1388.97,995.95,980.68,1830.46,1439.58,1007.03,939.21
1913,1491.61,1289.13,1208.64,1353.66,1787.68,1864.98,1275.72,1506.41,1398.78,1451.71,1908.07,1535.86,1440.72,1263.74
1914,1016.26,905.73,799.43,873.80,1310.69,1377.73,911.40,1087.04,849.48,851.23,1416.21,1102.27,863.48,811.35
1915,4377.06,3851.70,3514.19,4010.09,5237.89,5425.20,3765.93,4443.26,4114.77,4240.26,5511.78,4591.23,4210.35,3677.63
1916,3389.17,2946.40,2689.40,3085.52,4082.56,4248.44,2882.87,3436.68,3178.78,3290.53,4323.47,3552.26,3265.17,2825.11
1917,2259.52,1978.52,1864.78,2074.53,2680.07,2790.52,1936.07,2280.85,2139.58,2209.76,2845.40,2325.90,2189.71,1942.70
1918,2094.19,1813.40,1709.20,1952.95,2403.16,2492.76,1794.54,2067.97,2052.80,2150.56,2546.59,2087.61,2124.43,1808.98
1919,3024.20,2671.45,2381.72,2731.65,3647.51,3808.24,2667.93,3101.74,2772.77,2851.44,3906.88,3107.17,2850.27,2487.62
1920,1184.78,1040.89,1009.88,1098.00,1379.52,1424.17,1023.08,1185.43,1137.65,1178.26,1446.30,1221.25,1166.47,1048.19
1921,2197.26,1948.85,1788.00,2003.12,2628.98,2737.05,1922.76,2245.17,2038.76,2090.64,2793.38,2280.30,2083.26,1856.34
1922,1462.81,1304.24,1195.70,1325.19,1769.63,1837.01,1286.41,1506.25,1337.44,1365.95,1869.78,1545.08,1364.76,1234.36
1923,1970.39,1753.78,1567.30,1790.05,2359.52,2452.80,1748.24,2020.56,1814.40,1860.98,2504.29,2050.50,1861.33,1633.72
1924,2545.41,2290.18,1978.33,2242.46,3257.87,3385.67,2228.23,2706.86,2197.77,2196.68,3429.77,2857.24,2213.00,2027.62
1925,1628.32,1433.54,1285.04,1451.97,2010.90,2099.68,1422.94,1686.60,1462.83,1494.86,2148.19,1720.52,1496.73,1332.59
1926,1734.95,1532.56,1431.94,1573.97,2110.22,2202.64,1487.24,1781.40,1598.57,1631.71,2241.99,1830.01,1622.80,1477.25
1927,2005.02,1753.75,1628.34,1823.04,2431.45,2526.15,1701.46,2045.00,1867.26,1918.59,2558.25,2148.51,1904.66,1694.17
1928,1811.13,1579.54,1499.74,1662.75,2171.86,2255.05,1520.24,1830.19,1716.97,1769.57,2284.91,1913.04,1749.17,1560.77
1929,1252.73,1113.35,1045.78,1126.27,1550.29,1616.34,1076.41,1301.00,1131.07,1143.23,1641.07,1351.33,1140.06,1068.05
1930,1598.92,1426.55,1222.08,1391.22,2039.92,2138.36,1426.94,1699.83,1362.98,1373.47,2190.56,1736.70,1389.78,1256.39
1931,2897.24,2533.67,2310.33,2603.33,3569.33,3734.92,2468.75,2983.18,2645.50,2709.75,3807.74,3069.24,2697.24,2400.53
1932,2051.07,1809.71,1612.75,1847.37,2499.05,2597.85,1794.46,2110.10,1871.52,1920.44,2650.21,2165.57,1919.52,1682.29
1933,3416.89,3010.58,2777.19,3113.19,4168.67,4302.06,2900.47,3495.69,3174.97,3249.62,4343.94,3698.72,3224.98,2883.69
1934,2529.26,2261.08,1925.04,2229.13,3186.71,3339.51,2244.42,2670.78,2200.55,2223.08,3418.38,2713.85,2242.25,1992.31
1935,2103.58,1879.85,1706.10,1911.09,2564.89,2659.07,1823.56,2172.93,1926.50,1957.92,2690.96,2271.37,1952.84,1763.04
1936,3039.15,2639.45,2507.45,2782.95,3632.40,3785.25,2568.34,3064.82,2879.79,2977.52,3857.83,3138.54,2944.17,2613.41
1937,2907.96,2584.18,2220.69,2564.51,3650.30,3815.78,2574.85,3055.05,2545.27,2585.41,3904.36,3118.53,2603.49,2302.98
1938,2172.60,1906.19,1817.84,2008.86,2576.46,2670.25,1835.96,2187.80,2076.10,2141.05,2707.28,2265.32,2116.12,1891.04
1939,2234.23,1973.49,1748.59,2014.07,2726.47,2838.16,1948.38,2300.98,2039.04,2091.92,2895.38,2353.14,2090.58,1826.21
1940,2230.47,2033.83,1693.92,1947.20,2840.54,2990.69,2031.70,2393.92,1879.71,1874.16,3080.65,2371.81,1905.44,1734.38
1941,1922.76,1729.13,1457.26,1680.14,2423.66,2563.28,1741.77,2042.01,1642.45,1656.74,2655.89,1991.98,1679.55,1502.26
1942,3016.11,2639.85,2425.10,2695.03,3737.86,3910.02,2584.07,3115.75,2727.48,2786.09,3995.08,3197.44,2776.28,2506.43
1943,2128.02,1872.39,1673.04,1937.74,2546.25,2656.12,1854.66,2166.10,1982.12,2047.08,2721.19,2179.74,2039.40,1757.33
1944,2417.78,2049.45,2073.38,2212.89,2933.06,3034.19,1937.51,2419.64,2321.44,2403.03,3043.79,2637.63,2357.11,2148.42
1945,2541.03,2247.44,1997.73,2229.65,3253.78,3389.78,2192.03,2685.10,2208.08,2222.20,3433.33,2851.01,2230.96,2048.63
1946,1701.79,1515.34,1338.91,1537.58,2069.66,2154.35,1497.73,1756.39,1550.45,1584.10,2200.28,1786.14,1585.12,1394.26
1947,1966.60,1749.47,1587.98,1755.92,2441.24,2567.20,1710.77,2053.44,1754.95,1774.33,2627.06,2074.36,1775.75,1630.14
1948,2669.13,2316.31,2243.80,2439.00,3191.02,3306.80,2267.01,2690.36,2523.10,2605.43,3359.89,2790.87,2580.08,2326.25
1949,2087.83,1832.19,1681.73,1864.86,2588.91,2717.63,1788.39,2164.10,1882.64,1918.77,2772.70,2219.54,1913.55,1735.37
1950,2409.76,2140.94,1949.12,2173.51,2941.77,3077.09,2104.80,2489.15,2191.68,2235.12,3151.23,2493.16,2231.27,2013.47
1951,2049.18,1765.93,1680.49,1864.32,2501.65,2584.66,1703.97,2070.51,1929.54,1984.48,2626.09,2173.44,1965.51,1750.25
1952,2096.36,1856.80,1700.61,1909.78,2506.91,2652.33,1815.47,2153.30,1943.03,1987.51,2705.40,2164.13,1978.81,1765.43
1953,2118.27,1877.79,1706.97,1931.17,2526.50,2666.55,1841.06,2173.69,1965.13,2008.89,2716.64,2208.78,2003.79,1775.74
1954,2398.33,2074.50,1912.98,2136.83,2987.38,3058.79,2067.30,2447.58,2179.92,2252.45,3139.48,2510.05,2242.68,1989.14
1955,2157.81,1873.45,1769.10,1946.27,2673.99,2757.02,1810.09,2201.63,1992.23,2037.05,2805.98,2311.99,2021.75,1830.22
1956,2041.87,1754.69,1619.59,1837.66,2517.24,2607.55,1714.68,2076.15,1893.27,1953.37,2656.98,2162.03,1940.11,1695.60
1957,1809.90,1577.70,1479.75,1652.61,2131.19,2220.45,1581.33,1821.06,1706.84,1780.72,2280.32,1811.15,1764.90,1546.73
1958,2848.95,2553.63,2329.17,2574.57,3419.84,3623.25,2529.52,2960.04,2585.12,2622.43,3695.48,2964.48,2629.53,2396.50
1959,1792.03,1589.59,1377.59,1584.21,2250.76,2351.01,1575.66,1876.73,1576.65,1603.25,2411.39,1905.02,1609.28,1427.95
1960,2859.34,2523.65,2247.83,2581.74,3476.78,3638.76,2486.73,2942.63,2618.12,2681.92,3719.15,2987.34,2677.95,2345.89
1961,2322.53,2051.78,1827.19,2064.71,2923.74,3033.02,2005.20,2422.00,2067.20,2097.00,3088.35,2522.29,2097.41,1887.80
1962,1674.61,1474.91,1350.37,1518.87,2029.62,2145.13,1429.24,1724.32,1545.37,1577.50,2182.68,1758.75,1569.39,1401.81
1963,3259.01,2908.79,2535.10,2880.10,4116.43,4330.92,2846.60,3444.47,2849.17,2855.93,4417.85,3536.59,2876.73,2608.74
1964,2072.56,1784.43,1702.56,1866.66,2520.59,2624.20,1763.47,2101.14,1923.76,1997.29,2686.46,2132.71,1976.18,1768.12
1965,1775.40,1572.91,1368.95,1556.43,2276.61,2370.77,1542.66,1875.18,1539.18,1548.99,2417.90,1955.05,1557.93,1409.61
1966,2573.01,2236.98,2025.69,2256.89,3272.21,3388.74,2219.94,2674.33,2267.05,2320.60,3474.19,2756.84,2320.32,2091.77
1967,1249.16,1092.59,1003.35,1107.31,1557.89,1631.00,1078.81,1296.73,1115.59,1141.15,1667.40,1323.66,1138.27,1034.08
1968,1763.92,1554.76,1426.89,1587.48,2161.53,2275.90,1512.95,1824.87,1605.82,1637.90,2316.67,1867.83,1631.53,1474.52
1969,2613.19,2303.34,2149.40,2349.42,3194.31,3355.31,2259.52,2698.31,2376.99,2421.29,3425.13,2742.85,2415.14,2211.33
1970,2559.18,2269.67,2008.18,2299.55,3125.11,3329.53,2219.82,2664.78,2314.05,2344.02,3403.96,2683.66,2352.22,2085.96
1971,1986.30,1770.15,1588.90,1799.93,2403.53,2525.27,1732.86,2054.44,1816.21,1852.13,2568.59,2094.77,1849.19,1648.26
1972,2192.83,1932.45,1713.67,1958.10,2692.88,2814.04,1928.78,2266.80,1974.31,2024.54,2887.87,2288.37,2026.67,1783.57
1973,2389.96,2118.38,1903.87,2120.27,3022.03,3141.58,2060.51,2504.50,2113.47,2133.24,3191.94,2620.01,2134.67,1955.49
1974,2305.86,2044.80,1858.98,2094.75,2797.63,2947.65,1977.49,2380.31,2122.88,2157.13,2995.22,2439.44,2151.64,1927.28
1975,1791.70,1607.47,1441.88,1626.70,2193.03,2313.08,1534.95,1868.97,1631.97,1639.93,2337.11,1951.28,1640.18,1487.73
1976,1388.56,1223.27,1082.96,1215.11,1758.46,1837.43,1221.93,1457.83,1207.23,1233.40,1884.89,1476.63,1235.48,1115.79
1977,2011.71,1764.40,1604.48,1773.44,2509.54,2622.57,1771.87,2091.35,1778.86,1826.28,2698.43,2088.73,1822.84,1652.57
