Variable:,pr
1901,560.72
1902,560.72
1903,560.72
1904,560.72
1905,560.72
1906,560.72
1907,560.72
1908,560.72
1909,560.72
1910,560.72
1911,560.72
1912,560.72
1913,560.72
1914,560.72
1915,560.72
1916,560.72
1917,560.72
1918,560.72
1919,560.72
1920,560.72
1921,560.72
1922,560.72
1923,560.72
1924,560.72
1925,560.72
1926,560.72
1927,560.72
1928,560.72
1929,560.72
1930,560.72
1931,560.72
1932,560.72
1933,560.72
1934,560.72
1935,560.72
1936,560.72
1937,560.72
1938,560.72
1939,560.72
1940,560.72
1941,560.72
1942,560.72
1943,560.72
1944,560.72
1945,560.72
1946,560.72
1947,560.72
1948,560.72
1949,560.72
1950,560.72
1951,560.72
1952,560.72
1953,560.72
1954,560.72
1955,560.72
1956,560.72
1957,560.72
1958,560.72
1959,560.72
1960,560.72
1961,560.72
1962,560.72
1963,560.72
1964,560.72
1965,560.72
1966,560.72
1967,560.72
1968,560.72
1969,560.72
1970,560.72
1971,560.72
1972,560.72
1973,560.72
1974,560.72
1975,560.72
1976,560.72
1977,560.72
1978,560.72
1979,560.72
1980,560.72
1981,560.72
1982,560.72
1983,560.72
1984,560.72
1985,560.72
1986,560.72
1987,560.72
1988,560.72
1989,560.72
1990,560.72
1991,560.72
1992,560.72
1993,560.72
1994,560.72
1995,560.72
1996,560.72
1997,560.72
1998,560.72
1999,560.72
2000,560.72
2001,560.72
2002,560.72
2003,560.72
2004,560.72
2005,560.72
2006,560.72
2007,560.72
2008,560.72
2009,560.72
2010,560.72
2011,560.72
2012,560.72
2013,560.72
2014,560.72
2015,560.72
2016,560.72
2017,560.72
2018,560.72
2019,560.72
2020,560.72
