Variable:,pr
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
1901,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1902,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1903,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1904,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1905,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1906,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1907,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1908,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1909,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1910,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1911,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1912,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1913,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1914,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1915,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1916,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1917,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1918,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1919,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1920,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1921,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1922,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1923,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1924,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1925,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1926,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1927,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1928,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1929,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1930,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1931,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1932,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1933,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1934,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1935,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1936,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1937,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1938,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1939,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1940,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1941,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1942,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
1943,1941.77,1111.00,1860.00,1956.00,1956.00,1948.41,1955.82,1894.20,1919.35,1956.00,1939.96
