Variable:,pr
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
1901,1916.20,1916.20,1916.20,1916.20,1916.20,1969.45,1916.20,1916.20,1916.20,1916.20
1902,2126.70,2126.70,2126.70,2126.70,2126.70,2149.35,2126.70,2126.70,2126.70,2126.70
1903,2287.70,2287.70,2287.70,2287.70,2287.70,2359.59,2287.70,2287.70,2287.70,2287.70
1904,2084.30,2084.30,2084.30,2084.30,2084.30,2147.88,2084.30,2084.30,2084.30,2084.30
1905,2232.80,2232.80,2232.80,2232.80,2232.80,2284.92,2232.80,2232.80,2232.80,2232.80
1906,2562.60,2562.60,2562.60,2562.60,2562.60,2622.91,2562.60,2562.60,2562.60,2562.60
1907,1932.40,1932.40,1932.40,1932.40,1932.40,1966.83,1932.40,1932.40,1932.40,1932.40
1908,2159.30,2159.30,2159.30,2159.30,2159.30,2210.67,2159.30,2159.30,2159.30,2159.30
1909,2308.60,2308.60,2308.60,2308.60,2308.60,2357.73,2308.60,2308.60,2308.60,2308.60
1910,2261.90,2261.90,2261.90,2261.90,2261.90,2313.11,2261.90,2261.90,2261.90,2261.90
1911,2167.30,2167.30,2167.30,2167.30,2167.30,2221.22,2167.30,2167.30,2167.30,2167.30
1912,2335.00,2335.00,2335.00,2335.00,2335.00,2395.27,2335.00,2335.00,2335.00,2335.00
1913,2999.90,2999.90,2999.90,2999.90,2999.90,3063.59,2999.90,2999.90,2999.90,2999.90
1914,2224.80,2224.80,2224.80,2224.80,2224.80,2276.32,2224.80,2224.80,2224.80,2224.80
1915,2295.30,2295.30,2295.30,2295.30,2295.30,2348.30,2295.30,2295.30,2295.30,2295.30
1916,2177.80,2177.80,2177.80,2177.80,2177.80,2230.97,2177.80,2177.80,2177.80,2177.80
1917,2606.80,2606.80,2606.80,2606.80,2606.80,2654.02,2606.80,2606.80,2606.80,2606.80
1918,2341.10,2341.10,2341.10,2341.10,2341.10,2401.41,2341.10,2341.10,2341.10,2341.10
1919,2281.70,2281.70,2281.70,2281.70,2281.70,2335.58,2281.70,2281.70,2281.70,2281.70
1920,2088.40,2088.40,2088.40,2088.40,2088.40,2140.99,2088.40,2088.40,2088.40,2088.40
1921,2528.20,2528.20,2528.20,2528.20,2528.20,2587.51,2528.20,2528.20,2528.20,2528.20
1922,2291.90,2291.90,2291.90,2291.90,2291.90,2347.39,2291.90,2291.90,2291.90,2291.90
1923,2084.40,2084.40,2084.40,2084.40,2084.40,2140.31,2084.40,2084.40,2084.40,2084.40
1924,2516.20,2516.20,2516.20,2516.20,2516.20,2581.05,2516.20,2516.20,2516.20,2516.20
1925,2858.00,2858.00,2858.00,2858.00,2858.00,2921.04,2858.00,2858.00,2858.00,2858.00
1926,2158.20,2158.20,2158.20,2158.20,2158.20,2218.41,2158.20,2158.20,2158.20,2158.20
1927,2524.80,2524.80,2524.80,2524.80,2524.80,2577.99,2524.80,2524.80,2524.80,2524.80
1928,2494.60,2494.60,2494.60,2494.60,2494.60,2547.98,2494.60,2494.60,2494.60,2494.60
1929,2005.20,2005.20,2005.20,2005.20,2005.20,2056.71,2005.20,2005.20,2005.20,2005.20
1930,2174.10,2174.10,2174.10,2174.10,2174.10,2224.95,2174.10,2174.10,2174.10,2174.10
1931,2569.00,2569.00,2569.00,2569.00,2569.00,2640.65,2569.00,2569.00,2569.00,2569.00
1932,2126.30,2126.30,2126.30,2126.30,2126.30,2186.04,2126.30,2126.30,2126.30,2126.30
1933,2428.00,2428.00,2428.00,2428.00,2428.00,2485.63,2428.00,2428.00,2428.00,2428.00
1934,2579.70,2579.70,2579.70,2579.70,2579.70,2621.28,2579.70,2579.70,2579.70,2579.70
1935,2131.50,2131.50,2131.50,2131.50,2131.50,2190.98,2131.50,2131.50,2131.50,2131.50
1936,2252.80,2252.80,2252.80,2252.80,2252.80,2308.22,2252.80,2252.80,2252.80,2252.80
1937,2363.90,2363.90,2363.90,2363.90,2363.90,2417.78,2363.90,2363.90,2363.90,2363.90
1938,2251.80,2251.80,2251.80,2251.80,2251.80,2305.05,2251.80,2251.80,2251.80,2251.80
1939,2395.20,2395.20,2395.20,2395.20,2395.20,2458.44,2395.20,2395.20,2395.20,2395.20
1940,1877.60,1877.60,1877.60,1877.60,1877.60,1930.36,1877.60,1877.60,1877.60,1877.60
1941,2251.00,2251.00,2251.00,2251.00,2251.00,2297.00,2251.00,2251.00,2251.00,2251.00
