Variable:,pr
,Indonesia,"Nangroe Aceh Darussalam",Bali,Bengkulu,"Daerah Istimewa Yogyakarta","Dki Jakarta",Jambi,"Jawa Tengah","Jawa Timur","Kalimantan Barat","Kalimantan Selatan","Kalimantan Tengah","Kalimantan Timur",Lampung,"Nusatenggara Barat","Nusatenggara Timur","Sulawesi Tengah","Sulawesi Tenggara","Sumatera Barat","Sumatera Utara",Maluku,"Maluku Utara","Bangka Belitung",Banten,Gorontalo,"Papua Barat","Jawa Barat",Papua,"Sulawesi Utara","Sumatera Selatan",Kepulauan-riau,Riau,"Sulawesi Barat","Sulawesi Selatan"
1901,2780.28,2297.53,2374.79,3260.88,2202.53,2343.10,2703.08,2596.19,2147.83,3184.41,2425.89,2948.82,2839.19,2587.96,2023.84,1808.40,2275.44,2324.00,3529.77,2304.70,2740.47,2332.44,2618.10,3132.03,2042.75,3111.17,2803.12,3253.34,2147.91,2495.37,2230.51,2340.70,2701.14,2737.98
1902,2621.93,2229.85,1975.28,3012.32,1679.98,1584.90,2338.26,1932.99,1697.70,3255.87,2376.84,2853.86,2902.59,2050.32,1807.60,1499.39,2257.80,2324.00,2883.72,2805.50,2210.46,1994.60,1810.12,2111.18,1786.04,2578.35,1882.14,3200.95,1634.26,2042.46,2221.93,2376.77,2701.14,2737.98
1903,2864.34,2251.90,2081.16,3378.23,2513.38,2354.70,3024.24,2975.59,2270.06,3263.29,2434.35,2966.49,2789.22,2641.58,1691.37,1755.34,2282.80,2324.00,3967.85,2678.19,2822.17,2391.08,2948.48,3298.85,2058.84,3321.20,2961.74,3230.26,2210.63,2726.03,2624.63,2633.30,2701.14,2737.98
1904,2846.41,2381.77,2191.13,3176.72,2717.38,2627.00,2694.64,3209.59,2569.66,3088.08,2417.74,2992.58,2828.86,2874.06,1663.05,1920.98,2283.62,2324.00,3253.22,2606.47,2770.88,2427.56,2993.76,3744.80,2168.62,3284.21,3319.57,3228.52,2443.12,2729.96,2443.43,2342.92,2701.14,2737.98
1905,2766.05,2221.70,1798.52,3249.64,2075.43,1791.40,2766.32,2451.32,1931.21,3356.06,2398.25,3018.38,2755.83,2166.61,1554.29,1644.67,2264.21,2324.00,3605.81,2825.40,2670.20,2272.03,2579.57,2392.67,1814.16,3117.38,2274.30,3216.57,1690.73,2427.98,2400.50,2589.30,2701.14,2737.98
1906,2936.09,2522.46,2779.69,3322.88,2865.08,2372.90,2921.94,3401.57,2790.45,3520.90,2453.82,3168.72,2776.71,2710.45,2169.00,1648.18,2269.19,2324.00,3857.56,2986.42,2667.02,2293.27,3017.69,3470.71,1937.91,2986.56,3214.60,3239.61,1942.55,2705.53,2707.16,2873.53,2701.14,2737.98
1907,2815.41,2687.39,2121.53,3243.72,2379.99,2240.70,2618.44,2686.94,2166.61,3434.96,2418.54,3029.85,2820.61,2723.14,1790.79,1528.35,2286.61,2303.87,3521.12,2783.73,2477.16,2248.78,2540.04,3130.66,2123.07,2954.10,2774.43,3224.89,2349.98,2488.50,2164.97,2445.30,2700.98,2733.46
1908,2874.92,2599.69,2215.00,3169.54,2586.32,2253.70,2681.63,3074.39,2495.44,3121.73,2446.30,2931.88,2735.55,2848.68,1791.37,1669.19,2318.90,2636.29,3201.17,2766.71,2753.28,2361.04,3252.32,3213.24,1900.93,3615.59,2944.86,3276.67,1891.66,2942.08,2465.15,2492.13,2730.12,2895.56
1909,3014.50,2409.25,2472.78,3303.37,2817.30,2885.10,2792.16,3458.21,2787.76,3612.40,2495.65,3208.18,2805.91,2991.13,1804.00,1762.16,2419.23,2859.25,3550.21,2643.95,3004.43,2531.72,2921.43,4086.28,2164.17,3773.74,3687.99,3285.05,2418.04,2742.58,2513.38,2623.29,2747.15,3019.05
1910,3073.91,2533.96,2332.97,3188.12,2871.39,2402.10,2702.71,3319.51,2540.25,3677.41,2455.78,3255.62,3171.05,2683.28,2227.88,2148.47,2413.79,3181.31,3248.54,2787.57,3074.80,2580.96,2988.37,3423.25,2398.69,4085.89,3229.77,3278.85,2913.34,2745.73,2534.56,2508.45,2753.17,3123.46
