Variable:,pr
,Guinea,Boke,Conakry,Faranah,Kankan,Kindia,Mamou,Nzerekore,Labe
1901,1736.20,1880.46,2551.61,1670.62,1475.35,2181.74,1778.75,1923.41,1570.43
1902,1674.37,1728.27,2551.61,1604.69,1449.84,2173.72,1746.02,1923.41,1333.40
1903,1768.76,1869.22,2684.36,1683.32,1503.19,2290.19,1823.47,2032.77,1480.01
1904,1985.34,2216.31,3252.77,1941.06,1572.27,2860.45,2308.49,1940.67,1770.40
1905,1931.59,2042.43,3103.79,1891.97,1594.35,2591.30,2068.41,2082.00,1730.46
1906,2193.43,2304.47,3421.86,2161.55,1819.00,2930.89,2326.35,2456.67,1821.45
1907,1668.54,1656.22,2361.95,1611.63,1474.98,2025.84,1679.70,1985.92,1415.22
1908,1950.74,1874.73,2571.16,1967.91,1806.69,2300.53,1905.50,2338.01,1452.79
1909,1762.39,1789.32,2507.90,1685.74,1539.09,2130.96,1770.16,2074.08,1578.69
1910,1705.77,1825.34,2400.59,1634.98,1474.88,2105.35,1743.46,1972.61,1420.40
1911,1725.77,1738.66,2444.91,1654.32,1495.06,2110.49,1750.47,2072.71,1486.02
1912,1808.03,1967.83,3226.93,1667.04,1459.25,2665.34,2009.28,1947.62,1455.41
1913,1721.43,1601.51,2490.25,1662.84,1537.23,2127.55,1761.51,2111.64,1388.35
1914,1605.98,1923.26,2387.22,1471.93,1374.48,2009.46,1544.31,1768.70,1389.66
1915,1867.69,1828.25,2651.83,1881.29,1629.45,2316.84,1925.50,2214.75,1484.85
1916,1815.34,1969.61,2834.27,1719.47,1511.69,2401.73,1904.95,2086.00,1468.80
1917,1660.25,1803.10,2347.31,1585.07,1464.92,2021.61,1621.36,1904.91,1378.04
1918,1985.57,2337.67,2761.59,1875.41,1564.52,2637.23,2353.40,1973.60,1933.29
1919,1792.35,1952.11,2598.51,1736.53,1508.90,2305.09,1982.98,1848.24,1676.71
1920,1756.67,1981.68,2650.45,1725.82,1410.02,2372.59,2035.90,1752.12,1613.64
1921,1733.72,1936.93,3022.11,1609.09,1393.69,2404.18,1765.52,2053.94,1336.65
1922,1888.16,1997.33,2913.50,1820.12,1632.87,2468.15,1961.18,2086.46,1548.10
1923,1793.60,1884.07,2694.26,1805.56,1523.27,2303.03,1896.67,1961.09,1513.69
1924,1941.08,2028.36,2870.28,1859.44,1653.68,2481.60,2054.31,2211.75,1654.38
1925,1865.85,1936.43,2695.94,1858.07,1620.71,2299.87,1925.59,2108.97,1568.84
1926,1772.52,1831.27,2574.41,1736.48,1535.80,2216.94,1839.36,2029.54,1469.47
1927,1976.56,2099.90,2624.72,1936.74,1767.00,2328.59,2030.75,2130.25,1799.14
1928,2021.54,2122.30,3040.19,1896.69,1723.41,2647.08,2107.97,2316.55,1696.31
1929,1951.09,2053.44,2633.51,1892.87,1706.04,2346.13,1993.26,2206.67,1734.62
1930,1687.28,1693.03,2215.52,1690.28,1477.22,1947.71,1720.67,1975.52,1517.22
1931,1953.29,1874.58,2932.27,1853.60,1736.38,2512.72,1966.99,2379.60,1503.17
1932,2001.36,2036.22,2972.69,1975.33,1736.66,2611.59,2133.85,2218.65,1616.02
1933,1967.74,2066.39,2730.15,1925.66,1709.18,2364.03,1998.29,2308.28,1642.81
1934,1729.68,1849.05,2509.14,1688.26,1521.31,2112.82,1742.49,1934.57,1463.48
1935,1776.87,2036.37,2659.98,1675.34,1539.97,2243.56,1835.75,1840.94,1593.26
1936,1940.30,2208.62,3005.37,1795.72,1654.73,2602.88,2000.68,2031.01,1681.05
1937,1805.40,1882.09,2569.04,1781.55,1517.42,2240.63,1945.28,2072.10,1561.66
1938,1911.39,1962.50,2618.29,1943.82,1661.96,2313.20,2061.11,2060.80,1714.87
1939,1800.75,1966.94,2744.67,1677.60,1524.91,2331.25,1858.09,2006.47,1593.53
1940,1725.20,1951.18,2559.76,1661.99,1386.71,2251.19,1878.42,1878.11,1562.01
1941,1696.14,1716.80,2267.01,1679.05,1449.26,2044.63,1793.64,1984.80,1497.25
1942,1699.33,1902.00,2700.87,1599.80,1446.32,2272.86,1747.89,1895.67,1300.33
1943,1870.15,2046.83,2941.43,1789.62,1524.21,2512.36,2023.10,2030.49,1666.01
1944,1719.07,1844.39,2726.04,1617.62,1469.94,2294.18,1731.05,2002.51,1303.06
1945,1853.18,1781.30,2460.81,1901.06,1668.87,2214.32,1984.24,2032.37,1613.17
1946,1891.99,1936.42,2889.66,1850.06,1655.44,2493.03,2009.36,2032.12,1574.95
1947,1736.15,1733.71,2427.46,1627.11,1551.93,2055.80,1608.62,2292.03,1290.01
1948,1807.43,1869.85,2725.93,1781.84,1673.41,2315.68,1877.27,1812.69,1481.98
1949,1737.02,1724.45,2612.44,1663.89,1557.16,2202.54,1734.73,2023.75,1388.12
1950,1842.69,2335.88,3004.49,1674.00,1603.94,2416.16,1879.91,1719.24,1624.77
1951,2181.95,2313.08,3163.06,2134.83,1831.26,2815.68,2383.43,2290.47,2059.80
1952,1823.70,2012.71,2608.18,1716.15,1556.00,2224.63,1857.62,2139.58,1533.06
1953,1954.59,1992.33,2968.21,1864.75,1748.81,2517.18,1972.43,2267.26,1469.18
1954,2203.20,2427.76,3525.11,2061.09,1876.98,2989.27,2290.09,2360.28,1839.63
1955,2071.29,2100.14,2841.58,2105.58,1767.07,2547.05,2203.25,2300.19,1872.03
1956,1780.09,2079.07,2884.47,1695.90,1469.13,2412.68,1866.33,1826.30,1549.41
1957,2078.98,2172.55,2649.32,2018.28,1841.14,2399.51,2176.39,2385.06,1822.54
1958,1955.53,2285.91,2796.64,1889.08,1654.69,2560.33,2128.01,1843.62,1848.37
1959,1831.42,1984.47,2724.01,1746.17,1535.27,2375.90,1973.46,2061.76,1525.35
1960,1844.26,1874.57,2620.61,1820.38,1627.92,2289.23,1959.29,2037.19,1564.58
1961,1809.49,2139.49,3025.20,1697.93,1451.24,2579.20,2037.42,1727.43,1654.33
1962,2022.80,2104.36,3072.14,1966.07,1694.54,2681.00,2200.48,2206.25,1781.75
1963,1851.45,1898.82,2601.60,1774.42,1568.65,2265.54,1892.93,2301.49,1520.36
1964,1906.21,2197.28,2825.34,1742.13,1650.54,2451.52,1972.48,1985.16,1707.22
1965,1814.20,2104.72,2762.11,1728.48,1468.03,2353.57,1878.79,1979.93,1647.82
1966,1953.79,1963.03,2969.71,1874.03,1687.05,2512.47,1993.43,2220.82,1745.05
1967,1882.38,1933.05,2747.86,1862.53,1697.49,2354.29,1997.27,1939.00,1653.80
1968,1712.41,1557.04,2367.45,1733.77,1532.29,2069.73,1770.45,2135.15,1283.90
1969,1981.51,2069.82,2988.42,1926.67,1757.36,2549.56,2025.65,2150.06,1634.30
1970,1633.77,1799.62,2506.31,1542.06,1456.97,2135.37,1681.74,1724.54,1293.60
1971,1682.24,1800.29,2571.16,1622.15,1460.01,2151.32,1682.67,1896.44,1379.53
1972,1612.50,1542.30,2262.87,1593.47,1407.17,1948.68,1683.42,2000.20,1285.42
1973,1603.38,1643.28,2367.27,1591.93,1346.10,2069.26,1758.92,1789.26,1374.12
1974,1718.65,1728.06,2372.22,1696.95,1571.49,2059.58,1755.57,1882.47,1479.47
1975,1733.63,1897.76,2381.82,1660.95,1538.20,2105.14,1794.79,1904.29,1447.50
1976,1858.46,2062.88,2863.08,1774.55,1568.76,2445.40,1895.84,2085.98,1490.02
1977,1479.62,1453.65,2237.15,1374.27,1282.56,1910.59,1465.13,1842.73,1187.41
1978,1763.02,1992.22,2558.03,1673.02,1490.01,2212.33,1775.12,2008.99,1480.62
1979,1627.45,1558.75,2381.90,1563.08,1470.73,2000.60,1604.56,1993.29,1273.98
1980,1512.25,1403.38,2224.53,1450.71,1369.40,1927.97,1581.67,1794.00,1179.86
1981,1738.62,1822.79,2508.73,1690.91,1499.28,2210.61,1820.90,1957.30,1443.75
1982,1587.89,1623.74,2504.57,1509.05,1387.69,2088.92,1597.16,1844.65,1243.45
1983,1445.79,1457.48,2449.97,1396.24,1195.56,2056.87,1579.63,1643.69,1109.92
1984,1447.15,1482.48,1961.28,1354.06,1241.74,1730.34,1469.43,1791.95,1263.69
1985,1558.92,1561.66,2414.55,1469.95,1293.30,2009.25,1629.97,1918.27,1333.60
1986,1536.13,1611.08,2239.60,1457.56,1355.16,1898.53,1527.30,1774.85,1293.08
