Variable:,pr
,Uruguay,Artigas,Canelones,"Cerro Largo",Colonia,Durazno,Flores,Florida,Lavalleja,Maldonado,Montevideo,Paysandu,"Rio Negro",Rivera,Rocha,Salto,"San Jose",Soriano,Tacuarembo,"Treinta Y Tres"
1901,944.46,1021.05,835.98,1133.89,765.62,933.14,842.83,867.27,884.37,828.55,824.60,864.29,831.75,1281.22,909.01,922.37,805.33,790.09,1083.52,1029.49
1902,1030.00,1059.79,935.88,1202.30,877.88,1058.30,962.83,986.97,997.78,935.26,924.40,949.68,925.53,1240.17,1033.44,996.20,924.22,882.75,1136.89,1131.23
1903,1193.40,1351.47,1090.29,1251.49,1042.54,1202.75,1132.38,1137.89,1130.28,1068.98,1072.10,1196.70,1138.58,1369.85,1115.75,1268.17,1074.30,1065.74,1282.97,1202.10
1904,1149.23,1477.63,901.27,1205.62,915.68,1150.83,1053.26,1012.93,941.96,826.79,881.70,1238.61,1120.12,1443.70,911.15,1397.88,933.68,993.57,1318.41,1083.17
1905,1081.66,1324.85,930.86,1180.94,928.53,1091.45,1006.43,996.93,954.72,858.61,920.10,1088.83,1016.14,1305.50,926.17,1193.13,937.32,947.60,1205.40,1076.64
1906,880.99,851.87,809.71,1109.64,766.75,915.26,810.72,839.43,838.11,762.96,805.30,798.74,764.25,1084.46,852.27,843.34,789.29,729.33,995.32,999.25
1907,937.29,1170.41,704.61,1096.51,802.07,934.76,844.59,794.29,734.74,623.61,697.00,976.21,883.60,1192.62,749.20,1105.57,753.76,818.83,1083.87,943.14
1908,1020.70,1136.22,855.96,1191.89,835.26,1022.16,923.41,920.48,946.76,884.22,849.20,990.73,950.44,1221.57,1029.82,1042.66,853.94,875.10,1117.89,1119.82
1909,998.80,988.13,884.75,1191.48,811.11,1025.13,912.76,955.55,1001.38,930.08,859.30,928.77,903.31,1169.59,1053.06,961.50,858.31,834.61,1089.83,1138.43
1910,855.72,962.18,690.09,1119.29,648.37,869.15,741.94,761.56,793.94,710.28,678.20,763.32,732.30,1100.82,882.71,812.87,683.05,672.62,974.29,1010.98
1911,1201.28,1164.15,1181.83,1277.05,1108.15,1231.10,1175.03,1222.12,1274.22,1211.55,1165.60,1132.66,1135.06,1216.04,1295.84,1132.70,1150.88,1108.00,1220.99,1313.50
1912,1454.62,1506.03,1426.30,1379.17,1318.01,1482.86,1430.10,1476.11,1490.82,1444.71,1400.00,1489.73,1433.30,1474.46,1454.52,1544.95,1388.95,1339.03,1490.81,1437.72
1913,1196.24,1303.43,1139.27,1239.28,1109.66,1205.90,1159.17,1163.29,1154.08,1104.92,1129.90,1190.97,1150.76,1289.50,1145.23,1251.32,1123.30,1108.46,1254.22,1207.45
1914,1694.30,1659.49,1766.89,1566.53,1580.34,1737.89,1678.80,1799.35,1899.40,1849.14,1756.20,1609.71,1598.98,1604.96,1910.79,1646.76,1695.76,1544.46,1684.14,1773.93
