Variable:,pr
,"Myanmar (Burma)",Rakhine,Chin,Ayeyawaddy,Kachin,Kayin,Kayar,Magway,Mandalay,Mon,Sagaing,Taninthayi,Yangon,"Bago (E)","Bago (W)","Shan (E)","Shan (N)","Shan (S)"
1901,2000.15,3509.04,2821.84,3108.86,1606.16,1827.16,1414.77,2328.76,1481.78,2478.80,1715.21,3216.36,2766.11,2109.44,2591.12,1335.57,1345.57,1306.75
1902,2081.99,4414.11,3220.12,3056.94,1716.41,1691.89,1415.34,2842.42,1602.69,2276.37,1732.44,2640.38,2637.66,2060.93,2721.50,1345.34,1349.57,1348.79
1903,1950.33,3404.47,2692.94,2956.08,1605.88,1685.36,1377.24,2280.15,1491.80,2299.25,1666.33,3116.93,2582.76,1983.63,2497.35,1344.89,1342.41,1363.41
1904,2259.70,3800.85,3486.24,2704.00,1587.91,1605.71,1579.95,3273.78,2258.58,2099.92,2035.91,2927.89,2329.40,1946.49,2480.39,1533.13,1962.84,1966.88
1905,2081.68,3473.28,2928.17,3168.72,1479.61,1819.39,1501.79,2511.95,1734.42,2477.95,1746.69,3308.81,2811.30,2152.32,2634.31,1418.53,1564.16,1609.35
1906,1997.03,3198.56,2673.31,3115.12,1542.66,1825.70,1495.17,2379.46,1619.86,2461.90,1699.75,2969.98,2812.03,2160.47,2555.16,1372.19,1478.07,1492.28
1907,1918.30,3853.01,2826.63,3192.94,1512.96,1794.16,1383.29,2369.91,1298.64,2421.23,1533.07,2754.05,2832.02,2140.49,2683.73,1300.48,1205.35,1121.27
1908,2064.88,4386.65,3141.15,3099.19,1658.37,1905.14,1402.77,2574.71,1339.30,2584.41,1620.70,3770.59,2688.16,2081.29,2691.91,1293.20,1163.74,1135.81
1909,2142.29,3609.34,2947.37,3210.65,1631.56,1902.91,1534.91,2695.30,1761.57,2580.99,1783.25,3418.71,2901.15,2230.91,2685.35,1418.23,1546.65,1548.72
1910,2357.79,3658.07,3251.95,3352.68,1795.14,2116.56,1704.48,2985.75,2056.94,2819.83,2074.61,3710.30,3036.37,2393.91,2825.82,1477.78,1770.40,1789.92
1911,2072.60,3253.56,3063.57,3150.08,1791.59,1603.30,1365.88,2505.30,1700.58,2183.30,2002.20,2885.83,2675.26,1995.00,2509.93,1254.67,1549.18,1407.15
1912,2098.95,4040.56,3143.20,2972.96,1554.70,1799.30,1436.10,2768.36,1675.95,2459.69,1761.48,3436.27,2661.09,2108.73,2690.84,1363.38,1376.34,1384.36
1913,2152.37,3913.90,3497.02,2979.38,1534.41,1696.79,1352.91,3037.26,1786.63,2349.61,1995.88,3332.89,2608.29,2002.25,2583.39,1296.06,1472.75,1411.18
