Variable:,pr
,Vietnam,"An Giang","Ben Tre","Dong Thap","Hai Phong City","Ho Chi Minh City","Kien Giang","Lam Dong","Long An","Quang Ninh","Son La","Tay Ninh","Thai Binh","Thanh Hoa","Tien Giang","Binh Dinh","Cao Bang","Khanh Hoa","Lang Son","Phu Yen","Quang Binh","Quang Ngai","Quang Tri","Thua Thien - Hue","Ba Ria-Vung Tau","Binh Thuan","Dong Nai","Gia Lai","Ha Giang","Ha Noi City","Ha Tay","Ha Tinh","Hoa Binh","Kon Tum","Nghe An","Ninh Binh","Ninh Thuan","Soc Trang","Tra Vinh","Tuyen Quang","Vinh Long","Yen Bai","Bac Kan","Bac Giang","Bac Lieu","Bac Ninh","Binh Duong","Binh Phuoc","Ca Mau","Da Nang City","Ha Nam","Hai Duong","Hung Yen","Nam Dinh","Phu Tho","Quang Nam","Thai Nguyen","Vinh Phuc","Can Tho city","Dak Lak","Dak Nong","Dien Bien","Hau Giang","Lai Chau","Lao Cai"
1901,1689.52,1955.28,1952.49,1868.39,1426.76,1929.07,2092.81,1804.04,1866.07,1357.90,1417.03,1700.33,1424.70,1531.11,1949.85,1844.53,983.00,1779.37,1168.70,1704.57,2309.61,1991.56,2376.58,2322.04,1904.46,1844.45,1880.55,1822.37,1052.22,1184.24,1264.12,2179.25,1337.56,2009.22,1895.98,1453.08,1844.19,2045.98,2006.86,1061.22,1967.49,1238.23,1040.58,1275.29,2164.92,1244.10,1824.37,1759.26,2057.05,2131.50,1389.24,1361.40,1380.39,1485.62,1179.84,2162.19,1122.31,1153.80,1991.15,1755.23,1767.28,1475.06,2069.42,1379.46,1297.84
1902,1696.83,1993.98,1997.24,1903.59,1524.47,1954.21,2138.91,1834.21,1893.11,1441.23,1360.95,1716.10,1497.97,1529.44,1988.70,1845.34,953.86,1798.39,1196.70,1712.73,2332.75,1991.56,2376.77,2322.04,1946.12,1884.18,1908.64,1829.45,1021.27,1159.91,1232.36,2230.74,1289.65,2010.24,1883.81,1494.53,1875.30,2106.54,2064.56,994.71,2011.12,1173.90,1004.54,1313.26,2224.49,1257.34,1842.33,1778.59,2103.01,2131.50,1406.63,1403.07,1409.20,1571.68,1102.45,2162.19,1096.00,1113.96,2035.94,1775.25,1792.34,1474.76,2125.14,1382.43,1289.45
1903,1746.00,1964.13,1965.50,1876.70,1527.72,1935.77,2105.17,1811.25,1872.43,1425.38,1543.63,1702.27,1553.04,1686.31,1960.82,1844.78,1099.76,1784.26,1273.59,1706.70,2304.46,1991.56,2376.56,2322.04,1916.61,1855.97,1888.15,1824.10,1224.21,1423.10,1486.45,2154.09,1551.91,2009.46,1896.84,1624.46,1852.75,2064.01,2024.35,1260.81,1979.68,1428.96,1191.33,1408.71,2182.90,1419.61,1828.10,1762.75,2070.36,2131.50,1571.12,1510.32,1544.67,1625.59,1411.06,2162.19,1308.99,1396.23,2002.89,1759.85,1772.38,1513.45,2085.54,1456.20,1444.12
1904,1964.38,1992.12,1984.78,1899.49,2092.50,1945.52,2132.31,1834.07,1888.10,1935.20,2025.91,1720.00,2140.28,2301.81,1976.78,1845.38,1570.32,1798.34,1777.99,1713.33,2375.02,1991.56,2376.80,2322.04,1935.78,1875.18,1901.41,1830.18,1616.04,1985.12,2061.76,2464.01,2155.77,2010.31,2413.49,2240.17,1872.37,2089.59,2045.89,1754.23,1999.01,1923.81,1697.01,1940.64,2205.92,1968.78,1840.80,1780.95,2096.45,2131.50,2165.08,2077.99,2124.80,2237.44,1968.06,2162.19,1842.98,1952.35,2027.16,1777.80,1796.30,1733.50,2109.95,1637.70,1772.17
1905,1742.54,2000.29,1993.27,1907.21,1757.36,1951.64,2140.69,1839.63,1894.55,1697.92,1417.10,1724.41,1714.08,1560.64,1984.89,1845.54,1232.36,1801.31,1458.41,1714.39,2263.94,1991.56,2376.47,2322.04,1943.33,1882.15,1907.35,1831.19,1259.88,1498.91,1547.40,1961.49,1540.89,2010.47,1611.69,1665.98,1877.34,2100.40,2056.55,1321.68,2007.91,1403.14,1309.98,1582.69,2216.82,1550.99,1845.31,1785.32,2103.37,2131.50,1656.41,1663.68,1674.43,1744.35,1423.72,2162.19,1419.69,1459.24,2036.32,1780.89,1800.95,1376.08,2120.42,1369.10,1391.60
1906,1718.50,2057.78,2088.72,1963.47,1506.32,2001.74,2226.29,1885.88,1939.18,1442.32,1427.55,1731.05,1506.20,1537.93,2066.22,1846.80,1063.99,1833.47,1264.80,1728.10,2269.95,1991.56,2376.42,2322.04,2031.38,1965.35,1962.57,1841.83,1090.31,1354.36,1411.89,2021.80,1455.33,2012.01,1730.57,1523.71,1935.59,2233.23,2186.89,1193.96,2097.43,1333.02,1151.00,1379.20,2350.60,1371.59,1869.47,1804.84,2197.04,2131.50,1493.03,1462.37,1485.75,1551.38,1339.46,2162.19,1263.87,1329.20,2119.51,1808.84,1829.79,1258.53,2238.68,1116.78,1211.31
1907,1748.90,2003.41,2003.85,1907.16,1543.21,1945.50,2154.83,1849.41,1889.69,1455.32,1538.63,1717.75,1557.70,1616.41,1987.39,1846.13,1137.17,1812.30,1263.92,1721.29,2325.90,1991.56,2376.84,2322.04,1956.40,1896.40,1908.60,1836.18,1254.69,1351.74,1423.74,2158.38,1496.19,2011.02,1787.00,1590.87,1893.25,2119.29,2071.38,1280.86,2012.59,1452.23,1208.76,1368.32,2233.05,1357.96,1840.58,1785.05,2130.57,2131.50,1515.79,1464.37,1491.95,1633.84,1393.52,2162.19,1280.06,1338.53,2040.89,1793.18,1809.82,1489.93,2133.06,1432.83,1430.17
1908,1973.45,2169.83,2197.44,2056.34,2047.23,2046.91,2357.74,1983.59,2001.04,1880.49,1870.63,1781.63,2101.92,2213.15,2151.41,1849.94,1449.04,1899.69,1691.43,1760.28,2378.99,1991.56,2377.01,2322.04,2138.93,2071.83,2027.28,1869.32,1521.83,1913.13,1987.50,2403.29,2064.53,2015.72,2234.62,2202.74,2034.18,2384.29,2321.07,1651.33,2198.30,1803.91,1587.03,1865.79,2491.90,1890.58,1913.89,1867.97,2340.45,2131.50,2110.32,2017.15,2067.17,2216.65,1866.08,2162.19,1750.41,1872.66,2232.45,1886.30,1922.54,1628.92,2374.28,1570.83,1689.07
1909,1975.21,2145.09,2153.57,2034.16,1747.66,2031.22,2315.25,1959.17,1986.53,1585.87,2060.89,1782.99,1835.44,2190.54,2118.13,1849.01,1397.53,1880.05,1515.82,1750.50,2357.91,1991.56,2376.71,2322.04,2096.27,2030.31,2004.85,1861.99,1587.02,1828.33,1888.01,2403.28,2035.10,2014.76,2330.65,2007.23,2001.26,2320.58,2260.85,1690.52,2160.41,1944.54,1545.99,1657.27,2429.59,1727.03,1907.34,1860.31,2286.67,2131.50,1914.64,1784.63,1843.07,1948.83,1920.36,2162.19,1675.16,1831.49,2196.97,1867.44,1905.38,1887.19,2320.16,1801.72,1845.27
1910,1887.55,2162.61,2133.37,2048.78,1618.93,2036.92,2305.34,1963.22,2001.38,1479.65,1818.82,1817.44,1686.67,1931.09,2109.72,1848.58,1269.44,1873.90,1372.03,1745.59,2353.67,1991.56,2376.88,2322.04,2074.82,2009.04,2003.35,1860.21,1446.05,1617.83,1675.08,2308.42,1791.28,2014.71,2077.99,1809.67,1987.10,2284.66,2225.34,1510.99,2151.08,1722.99,1390.24,1498.80,2393.22,1545.18,1924.99,1881.47,2253.02,2131.50,1719.27,1614.25,1662.09,1786.08,1687.72,2162.19,1494.09,1616.19,2197.54,1866.88,1918.59,1699.46,2296.86,1643.37,1661.28
