Variable:,pr
,"Turks and Caicos Islands","Grand Turk","Middle Caicos","North Caicos","Providenciales and West Caicos","Salt City","South and East Caicos"
1901,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1902,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1903,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1904,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1905,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1906,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1907,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1908,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1909,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1910,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1911,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1912,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1913,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1914,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1915,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1916,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1917,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1918,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1919,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1920,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1921,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1922,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1923,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1924,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1925,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1926,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1927,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1928,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1929,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1930,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1931,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1932,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1933,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1934,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1935,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1936,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1937,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1938,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1939,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1940,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1941,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1942,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1943,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1944,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1945,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1946,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1947,1397.00,1397.00,1397.00,1392.34,1379.00,1397.00,1397.00
1948,1384.60,1384.60,1384.60,1380.28,1367.90,1384.60,1384.60
1949,1293.10,1293.10,1293.10,1278.92,1238.30,1293.10,1293.10
1950,1307.80,1307.80,1307.80,1294.55,1256.60,1307.80,1307.80
