Variable:,pr
,"South Africa","Eastern Cape","Free State",Gauteng,KwaZulu-Natal,Mpumalanga,"North West","Northern Cape",Limpopo,"Western Cape"
1901,550.01,596.16,654.46,732.16,1134.96,1066.67,575.11,234.53,673.12,411.51
1902,432.73,555.63,590.80,605.86,727.81,542.41,468.30,175.35,501.42,469.32
1903,350.40,473.69,408.81,524.75,647.45,544.51,374.35,104.28,473.81,359.54
1904,445.39,453.38,525.68,650.27,752.04,652.58,541.23,236.93,540.19,423.39
1905,441.36,623.43,547.29,566.71,873.86,663.04,436.20,190.81,433.34,381.14
1906,486.46,679.09,588.56,635.08,882.05,720.37,504.19,208.75,581.46,390.36
1907,553.18,600.48,767.07,839.69,976.35,860.22,653.22,284.33,654.40,352.84
1908,384.83,516.27,469.53,541.63,830.76,606.43,383.84,133.85,421.19,352.79
1909,609.28,646.60,789.57,898.23,1104.98,1012.46,679.88,318.26,691.07,453.86
1910,486.35,645.94,551.52,689.05,1054.22,812.96,474.45,169.02,610.77,395.50
1911,509.12,697.09,554.16,629.65,919.22,748.51,476.14,270.42,566.47,433.34
1912,394.91,478.98,508.24,556.78,751.03,576.09,466.95,180.29,367.80,381.01
1913,464.22,602.80,469.05,617.64,937.65,736.42,447.62,224.72,518.68,415.97
1914,486.82,589.39,564.25,746.19,914.91,781.07,504.98,203.29,627.25,431.76
1915,470.78,500.72,577.57,818.69,1024.42,913.96,481.15,165.21,627.53,345.24
1916,388.84,528.67,435.99,585.00,739.94,568.15,402.41,160.92,417.80,399.63
1917,595.62,780.69,660.71,854.03,1247.96,989.96,588.15,279.11,601.49,472.41
1918,557.45,580.64,643.38,800.00,1173.44,978.89,623.76,262.73,697.71,382.96
1919,348.15,379.86,368.77,510.82,753.53,582.66,377.59,147.43,465.19,282.78
1920,516.42,580.09,596.39,682.87,1036.53,818.88,504.03,268.75,586.46,442.08
1921,568.18,704.47,612.72,728.58,1017.63,839.23,565.88,302.06,662.83,525.29
1922,405.33,594.90,484.48,663.83,920.77,751.93,345.98,98.10,435.42,379.68
1923,461.45,579.55,521.42,620.09,720.92,731.83,513.92,215.11,645.34,376.78
1924,492.57,506.40,678.66,715.77,964.32,848.00,555.11,205.61,682.88,305.49
1925,563.75,670.99,667.57,772.85,1006.97,812.04,590.24,310.41,689.74,418.71
1926,379.55,503.31,504.20,539.47,806.00,599.14,421.63,123.53,442.30,285.13
1927,383.52,420.30,508.59,565.91,845.28,686.41,420.29,137.11,486.29,262.08
1928,434.98,573.24,522.99,710.27,701.18,613.86,555.30,214.18,506.50,306.67
1929,535.19,639.62,697.49,871.24,1022.16,881.10,580.18,228.36,660.27,368.03
1930,407.70,547.02,448.15,568.26,812.24,606.94,433.59,151.06,560.96,332.16
1931,444.13,646.93,598.21,588.51,693.29,640.00,501.04,185.85,470.58,390.49
1932,416.04,536.79,441.28,513.30,888.31,650.34,456.61,160.76,518.07,354.70
1933,396.75,509.57,458.05,600.51,767.78,687.29,379.54,151.26,518.65,332.06
1934,564.79,649.28,800.70,688.58,1040.59,803.24,658.81,324.86,523.22,380.14
1935,380.73,586.63,492.55,420.80,660.20,467.22,391.60,190.89,288.19,379.03
1936,503.09,610.96,621.45,749.68,1013.95,870.29,578.01,191.18,609.42,367.51
1937,444.46,493.05,498.51,651.94,886.92,863.60,440.35,188.43,569.02,360.97
1938,469.37,603.31,567.60,635.92,919.42,807.52,412.98,215.86,551.26,354.65
1939,566.46,634.16,641.80,837.29,1094.06,1002.49,613.78,274.01,740.64,369.56
1940,494.06,583.27,578.07,677.35,961.70,834.42,534.22,224.76,603.42,376.43
1941,421.63,515.35,490.92,642.02,693.32,624.95,411.90,225.15,427.72,461.57
1942,549.91,666.80,748.75,885.83,1134.37,870.31,623.65,234.27,571.34,379.51
1943,588.27,702.81,840.54,798.76,1216.24,863.01,697.56,263.77,560.77,424.45
1944,441.01,507.42,542.69,763.18,870.03,750.00,520.49,168.48,509.87,380.95
1945,360.32,404.31,387.98,590.25,687.51,540.05,409.89,149.23,463.79,378.89
1946,452.05,526.96,591.49,709.31,826.42,819.90,523.86,196.65,526.96,304.01
1947,463.06,590.07,583.58,670.40,957.98,867.17,480.28,182.67,500.14,318.21
1948,454.76,534.98,524.82,604.90,797.56,642.70,467.62,231.46,626.06,375.80
1949,421.50,405.90,507.89,806.96,964.42,874.09,445.90,130.91,574.50,320.42
1950,525.71,711.69,682.14,662.83,805.02,634.57,561.31,355.84,423.30,410.19
1951,390.44,452.01,481.12,577.85,749.13,675.24,442.79,144.06,471.54,363.67
1952,436.26,562.45,528.14,644.70,785.01,674.31,447.85,186.41,491.40,425.63
1953,500.76,679.69,552.78,671.04,821.42,717.10,472.51,248.07,655.86,441.76
1954,468.53,531.66,487.89,622.05,903.48,745.65,467.65,217.33,589.88,486.35
1955,574.29,575.42,696.17,930.03,1005.54,992.16,639.55,286.51,766.84,440.38
1956,531.52,665.02,685.44,659.23,1020.62,770.29,566.44,262.93,560.47,418.67
1957,528.42,560.34,717.01,681.60,1132.87,799.26,582.58,240.89,529.48,476.44
1958,483.65,575.28,600.65,751.15,939.99,866.22,521.26,188.27,650.24,321.17
1959,463.54,617.52,595.37,617.75,863.09,689.91,436.35,200.05,503.11,440.37
1960,462.73,573.16,599.72,659.80,974.87,841.55,525.44,162.34,557.64,291.88
1961,515.70,609.82,588.27,683.62,884.61,782.94,551.56,312.42,535.83,419.07
1962,434.53,549.69,535.10,585.95,809.12,651.32,463.26,172.30,485.58,458.56
1963,524.04,773.05,671.00,589.32,907.31,649.43,510.99,322.74,401.01,411.91
1964,426.11,565.14,537.16,685.71,913.59,765.05,366.49,143.51,455.23,390.02
1965,354.72,522.28,390.21,404.15,739.60,534.46,294.94,171.38,291.99,358.86
1966,386.06,435.78,466.94,655.79,806.78,714.91,461.12,140.46,470.82,279.61
1967,550.41,598.76,722.02,819.65,974.25,830.35,726.68,286.12,566.20,418.98
1968,388.87,410.89,441.43,543.35,710.79,612.70,455.88,193.87,478.65,351.33
1969,449.65,478.55,534.34,789.97,925.00,906.85,469.36,177.76,622.26,275.09
1970,392.39,544.97,480.73,532.70,784.38,542.25,379.06,181.86,405.78,329.34
1971,501.31,630.69,555.76,844.33,913.41,871.91,580.88,218.47,605.02,370.58
1972,459.16,503.70,552.59,601.50,916.04,772.76,496.29,219.66,595.24,309.80
1973,488.96,532.16,536.12,686.08,952.66,856.55,544.69,259.06,594.09,327.69
1974,652.58,870.69,815.87,718.25,942.12,765.61,678.79,469.14,613.02,472.68
1975,577.69,598.98,705.50,851.50,1061.82,926.05,723.72,308.27,695.45,381.02
1976,675.06,847.45,824.87,831.07,1075.43,796.27,800.98,439.56,680.91,497.06
1977,556.42,681.61,597.61,688.14,924.26,740.34,600.18,291.92,723.63,535.28
1978,496.09,589.79,593.97,727.93,1027.95,815.89,549.15,200.96,708.70,279.99
1979,418.51,598.06,525.67,631.66,704.09,624.75,467.59,185.98,459.87,316.67
1980,443.27,456.80,515.94,710.93,709.59,772.51,536.68,196.05,645.64,377.33
1981,538.19,718.84,680.30,657.41,894.06,778.14,553.95,245.88,606.40,516.82
1982,391.31,492.41,499.92,576.48,652.29,507.52,457.43,193.22,393.37,390.79
1983,423.13,513.69,499.86,634.84,820.29,727.03,399.59,206.45,438.12,369.05
1984,402.22,462.69,449.96,453.76,975.58,805.47,324.84,145.36,478.91,356.52
1985,504.31,732.25,524.53,634.64,893.62,712.98,399.98,253.56,587.00,499.74
1986,429.60,597.51,528.30,678.35,801.20,678.92,463.30,161.60,470.74,376.30
1987,473.83,502.29,618.61,764.18,1068.32,827.30,479.72,193.57,537.22,364.90
1988,593.84,739.41,846.55,615.88,1020.48,742.49,680.45,375.52,556.96,354.63
1989,514.35,677.42,590.28,726.52,963.91,774.55,559.03,236.85,556.58,451.28
1990,389.46,434.72,461.50,539.76,711.13,661.53,396.89,195.94,426.29,368.80
1991,508.01,611.22,677.24,625.61,900.47,671.91,538.31,299.70,521.64,378.38
1992,314.15,397.07,357.14,459.55,563.91,493.28,308.89,114.47,362.14,397.86
1993,450.47,587.65,546.74,694.23,836.48,723.14,410.02,194.96,495.10,435.52
1994,389.60,525.48,441.50,666.31,738.39,589.23,355.69,198.66,371.51,355.44
1995,502.24,613.48,590.45,819.81,903.78,767.01,552.47,233.54,569.94,454.01
1996,569.18,668.45,726.79,798.44,1059.17,895.49,605.77,243.88,698.95,494.39
1997,488.63,552.26,584.91,737.72,1055.67,813.47,550.59,201.77,599.27,351.39
1998,496.93,657.75,647.29,677.84,917.78,830.25,554.64,195.61,546.59,392.09
1999,436.71,533.74,475.12,470.23,897.06,759.09,384.05,217.58,496.88,367.95
2000,628.92,708.99,734.52,1017.36,1221.30,1265.81,690.77,288.85,778.96,349.68
2001,537.86,673.60,716.70,768.30,925.40,800.82,626.32,253.91,587.75,420.33
2002,412.56,529.43,532.06,515.68,794.67,524.26,450.19,232.08,325.90,367.28
2003,372.50,493.99,433.66,476.07,737.87,580.77,392.38,167.01,411.86,296.67
2004,470.69,594.95,570.02,690.96,825.61,773.37,518.89,228.83,528.73,353.08
2005,395.46,521.56,447.17,513.91,693.43,597.26,399.82,228.82,409.36,300.09
2006,567.40,729.31,705.31,727.44,1023.65,834.80,565.39,311.40,640.40,383.73
2007,424.42,534.00,497.80,496.09,932.84,585.89,382.91,203.85,448.96,390.79
2008,437.79,533.84,512.22,547.21,894.75,673.92,424.36,238.33,418.65,366.31
2009,474.64,479.11,668.90,723.57,833.05,804.08,545.34,231.77,626.12,287.06
2010,475.20,558.61,677.73,630.28,772.96,659.83,539.91,272.42,514.60,317.12
2011,541.72,653.34,669.27,657.35,876.45,721.23,593.08,363.77,548.21,375.79
2012,462.35,613.08,495.69,530.05,930.29,733.73,380.51,257.44,466.78,385.87
