Variable:,pr
,"Sierra Leone",Eastern,Northern,Southern,"Western Area"
1901,2492.40,2445.85,2331.48,2803.23,2839.54
1902,2492.40,2445.85,2331.48,2803.23,2839.54
1903,2598.76,2590.19,2420.21,2913.33,2892.05
1904,2777.27,2558.44,2793.07,2903.09,3035.75
1905,2897.60,2791.75,2769.48,3182.74,3481.26
1906,3363.90,3333.23,3204.17,3642.48,4086.76
1907,2369.27,2365.78,2196.93,2670.66,2633.79
1908,2758.19,2887.45,2573.81,2986.78,2799.42
1909,2492.40,2445.85,2331.47,2803.23,2839.54
1910,2440.45,2439.59,2272.99,2729.72,2738.57
1911,2462.26,2429.84,2293.75,2774.23,2837.59
1912,2886.96,2555.73,2822.01,3227.38,3615.29
1913,2550.00,2533.80,2371.55,2869.92,2878.30
1914,2129.69,2184.00,1962.57,2376.39,2378.72
1915,2857.98,2923.10,2632.23,3205.82,3065.25
1916,2773.17,2709.66,2579.05,3153.23,3210.95
1917,2312.99,2369.96,2113.89,2616.04,2571.31
1918,2545.27,2446.94,2437.90,2803.23,2839.54
1919,2514.04,2447.32,2374.59,2803.23,2839.54
1920,2525.67,2447.79,2397.90,2803.23,2839.54
1921,2703.46,2609.44,2552.18,3022.53,3242.98
1922,2722.93,2646.38,2592.95,2992.35,3234.58
1923,2753.02,2817.36,2540.59,3073.50,3009.44
1924,2758.22,2754.42,2588.76,3052.31,3052.32
1925,2675.89,2693.01,2497.79,2969.44,2989.13
1926,2630.81,2621.67,2456.54,2940.66,2888.05
1927,2604.24,2590.17,2454.86,2870.90,2912.70
1928,3034.63,2961.73,2809.70,3473.97,3539.66
1929,2750.72,2767.69,2519.66,3139.82,3078.94
1930,2433.94,2520.01,2239.89,2710.54,2577.51
1931,2895.68,2896.20,2660.72,3298.54,3368.65
1932,3029.39,2984.97,2875.23,3321.27,3458.29
1933,2794.90,2813.97,2630.53,3056.93,3187.15
1934,2397.33,2374.54,2260.13,2650.55,2655.25
1935,2464.37,2404.60,2277.55,2831.43,2846.04
1936,2745.35,2500.77,2631.53,3110.71,3434.37
1937,2583.53,2572.46,2433.03,2852.81,2832.16
1938,2793.96,2799.49,2632.18,3072.88,2975.57
1939,2598.81,2516.44,2429.98,2948.17,3025.61
1940,2536.93,2428.44,2406.34,2841.24,2906.46
1941,2479.61,2475.53,2316.42,2767.64,2718.56
1942,2631.02,2484.46,2490.35,2977.03,3122.77
1943,2667.69,2531.94,2553.21,2957.36,3176.35
1944,2650.10,2547.67,2438.60,3090.18,3142.74
