Variable:,pr
,"United Arab Emirates","Abu Dhabi",Dubai,"Ras Al Khaimah",Sharjah,"Umm AL Quwain",Ajman,Fujairah
1901,74.28,66.44,100.40,121.18,116.98,92.86,116.80,140.31
1902,63.22,58.12,80.89,93.87,89.33,75.81,86.91,104.83
1903,66.30,61.89,79.94,96.46,86.77,71.52,88.36,108.28
1904,65.09,60.01,81.88,97.01,90.38,74.50,89.79,109.69
1905,91.37,76.62,138.28,179.63,171.24,126.47,178.03,215.05
1906,89.70,76.27,131.02,172.46,161.67,122.51,168.62,203.59
1907,82.17,71.92,115.62,143.54,136.65,104.21,141.20,168.08
1908,63.86,58.94,81.44,93.35,89.57,75.73,86.77,104.58
1909,76.91,65.59,109.58,153.12,133.72,114.57,137.82,173.49
1910,71.26,63.40,96.29,121.24,112.62,94.20,112.63,137.61
1911,74.27,66.23,97.79,128.75,114.60,93.89,117.87,147.43
1912,89.85,77.22,125.45,176.14,153.64,115.72,166.90,206.60
1913,91.29,78.24,134.23,168.03,163.47,122.35,168.53,199.54
1914,78.64,69.71,106.45,134.99,125.22,96.76,130.23,156.46
1915,68.30,62.90,85.96,102.72,96.01,78.77,95.98,116.16
1916,92.15,77.79,132.78,187.57,164.08,122.34,178.53,221.30
1917,73.29,65.20,98.26,125.84,114.94,96.93,115.90,142.42
1918,71.54,64.25,94.87,117.56,110.13,91.12,110.11,133.64
1919,73.88,66.31,98.85,120.02,114.30,91.20,114.73,138.56
1920,64.94,60.72,80.07,90.84,87.11,73.87,84.41,101.38
1921,67.93,61.78,87.09,108.79,98.76,80.63,100.25,123.84
1922,62.19,59.03,74.20,81.49,78.77,68.96,74.60,89.42
1923,78.23,68.21,107.92,144.27,129.11,100.61,136.00,167.47
1924,64.99,60.49,80.68,93.00,88.76,76.67,85.72,103.15
1925,63.61,59.77,77.16,87.43,83.89,71.77,80.52,97.28
1926,71.44,64.11,94.52,118.40,109.81,91.78,109.89,134.20
1927,71.91,65.39,92.51,113.88,105.08,83.01,107.87,130.48
1928,77.80,67.48,110.95,141.63,131.87,106.15,134.81,163.30
1929,69.46,62.39,91.15,116.92,104.73,83.57,108.14,134.35
1930,62.63,58.71,76.74,87.50,82.84,72.07,79.71,96.54
1931,79.49,71.07,104.98,134.52,123.66,95.78,128.48,156.44
1932,78.76,70.17,104.98,134.52,123.66,95.78,128.48,156.44
1933,76.72,67.57,104.98,134.52,123.66,95.78,128.48,156.44
1934,78.26,69.50,104.98,134.52,123.66,95.78,128.48,156.44
1935,78.14,69.36,104.98,134.52,123.66,95.78,128.48,156.44
1936,74.38,65.98,101.35,126.48,118.75,92.99,120.62,147.24
1937,75.50,66.45,104.80,131.20,123.18,100.56,124.52,150.24
1938,63.57,59.28,78.42,90.77,86.23,74.79,83.04,100.55
1939,81.65,72.60,111.52,136.16,131.54,103.74,133.24,157.82
1940,72.49,63.30,101.32,130.30,120.29,100.29,121.24,148.33
1941,68.29,62.51,87.97,103.00,98.55,79.66,97.72,117.45
1942,68.42,63.10,86.95,100.32,96.84,80.96,94.68,112.94
1943,82.29,70.68,116.26,158.92,141.07,110.69,148.98,184.93
1944,76.66,68.01,103.75,132.02,121.82,94.86,126.04,153.22
1945,63.29,59.01,78.16,90.83,85.39,72.49,83.46,101.12
1946,68.92,61.59,94.19,111.50,107.65,87.63,106.53,127.37
1947,69.87,64.28,88.23,105.18,100.04,81.56,99.13,119.82
1948,85.83,74.60,120.65,155.57,146.18,111.39,151.39,183.17
1949,78.23,69.57,104.98,134.52,123.66,95.78,128.48,156.44
1950,65.04,59.44,83.43,100.07,93.24,78.50,92.17,112.38
1951,82.22,71.34,117.19,147.08,142.25,106.68,144.75,175.05
1952,66.31,59.98,86.45,107.05,97.94,85.02,96.77,119.38
1953,67.66,61.46,89.11,104.70,100.03,82.88,98.91,118.35
1954,66.32,62.73,78.84,89.08,85.53,73.63,82.26,98.73
1955,97.98,82.42,144.48,197.88,182.75,138.39,191.15,235.70
1956,64.95,59.73,83.18,96.83,91.95,78.17,89.86,108.20
1957,94.42,75.48,143.92,234.75,183.83,177.03,192.27,254.23
1958,69.98,64.80,82.37,112.66,91.61,92.92,95.59,115.78
1959,74.23,64.06,105.23,141.73,124.46,104.86,126.62,160.98
1960,71.69,63.93,94.50,122.30,108.89,77.91,117.15,145.32
1961,70.27,63.59,93.10,111.90,104.07,78.15,107.18,131.14
1962,43.84,42.76,53.33,42.09,48.79,31.37,51.68,48.99
1963,68.58,56.13,104.48,150.71,126.76,78.35,145.12,186.41
1964,87.40,81.16,113.24,127.37,125.01,109.98,124.52,139.11
1965,72.28,68.69,81.72,97.05,86.43,68.38,93.40,109.32
1966,63.62,61.85,67.63,71.40,73.19,50.20,79.90,85.16
1967,48.12,46.83,46.77,57.91,53.12,35.97,60.29,68.67
1968,86.40,77.74,117.56,135.08,134.18,109.59,137.47,152.67
1969,66.93,63.19,72.84,104.54,84.05,82.12,88.61,110.50
1970,43.15,40.31,44.09,68.29,53.79,40.32,60.13,79.23
1971,47.11,45.40,46.54,61.11,54.46,41.35,60.35,70.40
1972,108.10,91.42,168.32,203.46,200.31,158.55,201.30,235.90
1973,41.21,40.23,36.63,54.40,42.78,36.50,49.38,60.08
1974,70.80,64.12,95.26,111.02,105.73,94.05,107.40,120.35
1975,77.19,71.13,90.40,124.15,104.26,83.02,112.68,141.45
