Variable:,pr
,Luxembourg,Diekirch,Grevenmacher,Luxembourg
1901,810.07,858.63,756.01,795.57
1902,793.06,862.16,720.70,772.63
1903,950.00,1042.22,855.38,923.05
1904,765.48,824.70,697.70,747.36
1905,853.95,926.83,781.53,832.63
1906,870.34,946.26,788.35,847.23
1907,743.36,800.44,684.20,726.19
1908,756.37,813.95,698.51,739.28
1909,864.09,935.04,792.29,843.37
1910,1068.91,1149.66,982.65,1045.19
1911,723.02,778.47,662.19,707.69
1912,866.77,935.60,798.70,847.01
1913,848.97,917.22,777.58,829.10
1914,989.25,1059.33,913.17,969.21
1915,972.93,1061.32,882.86,947.84
1916,1056.77,1136.74,972.15,1034.13
1917,871.91,930.18,812.31,854.06
1918,936.34,1009.35,862.40,915.24
1919,966.45,1042.42,883.89,944.38
1920,781.92,844.28,718.01,764.95
1921,479.79,512.52,444.78,469.94
1922,1061.92,1134.20,979.49,1039.02
1923,1005.02,1079.66,921.19,983.13
1924,932.08,1001.92,862.80,911.07
1925,1072.76,1166.57,977.26,1045.23
1926,935.69,1003.92,865.04,915.38
1927,930.78,989.03,868.82,913.41
1928,904.61,984.36,819.46,881.09
1929,761.15,818.74,697.79,743.66
1930,1096.84,1170.69,1019.73,1074.99
1931,933.88,1001.90,862.33,913.36
1932,901.04,966.28,833.58,881.97
1933,633.56,680.98,588.58,620.87
1934,748.41,807.54,684.88,731.46
1935,952.86,1032.06,869.74,930.39
1936,924.24,994.77,851.46,904.71
1937,963.16,1040.91,878.53,942.23
1938,821.71,898.61,741.82,799.18
1939,1052.45,1133.03,966.56,1030.72
1940,984.14,1057.15,909.13,962.84
1941,859.01,929.78,785.56,838.12
1942,814.03,888.29,743.14,793.14
1943,855.80,944.00,766.07,828.98
1944,1005.35,1104.34,905.64,976.11
1945,819.45,897.49,743.24,796.65
1946,863.04,949.61,777.46,839.21
1947,824.86,900.75,745.29,803.54
1948,956.55,1047.80,867.36,931.16
1949,737.13,801.70,669.27,717.51
1950,1053.76,1140.48,960.16,1026.71
1951,983.19,1073.67,891.84,957.19
1952,1142.84,1240.48,1040.02,1114.19
1953,607.96,661.46,560.16,592.61
1954,957.12,1036.29,877.64,932.80
1955,814.73,876.08,748.12,796.52
1956,908.20,980.74,844.32,886.00
1957,886.43,966.65,816.23,862.63
1958,1057.99,1141.74,972.08,1033.43
1959,662.45,708.61,613.21,648.64
1960,990.79,1072.93,918.56,966.74
1961,1021.65,1108.77,939.58,994.23
1962,858.39,935.58,787.10,834.52
1963,763.97,817.25,710.84,748.03
1964,719.76,779.68,662.64,700.13
1965,1194.57,1293.95,1090.87,1163.68
1966,1163.04,1264.56,1063.52,1132.27
1967,917.05,979.77,842.08,897.23
1968,866.38,926.98,800.97,849.19
1969,795.70,861.32,731.91,777.58
1970,987.62,1061.73,903.52,966.31
1971,652.04,704.67,599.90,636.69
1972,778.84,841.50,716.72,761.88
1973,757.36,822.29,692.99,738.86
1974,1028.32,1122.18,932.54,1000.87
1975,718.97,774.63,658.43,702.72
1976,599.45,654.09,539.38,584.32
1977,955.98,1029.40,871.14,935.29
1978,844.00,906.60,771.23,826.32
1979,1015.40,1089.41,927.05,993.92
1980,1011.52,1089.00,928.23,988.09
1981,1180.18,1270.37,1079.91,1153.05
1982,966.98,1042.05,883.49,946.58
1983,965.73,1043.16,883.77,943.96
1984,1042.42,1131.36,946.70,1015.29
1985,793.98,857.30,731.22,774.82
1986,1006.76,1084.69,920.13,985.79
1987,1049.62,1132.84,963.83,1025.36
1988,1093.08,1188.34,987.89,1066.58
1989,862.48,935.51,783.68,841.75
1990,902.02,968.63,828.12,882.86
1991,731.96,801.82,660.62,712.47
1992,878.64,949.50,811.77,859.12
1993,951.39,1035.75,867.54,927.74
1994,913.46,990.82,829.37,891.09
1995,977.01,1042.90,896.22,958.07
1996,691.14,742.19,633.20,677.68
1997,863.84,926.85,795.35,845.72
1998,981.66,1080.79,881.93,952.14
1999,1014.24,1097.00,920.76,990.78
2000,1053.45,1142.92,962.78,1029.38
2001,1139.04,1231.87,1039.49,1111.82
2002,1071.74,1152.37,986.20,1047.50
2003,735.05,799.44,667.48,715.74
2004,881.26,961.03,796.86,857.34
2005,770.83,851.80,694.85,748.69
2006,891.45,959.74,823.43,874.30
2007,1016.24,1098.21,928.83,991.88
2008,954.75,1033.42,875.56,931.77
2009,922.24,996.74,842.34,900.01
2010,956.02,1031.54,874.40,932.99
2011,775.26,840.93,709.46,755.56
2012,951.46,1035.39,866.59,929.07
2013,921.50,991.76,845.68,903.67
2014,871.35,944.74,803.87,850.43
2015,790.08,871.19,706.07,766.67
2016,952.87,1035.78,864.69,930.63
2017,868.14,950.43,783.98,843.89
2018,787.65,858.06,710.95,768.85
2019,873.24,946.84,793.57,850.80
2020,802.69,880.42,721.18,780.78
