Variable:,pr
,"Federated States of Micronesia","Administrative unit not available"
1901,4081.00,3890.93
1902,4081.00,3830.30
1903,4081.00,3832.74
1904,4081.00,3801.45
1905,4081.00,3778.75
1906,4081.00,3788.10
1907,4081.00,3852.89
1908,4081.00,3817.00
1909,4081.00,3803.36
1910,4081.00,3742.59
1911,4081.00,3751.95
1912,4081.00,3736.35
1913,4081.00,3702.63
1914,4081.00,3631.70
1915,4081.00,3758.71
1916,4081.00,3940.84
1917,4081.00,3783.90
1918,4081.00,3790.46
1919,4081.00,3746.26
1920,4081.00,3861.88
1921,4081.00,3768.27
1922,4081.00,3774.56
1923,4081.00,3891.79
1924,4081.00,3754.99
1925,4081.00,3825.05
1926,4081.00,3826.32
1927,4081.00,3870.62
1928,5060.50,4352.44
1929,4662.60,4154.33
1930,4115.00,3880.98
1931,3053.10,3223.95
1932,4104.50,3863.89
1933,4349.50,3949.76
1934,3761.80,3672.04
1935,4432.40,4005.14
1936,4153.70,3759.55
1937,3995.60,3672.13
1938,4897.20,4387.11
1939,3594.50,3385.24
1940,4202.20,3994.47
1941,4591.30,4038.28
1942,4100.80,3768.36
1943,4588.10,4195.01
1944,4081.00,3807.56
1945,4081.00,3807.56
1946,4081.00,3815.32
1947,4081.00,3812.14
1948,4081.00,3807.21
1949,4197.00,3736.11
1950,3602.30,3556.26
1951,4482.40,4010.27
1952,3980.80,3717.06
1953,4161.40,3959.82
1954,4306.40,3956.71
1955,4949.30,4490.21
1956,4496.60,4205.14
1957,3737.00,3485.23
1958,4431.70,3914.16
1959,4247.90,3924.76
1960,4475.50,4076.11
1961,4488.20,4211.79
1962,4688.80,4421.71
1963,3784.10,3757.41
1964,3652.40,3512.61
1965,4248.70,3871.80
1966,3725.00,3412.89
1967,4402.70,4176.17
1968,4166.20,3821.52
1969,4298.90,3903.14
1970,3737.30,3573.41
1971,4436.50,4111.29
1972,4396.70,4018.53
1973,3503.70,3300.05
1974,4015.50,3953.71
1975,4229.80,3870.22
1976,5184.70,4519.72
1977,3576.80,3401.86
1978,3483.50,3438.11
1979,4311.00,4080.08
1980,4202.40,3908.32
1981,3973.40,3786.89
1982,4379.40,3915.43
1983,2992.00,2988.12
1984,3452.90,3324.48
1985,4024.60,3842.11
1986,3776.00,3647.24
1987,4540.80,3952.71
1988,3619.60,3394.42
1989,4777.00,4205.26
1990,4360.40,3923.08
1991,5008.70,4333.92
1992,3250.50,3076.04
1993,4421.50,4090.26
1994,3537.30,3455.43
1995,3390.50,3361.29
1996,3646.50,3664.96
1997,3569.90,3407.95
1998,2757.20,2761.29
1999,4223.00,3935.94
2000,4308.00,4043.34
2001,3803.40,3644.87
2002,4009.50,3850.60
2003,4048.50,3957.05
2004,3935.30,3840.08
2005,4099.40,3841.16
2006,3695.50,3566.53
2007,4017.70,3779.59
2008,2890.10,3030.98
2009,2537.70,2931.16
2010,3225.80,3299.42
2011,4069.60,3981.39
2012,3630.00,3660.35
2013,2862.20,3086.97
2014,4045.90,3837.80
2015,4818.00,4238.85
2016,3874.90,3539.07
2017,4148.60,3932.27
2018,4424.40,4070.34
2019,4422.50,3907.02
2020,4247.50,3857.40
