Variable:,pr
,"Cook Islands","Administrative unit not available"
1901,2293.90,2108.21
1902,1896.80,1815.23
1903,1730.50,1691.48
1904,1955.40,1855.11
1905,1708.50,1676.28
1906,1814.10,1741.97
1907,2223.00,2056.84
1908,3017.80,2685.10
1909,2431.40,2218.05
1910,2520.60,2275.63
1911,1913.40,1812.72
1912,2224.50,2061.23
1913,1727.90,1667.16
1914,1507.90,1512.79
1915,1201.10,1250.82
1916,2214.10,2055.91
1917,2741.00,2492.51
1918,2749.10,2488.04
1919,1392.60,1402.91
1920,2584.00,2346.51
1921,2581.40,2343.32
1922,2342.20,2194.29
1923,1970.50,1842.07
1924,2253.70,2074.86
1925,2035.90,1905.67
1926,1682.30,1630.19
1927,2204.70,2051.52
1928,1692.40,1652.40
1929,2161.80,2006.41
1930,2305.20,2133.02
1931,1519.50,1498.56
1932,1649.60,1629.19
1933,2071.20,1974.53
1934,2211.50,2126.30
1935,1824.30,1769.55
1936,2192.50,2037.46
1937,1972.40,1843.67
1938,2455.20,2238.90
1939,2634.90,2419.34
1940,1640.10,1597.70
1941,1515.50,1463.34
1942,2224.00,2123.03
1943,2567.30,2538.20
1944,1731.60,1713.47
1945,2703.20,2503.04
1946,2247.00,2112.17
1947,2575.20,2352.69
1948,1622.40,1583.52
1949,2043.00,2010.73
1950,1759.00,1635.73
1951,1931.70,1843.62
1952,1934.40,1892.34
1953,2087.60,1961.11
1954,2124.30,1999.94
1955,2555.10,2408.79
1956,2464.60,2325.13
1957,2294.90,2182.94
1958,2049.20,1927.36
1959,2484.20,2333.94
1960,2004.80,1896.74
1961,2098.60,1927.75
1962,2663.10,2507.22
1963,1881.70,1761.27
1964,2071.80,1923.86
1965,1805.20,1729.10
1966,1774.20,1639.46
1967,2987.90,2790.50
1968,1900.60,1788.11
1969,2313.10,2151.37
1970,2733.20,2549.41
1971,2432.70,2199.44
1972,1557.10,1337.88
1973,2330.00,2065.23
1974,2447.60,2111.18
1975,1921.00,1605.34
1976,2068.40,1849.16
1977,2328.10,2137.08
1978,2866.30,2696.17
1979,2095.00,1967.11
1980,2525.50,2351.39
1981,2635.20,2553.41
1982,1282.50,1258.33
1983,1404.90,1377.35
1984,2266.90,2141.49
1985,2263.50,2148.15
1986,2636.20,2418.59
1987,1578.30,1562.10
1988,2444.40,2341.53
1989,2240.70,2094.22
1990,1686.10,1634.08
1991,1963.50,1843.12
1992,1448.30,1428.54
1993,1821.50,1746.65
1994,2163.40,2010.92
1995,2277.90,2104.86
1996,1998.20,1879.30
1997,1295.40,1324.20
1998,1122.60,1198.47
1999,2293.30,2130.96
2000,2181.90,2038.95
2001,1902.10,1818.58
2002,1718.40,1664.63
2003,2204.90,2055.72
2004,1794.20,1715.21
2005,2214.20,2060.87
2006,2182.00,2027.46
2007,2182.00,2027.46
2008,2182.00,2027.46
2009,2182.00,2027.46
2010,2182.00,2027.46
2011,2182.00,2027.46
2012,2182.00,2027.46
2013,2182.00,2027.46
2014,2182.00,2027.46
2015,2182.00,2027.46
2016,2182.00,2027.46
2017,2182.00,2027.46
2018,2182.00,2027.46
2019,2182.00,2027.46
2020,2182.00,2027.46
