Variable:,pr
,Togo,Centrale,Kara,Maritime,Plateaux,Savanes
1901,1237.98,1273.65,1293.33,1209.20,1245.51,1124.34
1902,1103.73,1162.98,1191.98,955.16,1072.09,1062.71
1903,982.17,1007.42,1052.64,901.41,950.93,972.51
1904,912.67,944.19,939.10,867.92,893.24,904.24
1905,1116.73,1210.60,1227.77,946.17,1053.37,1072.33
1906,1087.62,1161.60,1176.58,965.69,1020.98,1077.41
1907,1010.96,1006.34,968.40,1166.70,1091.93,821.87
1908,1166.50,1233.74,1200.26,1146.47,1190.98,994.33
1909,1283.92,1402.16,1306.71,1165.59,1308.89,1114.56
1910,1400.70,1464.80,1349.72,1391.48,1538.90,1116.22
1911,1104.63,1170.89,1139.05,1155.51,1101.42,944.50
1912,896.88,954.80,958.01,815.00,877.88,826.31
1913,1104.37,1131.78,1138.21,1084.48,1143.93,961.91
1914,1051.35,1118.39,1060.25,1036.90,1083.25,894.84
1915,1205.80,1288.74,1186.20,1222.87,1286.65,949.71
1916,1201.20,1243.51,1250.12,1197.54,1225.19,1036.62
1917,1568.39,1678.62,1503.52,1610.07,1754.72,1112.29
1918,1140.59,1164.46,1199.96,1107.10,1124.35,1086.47
1919,968.67,984.33,986.63,981.90,984.23,885.67
1920,940.21,967.70,1020.53,864.31,899.47,927.26
1921,1334.48,1403.19,1338.92,1295.88,1428.96,1074.34
1922,1108.72,1197.59,1216.97,948.54,1073.49,1011.20
1923,1053.33,1121.85,1117.82,956.91,1040.95,959.74
1924,1240.63,1287.32,1255.99,1182.02,1301.52,1075.08
1925,1255.59,1332.22,1401.87,1167.49,1183.88,1154.25
1926,1073.05,1136.17,1150.78,1087.25,1053.09,914.78
1927,1113.78,1198.80,1268.04,887.88,1036.02,1087.79
1928,1161.91,1230.02,1276.59,948.36,1118.93,1134.78
1929,1309.43,1410.40,1307.08,1192.33,1367.87,1130.37
1930,1140.57,1183.56,1196.86,1107.95,1141.21,1031.45
1931,1223.89,1298.66,1346.37,1101.69,1160.80,1159.02
1932,1053.61,1067.69,1083.75,1030.98,1047.70,1023.98
1933,1447.55,1589.81,1286.29,1421.76,1629.94,1118.52
1934,1333.68,1431.45,1389.91,1242.16,1358.55,1137.27
1935,1316.19,1386.58,1345.17,1166.14,1337.32,1235.31
1936,1092.07,1184.77,1126.98,916.56,1064.16,1080.29
1937,1067.38,1148.26,1100.64,944.42,1053.17,1015.04
1938,1040.04,1079.19,1034.71,944.85,1080.38,975.07
1939,1235.52,1288.07,1238.64,1058.77,1306.48,1132.55
1940,1180.12,1238.91,1190.88,1180.27,1236.35,973.92
1941,1214.76,1292.56,1278.41,1132.16,1219.45,1066.26
1942,1049.27,1064.65,1028.99,1147.51,1099.52,894.35
1943,1148.39,1179.76,1050.82,1097.79,1275.70,1009.24
1944,1184.62,1329.07,1154.02,1058.34,1265.20,940.86
1945,1134.98,1237.46,1161.52,1006.26,1144.74,1016.31
1946,1014.85,1096.50,1014.96,865.05,1049.74,926.90
1947,1396.84,1526.55,1258.78,1347.97,1629.19,973.51
1948,1146.75,1196.19,1233.57,1013.62,1127.57,1085.07
1949,1405.18,1540.84,1423.63,1336.92,1482.22,1080.27
1950,986.19,988.85,976.14,1001.79,986.17,988.22
1951,1322.59,1371.28,1450.39,1169.28,1267.10,1292.16
1952,1302.75,1302.89,1323.00,1280.72,1300.52,1297.77
1953,1284.26,1370.52,1426.77,1109.71,1202.00,1246.26
1954,1169.84,1145.37,1200.28,1183.43,1196.52,1109.29
1955,1359.30,1484.45,1440.40,1233.72,1302.05,1267.17
1956,1048.52,1034.21,1070.98,1044.04,1058.22,1025.96
1957,1485.09,1553.40,1586.21,1330.48,1495.14,1336.48
1958,939.94,904.61,958.48,983.61,935.95,946.04
1959,1252.31,1302.88,1232.98,1321.58,1309.35,1054.14
1960,1369.91,1422.46,1326.57,1400.53,1466.34,1144.85
1961,1070.42,1070.90,1004.11,1144.69,1137.63,983.28
1962,1429.52,1485.60,1476.69,1526.21,1428.56,1237.14
1963,1616.92,1784.08,1583.42,1471.67,1754.69,1248.12
1964,1171.28,1149.23,1240.13,1102.08,1171.35,1155.50
1965,1204.28,1208.01,1209.11,1251.81,1283.58,1010.33
1966,1206.87,1276.30,1232.96,1115.86,1235.11,1073.02
1967,1245.62,1363.66,1395.11,1108.58,1183.42,1094.48
1968,1577.13,1555.66,1411.77,1794.46,1792.77,1275.18
1969,1221.09,1344.80,1421.59,991.79,1086.64,1197.40
1970,1193.03,1233.13,1250.05,1201.96,1165.08,1113.95
1971,1200.41,1262.46,1266.22,1127.09,1201.16,1074.92
1972,1100.80,1173.49,1186.31,946.46,1067.05,1049.45
1973,1153.04,1244.64,1138.79,1093.30,1184.66,1018.02
1974,1220.73,1243.77,1256.04,1177.09,1214.08,1185.60
1975,1174.83,1255.22,1190.25,1145.71,1197.00,1017.07
1976,1072.39,1156.08,1206.75,922.96,1006.62,1003.58
1977,864.01,936.30,1005.02,710.33,775.40,849.10
1978,1206.43,1313.94,1313.32,990.43,1203.27,1058.54
1979,1343.86,1414.17,1317.49,1298.88,1428.70,1144.84
1980,1141.64,1186.86,1044.91,1178.16,1264.04,943.57
1981,1099.69,1161.15,1137.02,999.17,1131.24,966.44
1982,974.23,957.25,1052.45,1035.01,909.60,994.00
1983,850.23,879.29,880.96,785.67,857.42,799.89
1984,1136.09,1209.76,1048.11,1106.49,1299.00,854.41
1985,1176.23,1269.64,1084.34,1142.48,1334.41,877.29
1986,1077.76,1115.06,1138.84,968.06,1095.13,982.51
1987,1134.32,1135.01,1080.17,1159.73,1272.75,923.05
1988,1217.23,1322.32,1185.20,1135.53,1298.54,1004.77
1989,1266.56,1337.27,1244.76,1231.53,1336.45,1083.87
1990,1006.13,1056.06,983.30,975.43,1082.71,837.03
1991,1340.60,1488.33,1428.31,1165.36,1279.26,1246.10
1992,971.01,1065.57,1035.85,821.26,936.46,915.55
1993,1057.96,1095.87,1074.54,1093.88,1080.53,920.58
1994,1135.59,1194.57,1261.08,959.73,1042.37,1182.34
1995,1278.78,1403.44,1264.92,1120.07,1342.78,1094.11
1996,1129.88,1178.46,1212.56,1053.96,1099.01,1065.59
1997,1125.34,1192.91,1155.53,1192.37,1123.04,956.59
1998,1119.33,1197.63,1230.51,921.69,1073.56,1079.37
1999,1346.13,1455.82,1365.39,1231.41,1415.71,1104.02
2000,1088.68,1151.62,1185.69,935.29,1077.49,995.53
2001,913.40,949.57,962.51,839.10,901.02,871.35
2002,1150.04,1214.53,1147.91,1165.49,1212.35,932.89
2003,1325.44,1400.03,1394.19,1202.48,1323.54,1215.20
2004,1192.48,1274.72,1193.34,1138.45,1236.89,1024.63
2005,1104.46,1139.23,1143.80,1046.44,1102.38,1047.24
2006,1095.17,1149.95,1146.43,1038.66,1098.69,982.23
2007,1302.22,1356.47,1292.03,1290.54,1387.03,1084.10
2008,1342.13,1389.73,1365.33,1315.48,1401.98,1149.24
2009,1267.13,1336.78,1350.67,1136.86,1245.42,1188.21
2010,1341.47,1380.18,1327.42,1366.94,1443.10,1096.18
2011,1160.09,1216.96,1173.68,1132.48,1200.77,1003.33
2012,1162.12,1219.26,1183.50,1108.50,1195.63,1024.46
2013,1045.42,1077.29,1056.03,1053.83,1076.97,921.76
2014,1224.83,1268.92,1208.33,1240.29,1307.72,1016.21
2015,1051.65,1059.94,1100.82,1022.39,1056.00,988.99
2016,1105.67,1138.32,1126.97,1058.15,1122.14,1033.31
2017,1101.55,1142.30,1099.36,1088.34,1145.04,971.36
2018,1252.38,1349.72,1263.57,1165.60,1302.36,1059.72
2019,1420.72,1502.28,1387.81,1473.48,1521.05,1122.71
2020,1143.87,1155.22,1276.63,983.27,1063.59,1216.17
