Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
1901,1080.58,859.77,781.18,957.26,810.47,1082.91,1790.35,861.83,1472.87,1663.78,946.22,758.43,1593.39,722.68,667.53,647.70,950.59,1771.69,923.84,2095.57,1004.62
1902,901.40,805.12,766.21,867.46,793.15,812.75,1561.69,800.84,1019.67,1207.67,784.35,738.23,1163.99,717.37,674.36,593.60,807.47,1445.43,793.42,1749.09,763.09
1903,911.66,771.15,643.98,647.90,699.63,873.27,1828.76,773.54,1240.01,1383.56,790.77,674.68,1318.54,609.49,650.17,399.91,818.16,1599.27,788.65,1779.30,863.32
1904,893.15,850.69,771.21,956.05,820.07,780.49,1672.65,806.84,810.86,1190.14,865.92,749.65,985.70,678.24,594.68,641.53,763.87,1548.74,832.07,1473.36,804.40
1905,1051.60,999.23,768.86,807.23,872.30,1071.48,1860.46,962.70,1264.37,1468.19,1088.43,865.69,1448.91,695.96,701.53,538.73,1045.39,1613.99,1066.49,2000.28,1013.02
1906,873.60,829.49,736.76,834.64,778.78,769.66,1711.77,788.70,912.50,1144.50,855.85,741.20,972.61,683.11,681.36,585.97,756.71,1477.35,826.11,1320.09,803.38
1907,890.40,835.00,705.97,763.29,774.39,764.12,1599.03,807.62,1207.29,1216.32,853.90,737.82,1340.68,666.95,671.35,496.53,736.08,1366.16,807.66,1843.35,751.69
1908,785.07,755.22,707.66,861.79,750.09,632.02,1207.02,694.61,760.86,1058.20,731.72,689.54,988.71,613.56,588.92,625.35,643.66,1249.85,696.35,1502.17,577.91
1909,911.05,898.85,757.64,792.78,821.60,805.29,1712.54,835.71,1011.47,1193.83,875.92,822.14,1165.24,732.73,622.48,543.19,799.92,1477.73,867.42,1688.23,835.90
1910,1070.21,1117.93,842.49,719.47,964.09,995.24,1999.33,1076.85,1227.84,1428.65,1188.15,992.82,1407.44,816.38,649.00,457.79,1030.03,1845.79,1098.60,2105.46,1005.44
1911,944.79,800.98,662.18,793.02,721.88,940.39,1596.42,776.47,1256.08,1415.99,848.96,697.59,1309.19,585.28,619.56,678.30,859.54,1495.61,877.80,1673.15,860.49
1912,874.84,777.14,633.92,715.72,686.38,766.47,1672.51,736.79,960.15,1275.17,843.38,673.60,1206.11,594.95,566.78,568.09,743.23,1616.92,776.47,1806.07,823.07
1913,830.20,746.62,578.29,629.35,631.25,772.69,1635.91,725.99,942.13,1186.83,850.29,632.03,1127.52,556.36,546.64,400.92,754.43,1583.05,814.87,1593.67,815.17
1914,980.77,885.06,746.58,769.53,810.28,866.21,1829.11,849.86,1283.89,1432.50,905.39,793.84,1506.86,713.05,594.77,481.87,835.99,1673.68,863.47,2220.08,885.84
1915,1098.67,1200.79,1032.60,950.91,1115.53,997.11,1809.55,1134.34,1174.68,1354.69,1169.52,1104.90,1293.17,996.99,783.11,636.61,1042.32,1552.58,1114.35,1854.74,951.33
1916,1078.27,868.55,753.49,831.35,797.02,1047.43,2180.50,858.05,1485.22,1677.43,977.00,771.64,1503.91,719.88,665.86,559.14,948.98,1984.75,895.42,2075.02,1056.18
1917,926.80,856.60,701.48,802.94,786.35,878.13,1670.56,876.73,1040.20,1258.17,924.32,759.97,1222.68,645.68,620.72,541.12,898.05,1502.93,904.50,1723.36,836.21
1918,870.80,843.71,740.52,804.65,793.28,728.59,1706.65,754.96,917.90,1209.59,815.54,760.46,1190.13,664.29,525.27,517.53,676.84,1520.64,745.64,1766.12,822.31
1919,872.97,807.58,712.61,735.36,737.54,760.02,1831.60,770.76,926.88,1223.32,868.64,723.05,1109.06,699.29,600.23,436.12,749.07,1596.95,765.90,1702.30,824.74
1920,936.74,806.84,632.14,677.00,699.00,944.62,1488.53,726.89,1395.98,1442.30,818.60,736.83,1458.07,607.26,608.66,524.66,849.25,1554.45,788.64,1889.03,835.97
1921,680.59,746.67,742.67,864.43,794.92,536.24,998.33,713.96,509.59,765.48,628.88,690.30,660.94,608.45,525.00,579.58,576.48,1043.03,660.83,1036.24,475.71
1922,836.46,775.01,645.65,620.02,705.95,678.49,1598.99,747.19,869.92,1275.92,776.97,688.37,1184.46,639.69,572.04,321.32,673.85,1701.11,767.61,1996.59,728.62
1923,840.05,796.66,730.65,729.38,747.37,677.74,1696.83,766.88,890.73,1073.90,809.07,723.71,1071.94,735.97,655.02,440.34,709.63,1490.22,745.42,1746.11,741.34
1924,862.72,804.05,713.34,814.58,754.59,748.53,1553.32,728.45,927.76,1185.34,813.70,726.87,1156.57,656.18,653.94,564.44,699.30,1380.58,733.91,1707.39,799.48
1925,822.70,753.58,683.44,723.05,719.26,702.94,1779.84,712.37,900.10,1097.13,763.61,685.39,1062.13,642.88,574.93,499.55,688.94,1405.57,706.28,1560.59,772.54
1926,949.25,870.80,653.11,586.04,716.05,869.36,1843.75,826.37,1320.24,1441.22,975.07,753.73,1458.98,647.72,620.09,388.70,850.69,1679.59,874.69,1963.81,861.16
1927,889.69,750.33,704.88,773.04,736.24,770.44,1687.19,763.91,1057.03,1283.45,711.67,697.69,1212.76,682.84,638.30,502.54,756.94,1594.07,741.65,1945.20,794.46
1928,969.17,866.53,764.61,986.73,813.44,844.29,1655.53,866.99,961.77,1288.30,949.77,758.34,1180.82,683.89,720.12,798.34,870.41,1560.42,895.89,1816.47,849.81
1929,793.51,770.98,740.61,807.90,771.36,690.01,1392.11,724.44,823.13,987.38,716.44,713.72,961.94,664.98,584.40,552.76,677.63,1245.57,693.63,1447.22,728.50
1930,921.62,909.80,737.10,747.31,798.77,801.02,1599.01,823.29,1105.56,1244.49,978.73,802.92,1415.25,699.97,672.33,547.22,761.18,1342.38,846.63,2153.40,801.31
1931,887.20,812.19,767.44,871.70,800.63,670.37,1675.28,792.51,994.82,1169.56,765.10,737.23,1149.83,697.68,704.17,699.79,700.06,1502.94,720.14,1677.97,668.17
1932,866.14,843.18,623.03,690.56,719.02,854.07,1520.73,769.78,1074.05,1182.60,941.86,732.35,1232.41,595.60,534.41,524.45,810.09,1269.95,861.92,1786.46,858.79
1933,942.49,897.81,810.53,825.68,861.50,845.44,1929.69,874.29,1146.60,1207.44,942.40,813.85,1176.84,758.59,621.05,567.44,839.28,1510.23,902.04,1600.52,915.15
1934,990.54,845.30,758.63,843.24,790.55,918.69,1870.44,821.49,1282.44,1421.19,870.40,754.98,1337.63,705.43,714.59,662.14,855.31,1588.13,834.05,1774.32,959.31
1935,940.80,766.34,706.43,763.15,740.07,821.47,1808.65,772.83,1199.49,1386.18,801.26,697.21,1359.23,674.83,677.60,494.72,793.70,1729.64,782.35,2051.57,849.60
1936,940.07,820.37,727.96,747.35,763.84,892.31,1655.68,772.09,1267.50,1390.99,818.49,733.17,1453.84,678.03,643.95,505.54,813.19,1498.62,789.81,2010.73,827.24
1937,1136.77,1126.26,892.73,825.84,970.47,1169.94,2176.67,1099.32,1338.92,1588.22,1281.59,972.15,1443.79,859.40,671.81,438.28,1147.48,1804.48,1174.23,1952.71,1142.57
1938,790.20,740.16,612.67,759.10,673.71,677.21,1329.61,715.98,945.37,1086.23,767.91,643.05,1097.31,563.48,603.00,596.12,683.46,1146.66,724.60,1597.37,592.08
1939,986.56,1000.04,908.81,915.75,936.86,830.61,1542.11,939.38,1052.32,1337.45,962.56,904.50,1287.92,848.07,711.38,585.74,864.37,1544.32,920.12,1954.41,755.20
1940,938.48,953.27,851.75,888.51,887.27,832.20,1639.53,895.87,918.78,1194.09,952.18,846.54,1213.28,781.11,672.87,520.74,848.13,1432.00,908.16,1842.81,850.03
1941,962.75,941.15,788.77,838.44,877.92,904.42,1565.13,917.72,1230.90,1315.71,943.78,839.27,1362.39,719.52,647.87,557.95,897.63,1382.25,915.98,1795.06,808.49
1942,817.69,765.03,739.02,887.36,747.08,735.19,1261.95,738.14,935.10,1060.88,757.78,687.50,1028.78,661.92,519.39,658.80,745.00,1241.92,739.84,1492.37,623.78
1943,800.35,744.83,695.42,833.36,715.41,727.27,1257.50,727.51,1002.13,1003.61,767.65,676.83,1047.11,649.82,641.39,561.86,731.05,1133.97,723.69,1491.72,657.04
1944,807.36,725.05,668.57,735.25,661.14,703.09,1522.16,672.22,745.67,1084.18,775.13,657.60,990.80,675.40,522.56,569.34,680.17,1542.15,695.78,1595.22,734.96
1945,668.13,509.64,642.30,709.29,595.98,519.22,1245.32,454.35,855.29,1027.06,497.91,507.71,993.73,550.45,404.74,428.17,460.66,1294.17,434.27,1503.01,510.64
1946,832.72,681.41,649.44,789.38,669.73,742.61,1360.72,705.99,952.20,1143.51,779.57,605.50,1173.78,541.35,746.11,549.98,752.17,1305.59,749.10,1762.48,682.20
1947,839.86,743.64,611.38,576.79,674.32,864.39,1532.27,771.18,1108.21,1288.52,806.88,654.64,1184.25,593.67,527.72,265.67,800.91,1457.17,788.04,1587.85,808.85
1948,838.54,676.39,603.53,763.28,633.64,783.11,1804.01,617.58,976.20,1237.07,739.77,599.49,1213.44,512.81,487.92,578.49,670.73,1495.06,661.87,1723.97,880.54
1949,788.03,714.25,635.37,681.79,641.56,754.89,1446.96,693.12,958.10,1054.04,717.47,650.01,995.36,660.03,524.09,519.48,745.23,1276.05,706.46,1332.96,724.55
1950,827.39,690.17,688.15,884.15,672.43,671.29,1561.24,670.67,956.19,1157.76,750.02,603.47,1076.98,627.80,560.42,663.26,664.72,1449.03,663.15,1677.33,702.30
1951,1039.85,830.92,756.70,863.96,744.04,1009.11,1858.60,819.34,1421.63,1598.52,938.71,695.25,1605.10,711.15,575.24,649.21,899.84,1723.52,858.58,2148.75,1008.34
1952,792.08,661.36,606.56,673.23,620.74,671.23,1652.44,632.94,861.98,1147.80,689.38,582.06,1153.66,578.45,468.24,452.34,681.36,1533.56,663.35,1805.21,746.88
1953,858.48,738.68,747.71,869.79,726.23,791.82,1455.55,698.56,927.84,1103.90,748.24,692.15,1046.57,651.97,608.73,828.53,719.43,1292.96,712.30,1386.11,812.23
1954,903.63,712.34,770.93,876.97,737.97,741.88,1647.82,652.41,1059.31,1315.31,763.20,706.47,1335.94,715.91,474.45,711.19,685.98,1698.79,705.19,1988.50,740.59
1955,863.38,761.50,731.83,807.07,712.39,796.05,1673.84,707.69,948.89,1100.46,801.45,693.74,1126.07,674.59,599.74,623.05,739.70,1412.65,717.68,1779.33,854.23
1956,856.95,783.02,661.50,752.73,696.26,714.97,1644.60,762.75,951.25,1176.35,749.61,696.69,1230.07,631.16,634.48,549.14,691.75,1460.62,742.49,1812.44,773.20
1957,889.89,707.57,691.37,761.80,700.96,776.19,1541.33,660.26,1139.91,1378.26,687.22,709.90,1287.27,654.82,705.80,626.51,651.58,1514.68,652.09,1798.44,778.09
1958,928.57,910.17,724.55,754.70,822.10,799.78,1874.54,852.89,1105.89,1333.18,842.44,834.39,1293.76,687.54,570.15,506.53,700.47,1654.53,803.99,1939.69,862.77
1959,1004.43,851.20,760.81,820.70,794.35,994.08,1694.59,780.63,1382.90,1435.13,926.47,775.22,1495.85,727.40,799.49,621.81,847.54,1412.81,840.46,2073.99,994.39
1960,1108.77,919.88,771.77,816.79,820.45,1120.98,2077.13,951.62,1460.36,1740.08,1042.76,787.22,1633.78,737.22,680.00,405.88,1055.39,1902.97,979.89,2280.43,1147.05
1961,812.67,810.41,639.41,581.51,747.28,767.71,1552.72,775.61,1038.08,1073.83,834.13,725.84,1096.41,606.80,536.61,392.00,789.27,1305.91,778.14,1551.97,751.89
1962,827.48,816.25,629.69,704.20,703.82,720.92,1679.56,805.03,894.21,1057.58,801.56,710.24,970.31,629.73,611.99,562.45,712.45,1479.18,767.99,1374.32,739.57
1963,1014.85,914.87,839.42,873.47,906.83,982.62,1624.73,870.67,1310.69,1506.65,933.44,843.79,1491.77,771.11,684.21,482.92,893.30,1514.93,879.75,2025.57,938.24
1964,934.38,903.34,741.79,780.95,793.21,947.08,1635.82,875.14,1057.98,1205.08,988.02,788.47,1100.20,696.87,603.92,624.43,920.82,1497.52,934.63,1533.92,872.54
1965,889.50,700.81,606.03,706.22,635.66,878.20,1961.06,685.07,958.77,1259.32,793.74,586.35,1125.83,552.78,693.99,553.70,814.42,1658.49,715.42,1774.42,952.18
1966,999.63,848.04,793.31,854.88,844.92,943.82,1738.81,842.79,1205.11,1429.52,941.21,788.00,1345.32,736.51,619.22,597.52,923.06,1798.11,887.96,1878.01,883.18
1967,747.57,679.73,618.81,651.82,651.52,677.65,1456.02,621.18,783.70,1077.25,671.21,641.23,894.32,569.51,520.11,412.00,642.83,1445.48,618.15,1415.83,667.86
1968,901.52,741.84,711.64,776.48,688.36,888.76,1595.65,703.01,1165.70,1353.74,804.19,660.79,1323.95,686.97,534.63,468.04,799.41,1552.04,751.82,1912.80,840.69
1969,906.10,903.41,849.01,891.01,895.23,823.54,1456.24,856.81,993.10,1078.78,902.23,804.33,1123.03,781.57,758.83,644.62,842.49,1183.85,845.90,1574.05,741.93
1970,779.31,690.74,590.69,645.42,662.69,688.88,1503.21,660.93,923.92,1186.23,694.59,628.76,1099.19,584.72,390.08,371.53,663.25,1639.30,637.85,1682.35,642.40
