Variable:,pr
,Honduras,Atlantida,Choluteca,Colon,Comayagua,Copan,Cortes,"Francisco Morazan","Gracias A Dios",Intibuca,"Islas De Bahia","La Paz",Lempira,"Name Unknown",Ocotepeque,Olancho,Paraiso,"Santa Barbara",Valle,Yoro
1901,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1902,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1903,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1904,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1905,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1906,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1907,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1908,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1909,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1910,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1911,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1912,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1913,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1914,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
1915,1932.31,2381.00,1532.19,2098.91,1823.82,1956.86,2245.35,1424.60,2858.22,1726.20,1795.61,1559.02,1700.99,1700.99,1873.29,1664.21,1347.76,2110.25,1472.42,1827.48
