Variable:,pr
,Lithuania,Alytaus,Kauno,Klaipedos,Marijampoles,Panevezio,Siauliu,Taurages,Telsiu,Utenos,Vilniaus
1901,635.46,616.65,619.58,728.38,627.11,567.34,625.25,709.44,732.13,610.42,626.04
1902,646.53,613.78,618.36,702.42,603.30,628.30,631.16,675.73,713.61,668.11,652.55
1903,745.98,691.99,702.45,842.48,682.74,714.10,739.66,788.42,852.08,765.40,746.66
1904,660.45,593.69,635.15,723.93,606.33,651.59,660.38,690.14,747.88,680.25,654.05
1905,671.47,635.56,630.13,799.80,633.56,616.73,657.13,737.31,792.25,666.95,659.57
1906,704.14,666.39,663.49,759.05,644.50,677.70,681.71,732.30,774.69,743.08,732.90
1907,614.01,566.31,580.60,724.03,579.13,574.30,608.78,673.65,728.83,609.55,593.29
1908,642.38,593.17,597.52,735.66,588.35,610.21,623.66,680.94,743.93,665.78,652.09
1909,557.22,528.47,511.71,664.47,504.66,506.66,553.96,602.76,675.52,553.82,558.05
1910,659.58,622.40,622.97,750.92,624.06,614.89,646.85,709.97,750.17,666.04,664.73
1911,537.31,462.96,485.96,679.62,485.58,500.98,570.58,595.17,706.21,513.91,490.76
1912,719.49,680.25,670.91,846.59,661.26,668.09,707.66,773.99,848.08,720.30,719.28
1913,698.77,628.24,659.22,839.16,651.04,645.04,696.90,763.32,834.81,687.26,689.70
1914,616.29,552.95,574.52,763.80,570.97,560.74,619.96,689.42,757.83,592.28,599.50
1915,627.79,584.24,589.72,735.40,585.49,584.39,608.36,681.32,735.08,636.31,627.45
1916,749.11,713.89,719.62,853.60,712.28,690.34,726.71,799.80,855.40,753.90,756.18
1917,651.16,623.88,626.72,706.52,613.55,622.46,619.11,683.67,705.68,682.13,669.92
1918,516.98,507.87,483.23,590.69,501.37,489.15,494.63,554.15,581.28,528.37,511.30
1919,616.35,591.59,592.58,723.89,600.06,565.66,607.24,675.34,714.46,594.07,601.39
1920,539.19,523.41,520.81,598.93,524.48,501.80,514.98,572.48,594.27,545.67,550.34
