Variable:,pr
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
1901,428.00,854.93,NaN,430.70,570.65,939.30,589.97,186.60,1163.97,570.78,303.59
1902,321.23,678.40,NaN,317.03,404.58,790.70,305.32,167.27,1032.71,481.08,317.53
1903,527.82,929.49,NaN,571.72,616.30,980.30,794.44,260.96,1329.95,698.46,352.65
1904,496.03,734.17,NaN,477.67,752.86,782.00,612.78,262.87,995.47,605.54,354.15
1905,360.00,782.64,NaN,453.91,376.02,753.00,435.43,175.60,1236.63,637.86,295.69
1906,480.64,940.58,NaN,584.19,482.30,751.30,802.72,242.17,1080.07,719.56,283.84
1907,477.43,644.02,NaN,464.08,612.07,696.70,665.46,221.65,1167.47,541.33,358.08
1908,472.44,781.74,NaN,483.49,544.15,812.50,681.85,269.24,779.82,539.90,353.82
1909,461.31,848.90,NaN,511.45,461.23,788.80,657.99,226.60,1095.61,701.20,365.79
1910,539.63,822.27,NaN,531.06,703.61,870.20,831.60,284.82,1209.99,683.14,325.39
1911,445.54,936.50,NaN,587.63,483.60,1042.50,719.84,198.93,1055.91,698.81,250.81
1912,393.27,801.61,NaN,440.63,488.99,878.10,489.20,215.09,1124.60,580.74,296.36
1913,471.52,830.65,NaN,514.71,514.88,1087.50,761.74,219.73,915.88,601.62,311.70
1914,440.59,778.29,NaN,486.04,539.75,1230.60,638.51,181.01,768.02,406.67,334.07
1915,393.21,778.00,NaN,380.71,469.78,768.50,376.36,171.28,1131.48,587.09,419.09
1916,539.83,1216.45,NaN,668.41,598.31,1179.30,781.75,276.81,1442.17,793.34,359.30
1917,569.49,1065.70,NaN,644.28,617.25,981.90,809.30,304.44,1380.23,822.84,416.90
1918,455.89,783.92,NaN,414.56,523.01,834.70,641.63,180.51,1070.66,644.91,381.18
1919,388.74,724.95,NaN,369.34,591.33,937.30,411.51,195.07,879.17,560.17,319.87
1920,514.35,1021.29,NaN,575.90,628.30,913.90,761.49,305.20,1030.83,657.70,321.24
1921,558.83,997.57,NaN,697.77,715.37,1092.40,787.62,297.39,1003.17,685.62,354.83
1922,434.74,865.56,NaN,396.61,612.89,871.90,551.34,207.81,1133.45,560.95,331.57
1923,416.01,862.55,NaN,411.57,576.75,784.40,410.73,207.19,1407.78,655.84,370.71
1924,438.72,951.56,NaN,571.35,461.88,831.70,743.55,204.91,1256.88,750.97,218.52
1925,434.91,888.46,NaN,501.35,510.54,984.10,605.84,172.00,913.84,526.67,339.72
1926,412.99,813.28,NaN,521.44,515.46,830.00,409.07,205.40,1119.00,588.65,373.69
1927,429.78,696.10,NaN,411.64,481.18,850.80,616.52,164.41,931.76,475.43,367.49
1928,385.74,783.17,NaN,510.21,391.23,951.20,545.11,149.81,1256.22,653.02,280.77
1929,399.25,842.54,NaN,444.39,464.91,1164.90,575.56,140.08,1244.68,559.20,295.41
1930,482.59,801.15,NaN,533.23,621.86,866.00,680.55,223.76,1019.89,645.50,330.04
1931,444.95,977.02,NaN,629.77,482.21,1064.10,540.00,228.58,1313.98,697.18,342.04
1932,401.76,850.60,NaN,479.10,501.14,860.80,438.71,240.00,1157.58,687.22,318.28
1933,456.36,824.14,NaN,539.77,512.63,936.90,710.87,188.24,946.29,633.91,303.53
1934,459.84,1333.52,NaN,621.30,483.53,1551.70,602.17,178.04,1070.57,744.62,368.50
1935,364.38,854.61,NaN,388.71,474.79,840.40,405.45,212.73,1154.73,653.65,283.51
1936,432.47,999.57,NaN,550.41,514.63,906.90,709.59,191.59,1025.02,663.16,219.99
1937,402.73,777.20,NaN,452.83,516.65,962.80,497.22,222.48,1019.77,550.50,303.38
1938,381.83,787.04,NaN,406.87,467.75,897.60,534.72,197.61,1158.70,416.60,272.80
1939,499.74,980.25,NaN,572.16,604.17,831.70,700.70,279.09,1293.69,787.33,324.81
1940,409.59,569.70,NaN,317.52,594.05,610.80,661.19,140.95,866.40,441.06,259.81
1941,490.58,740.21,NaN,437.73,696.45,748.40,722.30,237.05,967.56,637.63,313.41
1942,509.38,971.35,NaN,547.99,535.38,977.80,618.65,258.56,1111.16,694.09,474.41
1943,420.97,933.53,NaN,461.88,510.75,1004.40,544.55,167.01,966.83,511.81,353.15
1944,387.13,482.40,NaN,309.85,586.92,552.50,583.27,147.93,1088.09,441.38,242.09
1945,431.15,845.95,NaN,477.42,570.69,1083.80,555.79,238.68,929.34,533.16,311.55
1946,405.35,793.29,NaN,434.38,476.96,758.60,475.81,262.13,1361.01,720.31,313.19
1947,500.62,932.84,NaN,629.84,524.83,942.90,661.21,260.98,1383.45,738.84,387.09
1948,400.07,949.18,NaN,497.65,475.55,1028.30,486.83,172.43,1151.13,599.34,322.33
1949,489.41,1027.39,NaN,641.76,575.01,1243.50,703.23,228.13,989.40,675.94,321.80
1950,619.38,1402.93,NaN,890.31,732.31,1759.00,1072.48,291.94,944.48,678.14,278.05
1951,385.11,965.75,NaN,460.58,413.88,1150.60,479.95,194.63,1065.43,718.54,307.91
1952,401.26,1477.85,NaN,628.61,400.91,1652.90,509.05,239.16,1285.77,848.13,256.67
1953,460.50,778.77,NaN,449.51,624.44,796.20,646.94,245.39,1232.31,659.25,296.02
1954,472.69,718.85,NaN,584.00,516.57,832.60,800.36,214.15,982.68,660.31,262.02
1955,561.95,1157.57,NaN,696.38,547.38,1219.80,837.38,301.59,1192.40,789.42,404.07
1956,606.68,1442.27,NaN,814.91,665.24,1519.10,1028.10,263.09,1480.53,909.77,306.46
1957,407.00,686.43,NaN,353.94,609.28,715.70,555.69,157.69,988.38,548.66,285.41
1958,436.10,990.16,NaN,560.61,401.20,1104.90,623.94,257.94,1271.32,691.54,312.38
1959,431.87,1101.04,NaN,636.96,487.81,1471.60,648.87,153.22,898.64,578.04,272.26
1960,491.12,1198.73,NaN,545.95,632.34,1253.40,571.29,228.32,1124.00,811.61,401.21
1961,365.09,1232.64,NaN,589.31,317.40,1627.20,477.63,151.78,859.58,603.87,291.79
1962,460.92,980.30,NaN,636.77,503.59,1096.10,637.63,198.19,1140.47,632.93,331.01
1963,488.83,1049.28,NaN,689.51,438.11,1653.00,646.19,198.15,860.30,671.86,433.16
1964,457.75,1015.43,NaN,515.78,536.09,1066.70,676.71,203.46,1355.85,772.21,297.98
1965,363.58,643.34,NaN,354.71,451.05,655.50,461.81,143.14,962.10,533.17,310.03
1966,416.34,1017.85,NaN,501.48,508.07,1073.20,471.85,265.59,1018.16,709.94,319.65
1967,435.80,579.77,NaN,404.75,620.41,820.90,564.10,149.14,829.14,362.37,368.39
1968,542.22,883.40,NaN,553.40,693.56,618.70,637.56,340.97,1239.80,698.69,439.59
1969,436.57,1125.10,NaN,637.36,583.21,1352.50,479.81,251.73,1171.30,662.17,298.58
1970,402.77,1089.06,NaN,568.68,400.52,1009.80,561.39,167.13,1330.91,763.48,279.40
1971,505.05,908.21,NaN,595.90,563.40,870.80,742.03,247.14,1356.04,729.68,342.57
1972,383.71,701.30,NaN,464.43,484.52,944.60,605.51,158.78,844.55,474.89,221.50
1973,664.60,1144.48,NaN,752.72,773.84,1120.40,931.03,397.44,1266.39,909.20,464.17
1974,753.34,1506.34,NaN,809.61,1091.04,1850.10,961.00,449.96,1278.59,919.10,503.59
1975,600.16,1188.28,NaN,613.23,830.96,1458.20,821.93,306.23,1458.42,776.10,399.15
1976,552.08,897.78,NaN,677.77,809.94,1456.80,806.34,250.82,1054.41,559.35,305.18
1977,491.33,761.91,NaN,483.15,789.46,934.90,754.64,170.93,1015.75,540.23,263.01
1978,536.23,1232.45,NaN,733.99,632.23,1613.90,688.14,255.80,1078.93,808.09,390.11
1979,467.05,639.89,NaN,435.42,598.15,704.40,672.60,333.62,1049.57,608.21,291.36
1980,449.25,744.16,NaN,404.77,573.21,592.90,527.64,209.44,1082.04,590.59,409.38
1981,554.50,1035.66,NaN,553.60,716.08,1015.40,844.38,272.59,1137.79,717.60,351.59
1982,425.98,436.00,NaN,342.83,603.48,508.80,466.90,152.84,858.75,357.72,431.34
1983,511.42,1173.27,NaN,692.65,604.50,1132.30,673.45,243.23,963.03,745.26,365.74
1984,562.83,1171.24,NaN,692.42,749.62,1360.30,727.31,242.98,1126.23,646.67,412.92
1985,417.43,988.99,NaN,549.98,500.90,1166.70,579.24,184.54,1058.11,662.59,273.67
1986,414.26,944.44,NaN,461.13,478.69,967.30,516.80,213.52,1122.89,656.11,334.36
1987,476.91,815.40,NaN,565.18,641.45,905.10,586.41,238.30,908.00,610.43,357.47
1988,474.64,1202.53,NaN,704.53,532.07,1373.50,587.36,252.04,1079.20,718.73,344.06
1989,478.76,1156.18,NaN,638.76,526.63,1417.30,714.79,227.76,1039.41,736.99,302.26
1990,433.30,1057.87,NaN,612.72,457.64,1299.80,599.30,219.54,1023.92,620.77,302.04
1991,471.95,968.43,NaN,475.54,630.29,1044.70,715.14,185.98,1084.25,642.62,301.19
1992,454.88,1176.78,NaN,640.89,458.65,1278.20,511.35,358.22,1175.84,839.84,341.10
1993,497.13,1018.44,NaN,582.66,656.89,857.90,551.29,255.28,1069.81,756.53,404.22
1994,352.51,678.60,NaN,362.48,468.45,719.80,443.45,141.71,905.27,468.14,283.61
1995,524.04,1079.51,NaN,601.77,674.34,1138.80,607.65,259.76,1064.27,720.80,434.21
1996,476.10,1020.81,NaN,600.63,516.76,946.80,627.68,200.71,1270.24,715.45,377.17
1997,526.72,644.85,NaN,463.13,699.83,802.40,677.39,265.20,915.67,470.02,449.56
1998,546.28,1057.82,NaN,649.91,605.18,1156.90,808.60,265.36,1047.46,595.06,396.38
1999,573.89,985.40,NaN,666.84,676.44,1081.70,763.39,214.01,932.96,617.33,488.25
2000,650.44,873.38,NaN,601.60,904.41,833.60,850.15,277.43,1057.54,690.45,525.53
2001,497.69,858.41,NaN,486.93,763.81,837.90,513.17,275.41,1133.10,616.17,408.27
2002,341.96,587.37,NaN,345.03,449.09,703.90,393.01,129.33,956.44,458.30,306.29
2003,464.52,873.42,NaN,496.36,689.61,956.20,515.92,234.30,1084.54,618.47,359.89
2004,494.91,781.62,NaN,521.68,639.42,824.70,644.79,201.50,1054.16,600.91,398.10
2005,402.80,963.37,NaN,500.35,522.83,941.80,470.53,207.84,1133.82,622.81,299.61
2006,461.26,552.64,NaN,359.08,599.75,680.70,602.94,156.44,721.60,376.40,442.96
2007,472.32,825.97,NaN,540.09,562.88,1080.90,690.57,227.09,934.88,580.64,327.59
2008,468.17,739.45,NaN,542.90,546.26,839.40,655.95,183.70,821.92,497.67,374.28
2009,478.91,610.21,NaN,479.11,623.48,708.20,717.19,213.54,1227.14,519.36,320.03
2010,640.37,1200.96,NaN,800.89,789.79,1228.70,1078.74,333.03,1018.33,842.60,302.59
2011,563.14,1025.97,NaN,617.30,676.14,1078.20,719.15,280.25,1104.31,722.10,461.97
2012,470.49,826.29,NaN,530.86,591.86,1034.50,661.62,183.71,966.26,571.45,346.92
2013,443.93,859.03,NaN,507.75,582.48,1101.90,509.26,204.93,1042.99,601.43,369.94
2014,462.17,884.84,NaN,489.72,601.10,1022.30,585.90,215.71,826.36,538.01,375.30
2015,452.05,1083.08,NaN,562.51,610.36,1190.20,573.74,210.64,760.42,528.42,329.07
2016,498.12,1082.19,NaN,614.34,602.77,1173.10,619.68,299.56,1069.89,728.58,364.83
2017,472.86,678.55,NaN,476.03,634.95,861.30,600.93,243.49,844.15,592.52,368.37
2018,450.91,659.54,NaN,402.81,582.26,821.20,599.19,204.90,888.99,515.24,374.84
2019,377.53,524.08,NaN,346.75,505.14,644.80,573.02,150.99,747.46,486.75,255.32
2020,481.85,1143.82,NaN,627.27,585.76,1234.00,634.01,243.95,1036.95,672.82,338.33
