Variable:,pr
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
1901,245.93,177.85,511.20,848.61,520.23,321.75,82.15,718.12,205.14
1902,197.19,118.85,247.93,625.20,372.89,243.47,153.94,554.48,267.75
1903,277.34,169.80,458.18,953.56,584.64,352.57,188.02,795.78,279.50
1904,246.54,133.57,510.35,975.30,600.77,324.09,73.97,836.21,338.08
1905,251.84,195.39,496.51,821.00,541.57,288.57,89.75,698.62,260.69
1906,271.92,184.16,421.18,886.56,515.19,343.96,163.20,770.37,307.44
1907,259.64,156.21,454.93,907.64,513.94,352.86,164.34,776.88,252.53
1908,360.43,223.09,573.53,1278.55,728.91,476.95,202.63,1090.30,410.59
1909,345.75,241.41,446.99,1151.74,583.46,494.43,208.11,964.19,295.06
1910,307.38,139.53,636.81,1149.35,712.68,400.93,234.92,930.12,346.81
1911,229.69,163.24,481.10,832.95,502.94,299.59,41.31,724.40,248.89
1912,260.09,186.85,432.49,778.11,524.96,298.34,167.51,668.24,275.80
1913,279.68,184.02,347.35,837.06,480.82,319.77,290.54,739.22,300.67
1914,358.90,240.40,743.46,1322.86,754.06,468.96,169.79,1052.34,306.47
1915,224.49,163.06,474.31,785.71,481.45,275.52,74.47,667.45,227.02
1916,342.88,250.34,573.23,1061.37,551.69,447.25,299.22,790.68,191.28
1917,320.76,181.55,475.73,1199.85,554.77,480.60,262.16,987.79,233.87
1918,211.98,156.98,393.85,707.89,447.52,257.57,80.92,595.54,219.24
1919,300.61,198.39,532.82,908.64,574.17,404.41,201.28,727.02,243.69
1920,214.43,130.02,375.54,688.66,493.29,264.38,81.85,628.19,318.54
1921,287.27,162.18,368.35,905.86,565.62,334.44,276.81,798.20,379.76
1922,246.38,127.98,472.06,906.97,584.36,330.92,102.06,774.20,333.03
1923,291.46,148.18,519.83,1186.92,680.10,420.08,109.74,1012.07,354.61
1924,318.58,234.64,591.76,1044.84,665.76,382.63,123.37,885.67,356.31
1925,232.13,124.32,520.25,969.11,551.32,346.42,57.18,772.74,229.04
1926,312.99,215.84,496.07,901.43,541.39,386.55,285.86,746.90,245.16
1927,272.27,203.05,296.40,679.63,430.28,286.93,300.83,596.20,284.88
1928,238.90,132.33,434.24,851.77,530.35,323.69,125.58,726.11,273.12
1929,337.22,204.57,592.30,1298.61,675.29,453.13,252.16,964.51,254.18
