Variable:,pr
,Bhutan,Bumthang,Chhukha,Dagana,Gasa,Haa,Lhuentse,Monggar,Paro,Pemagatshel,Punakha,Samdrupjongkhar,Samtse,Sarpang,Thimphu,Trashigang,Trashiyangtse,Trongsa,Tsirang,Wangduephodrang,Zhemgang
1901,1922.67,1581.25,2262.71,2192.90,1279.58,1843.22,1685.11,2238.84,1529.04,2348.98,1511.19,2177.52,2273.00,2428.33,1520.01,2032.37,1702.55,2054.08,2373.73,1869.77,2343.18
1902,1856.60,1487.66,2258.68,2121.06,1241.56,1883.35,1638.47,2135.91,1551.75,2218.36,1460.34,2148.53,2371.82,2244.66,1485.35,2017.98,1692.09,1906.91,2199.25,1761.82,2162.16
1903,2013.30,1665.63,2366.51,2293.16,1340.95,1914.65,1785.46,2348.76,1589.40,2448.88,1581.31,2279.12,2361.66,2531.80,1585.06,2143.66,1808.30,2148.60,2476.57,1957.85,2442.67
1904,1916.37,1571.79,2324.85,2219.03,1296.93,1889.16,1676.05,2196.20,1561.85,2292.60,1524.36,2120.07,2376.09,2391.26,1533.94,1979.14,1686.00,2026.94,2344.49,1864.37,2291.74
1905,2181.82,1789.74,2662.26,2558.25,1389.14,2129.68,1888.16,2539.79,1738.10,2679.91,1669.86,2411.05,2664.47,2808.80,1707.40,2240.22,1886.83,2340.17,2734.81,2116.13,2697.48
1906,1823.42,1480.28,2216.16,2098.00,1240.24,1861.46,1587.81,2074.86,1541.55,2156.29,1462.42,2018.85,2316.02,2234.70,1486.54,1893.07,1605.68,1909.59,2197.07,1766.06,2147.83
1907,1674.88,1341.61,2054.28,1920.60,1184.73,1768.98,1457.47,1872.58,1470.36,1928.64,1381.47,1844.94,2200.28,1997.37,1397.98,1735.57,1482.97,1724.05,1976.33,1620.64,1910.06
1908,1903.55,1551.73,2216.94,2152.37,1240.31,1767.68,1693.76,2254.57,1463.88,2371.92,1463.29,2254.74,2212.21,2408.67,1464.28,2098.79,1742.05,2010.64,2344.33,1823.75,2319.29
1909,1817.65,1458.60,2225.70,2095.46,1217.24,1838.96,1585.05,2084.54,1515.62,2179.24,1428.48,2069.49,2333.04,2232.31,1454.41,1935.58,1623.07,1880.58,2182.92,1732.52,2142.14
1910,2075.14,1688.14,2451.35,2368.65,1304.87,1943.55,1832.49,2474.79,1592.83,2612.45,1556.41,2446.90,2449.61,2645.62,1579.45,2278.06,1877.22,2201.21,2564.82,1976.57,2564.08
1911,2450.96,2016.07,2889.85,2838.60,1497.06,2212.91,2158.15,2950.57,1802.28,3134.46,1809.00,2872.20,2756.99,3226.28,1830.24,2648.09,2183.54,2650.43,3121.81,2358.51,3109.02
1912,1924.05,1576.38,2261.40,2178.27,1304.66,1854.61,1709.08,2238.26,1542.69,2323.13,1527.77,2207.08,2288.77,2376.01,1527.43,2073.72,1744.46,2029.15,2330.41,1862.10,2293.88
1913,2168.73,1743.24,2641.45,2522.25,1359.93,2113.22,1881.86,2554.28,1722.26,2693.00,1633.36,2522.97,2663.85,2747.36,1678.60,2337.84,1920.11,2283.64,2670.73,2063.47,2650.14
1914,1900.91,1546.28,2337.30,2209.98,1278.11,1922.26,1651.50,2170.55,1584.14,2273.53,1505.24,2093.98,2420.55,2362.07,1529.56,1952.14,1662.47,1994.64,2310.37,1835.72,2266.03
1915,2261.23,1828.55,2689.60,2589.28,1414.47,2150.82,1995.48,2695.08,1760.63,2844.80,1695.16,2665.65,2681.72,2878.92,1728.86,2470.55,2042.76,2386.99,2787.53,2147.42,2787.25
1916,1871.82,1493.05,2285.95,2160.14,1214.71,1863.01,1621.31,2181.59,1528.36,2308.05,1435.22,2179.28,2370.15,2333.64,1470.20,2014.95,1661.50,1941.65,2266.41,1767.74,2251.32
1917,2028.81,1666.69,2434.33,2334.89,1375.61,1958.10,1793.33,2340.14,1620.55,2422.10,1611.53,2293.92,2455.13,2510.22,1610.56,2164.13,1824.62,2142.10,2468.78,1970.28,2408.75
1918,2040.63,1694.18,2443.87,2340.14,1391.08,2006.04,1810.60,2335.65,1663.21,2414.84,1633.95,2251.95,2492.11,2517.35,1639.34,2129.05,1826.91,2162.18,2476.84,1993.93,2420.15
1919,2016.82,1651.07,2372.54,2311.21,1298.32,1863.90,1779.49,2387.25,1534.96,2513.25,1542.17,2349.17,2337.15,2585.84,1546.11,2187.92,1814.70,2153.80,2518.93,1946.39,2484.19
1920,1820.04,1486.39,2180.43,2098.30,1212.75,1742.20,1592.10,2113.60,1438.71,2226.65,1424.27,2053.34,2207.63,2314.11,1426.96,1910.89,1609.73,1931.56,2258.08,1761.97,2212.95
1921,2164.61,1778.68,2478.78,2421.12,1397.45,1983.31,1947.19,2594.33,1640.19,2715.47,1654.30,2596.65,2439.52,2723.67,1651.56,2413.60,2000.54,2300.83,2652.26,2076.63,2649.48
1922,2074.02,1689.15,2534.25,2417.59,1332.16,2041.42,1799.96,2405.50,1669.25,2528.44,1592.98,2315.64,2577.14,2634.41,1629.09,2164.77,1816.95,2203.46,2569.21,2000.64,2531.07
1923,1816.07,1467.33,2140.76,2049.01,1213.52,1766.63,1603.98,2121.07,1466.65,2226.37,1425.82,2131.03,2201.79,2239.50,1436.45,1980.14,1649.55,1892.32,2184.98,1735.32,2166.00
1924,2273.24,1874.10,2655.26,2596.33,1423.31,2072.39,2019.80,2723.69,1698.47,2875.66,1702.05,2678.29,2579.66,2929.96,1715.06,2491.00,2060.43,2437.89,2839.99,2182.06,2838.24
1925,1919.81,1524.05,2401.20,2249.45,1234.82,1956.76,1658.12,2214.19,1593.77,2336.05,1470.11,2210.17,2494.89,2382.38,1516.72,2044.91,1699.81,1978.51,2320.28,1811.81,2282.63
1926,1742.99,1393.61,2131.54,2007.04,1161.30,1777.61,1510.31,1998.49,1463.50,2087.14,1371.40,1977.62,2244.90,2141.10,1401.32,1849.52,1543.97,1810.90,2099.16,1667.04,2057.13
1927,2301.05,1919.45,2621.86,2609.06,1453.75,2019.10,2061.95,2780.25,1665.74,2924.68,1734.86,2703.73,2475.87,3001.41,1724.42,2518.21,2090.44,2505.98,2917.24,2237.20,2903.61
1928,1819.23,1448.16,2227.73,2099.51,1199.57,1817.46,1591.80,2103.59,1494.86,2196.28,1413.59,2122.35,2313.35,2233.22,1440.24,1984.30,1645.29,1872.99,2185.78,1722.44,2138.29
1929,2049.14,1671.71,2448.15,2355.16,1327.62,1973.06,1794.85,2400.60,1623.93,2527.88,1577.21,2344.68,2463.08,2600.10,1598.55,2177.68,1819.32,2174.90,2530.65,1972.20,2506.30
1930,1936.11,1600.56,2246.82,2183.51,1314.55,1833.09,1723.02,2257.94,1528.07,2347.10,1539.78,2217.88,2249.15,2409.85,1531.28,2083.58,1752.17,2060.29,2363.84,1885.96,2327.81
1931,1852.36,1493.99,2222.93,2102.01,1276.02,1858.97,1634.75,2121.23,1543.49,2198.05,1487.97,2131.33,2318.80,2237.30,1495.09,1997.37,1681.05,1914.39,2200.11,1779.18,2150.40
1932,1963.64,1585.15,2245.35,2190.49,1242.92,1788.34,1742.52,2378.10,1480.39,2528.83,1470.25,2402.58,2227.84,2511.48,1478.18,2212.30,1800.82,2076.74,2422.97,1858.54,2444.75
1933,1757.54,1402.50,2202.21,2052.30,1182.91,1828.31,1521.40,1986.70,1501.59,2070.38,1392.41,1966.80,2335.26,2139.30,1425.78,1843.01,1555.37,1806.21,2100.46,1676.07,2041.37
1934,2441.28,2016.13,2803.15,2792.59,1500.57,2121.82,2157.57,2976.55,1741.92,3163.10,1802.75,2873.03,2621.24,3259.07,1802.39,2649.80,2178.61,2674.00,3149.01,2366.02,3146.96
1935,1788.71,1452.76,2154.44,2060.80,1182.06,1755.23,1563.17,2049.05,1448.16,2162.36,1408.84,2064.97,2204.78,2227.32,1422.58,1908.39,1598.61,1873.05,2180.43,1724.17,2130.79
1936,2125.91,1747.44,2502.82,2415.83,1405.88,1997.46,1887.37,2516.68,1650.79,2629.66,1635.58,2443.50,2505.61,2682.73,1642.07,2288.17,1916.78,2261.36,2613.18,2046.09,2598.22
1937,1716.51,1365.52,2236.43,2057.39,1164.11,1855.10,1455.98,1875.86,1515.01,1964.88,1393.27,1844.90,2398.77,2089.90,1425.32,1713.81,1469.51,1758.30,2061.16,1654.92,1964.45
1938,2327.66,1911.48,2750.75,2670.86,1515.65,2167.42,2053.26,2756.26,1785.04,2909.05,1759.86,2698.18,2699.68,2982.18,1782.85,2509.21,2085.81,2481.09,2894.13,2231.28,2880.74
1939,1866.98,1516.99,2277.34,2173.44,1232.87,1816.76,1626.96,2156.69,1494.91,2261.12,1452.21,2095.26,2319.16,2360.81,1467.78,1964.76,1650.63,1971.24,2307.92,1800.47,2252.15
1940,2116.64,1739.79,2503.17,2431.16,1372.82,2010.30,1847.78,2488.93,1656.30,2635.79,1635.32,2391.28,2485.04,2726.44,1648.89,2209.29,1852.81,2273.92,2648.27,2055.77,2629.80
1941,1916.72,1485.45,2399.50,2282.09,1148.80,1871.02,1604.05,2233.65,1518.28,2450.93,1412.38,2312.97,2417.63,2519.76,1464.82,2067.89,1653.40,1986.43,2419.76,1789.27,2383.83
1942,2076.23,1723.96,2441.66,2353.61,1410.42,1985.51,1852.89,2427.76,1647.59,2511.64,1636.91,2320.28,2465.07,2588.25,1635.80,2189.03,1868.06,2216.36,2537.87,2021.87,2504.35
1943,1981.60,1592.91,2411.87,2297.82,1279.28,1941.85,1721.22,2304.31,1590.21,2439.76,1522.61,2294.56,2451.43,2505.32,1547.64,2108.25,1752.34,2078.38,2439.29,1892.78,2399.59
1944,1516.40,1163.34,1984.11,1804.23,958.66,1688.93,1261.99,1666.55,1371.18,1775.81,1201.98,1723.47,2194.32,1844.67,1252.66,1572.09,1299.98,1524.59,1807.89,1429.65,1736.73
1945,2021.48,1648.57,2439.88,2321.92,1353.36,1991.19,1778.30,2339.74,1641.47,2430.21,1582.28,2283.18,2498.16,2510.65,1599.90,2141.55,1804.47,2128.69,2462.09,1947.93,2412.78
1946,1979.76,1562.62,2439.70,2323.06,1222.48,1956.43,1683.39,2307.65,1595.54,2465.96,1491.33,2305.49,2484.84,2548.08,1541.23,2120.24,1723.90,2077.41,2472.09,1877.24,2431.92
1947,2150.98,1732.04,2587.98,2503.71,1384.75,2034.12,1858.60,2516.44,1670.66,2684.71,1639.82,2494.34,2555.75,2788.40,1660.69,2295.50,1893.84,2280.97,2704.46,2064.44,2660.16
1948,2233.94,1830.62,2547.56,2486.86,1397.12,1989.44,2015.17,2740.44,1638.87,2910.88,1639.31,2743.96,2485.27,2843.39,1654.36,2526.31,2069.88,2372.08,2719.54,2101.50,2821.90
1949,2023.37,1628.87,2355.90,2268.14,1295.49,1892.42,1807.65,2419.61,1553.91,2612.07,1531.06,2467.29,2384.09,2517.53,1538.44,2261.80,1868.49,2111.48,2439.18,1911.11,2465.41
1950,1814.86,1497.02,2130.67,2052.39,1219.86,1735.76,1632.80,2120.84,1430.08,2185.44,1429.10,2087.07,2168.15,2235.82,1423.20,1975.08,1669.22,1911.95,2204.69,1759.60,2143.11
1951,2173.01,1847.86,2356.77,2364.69,1372.14,1799.42,2044.80,2744.88,1503.39,2848.65,1584.33,2704.26,2166.60,2724.69,1572.57,2551.12,2108.21,2336.88,2606.43,2057.66,2753.51
1952,2156.99,1814.01,2403.93,2312.34,1406.04,1934.29,1998.51,2659.70,1603.27,2768.47,1636.71,2575.16,2389.16,2698.35,1598.40,2424.55,2037.17,2308.52,2583.87,2022.66,2718.29
1953,2048.13,1661.14,2399.83,2340.95,1285.41,1910.49,1789.25,2445.62,1561.91,2614.55,1532.04,2442.00,2389.44,2640.06,1555.42,2222.85,1813.78,2180.41,2540.50,1952.84,2571.99
1954,1982.47,1641.76,2307.91,2215.78,1357.82,1925.70,1778.25,2299.42,1604.50,2382.37,1580.34,2254.98,2336.33,2429.97,1578.67,2125.58,1805.22,2099.64,2373.03,1917.93,2379.37
1955,2107.80,1739.04,2468.44,2376.72,1394.12,2002.46,1873.54,2491.28,1655.30,2597.55,1632.94,2436.13,2490.56,2638.14,1640.39,2271.92,1904.13,2235.25,2552.25,2015.27,2586.63
1956,1898.71,1533.38,2320.88,2236.28,1166.16,1814.52,1638.01,2184.81,1470.85,2406.23,1395.47,2248.55,2320.50,2490.22,1445.25,1985.76,1648.43,2012.79,2420.42,1821.65,2357.15
1957,1518.94,1245.43,1792.40,1720.21,968.43,1359.07,1392.89,1840.56,1122.79,1918.79,1127.60,1839.95,1801.22,1906.56,1126.98,1707.02,1437.14,1595.48,1843.66,1413.24,1862.43
1958,1673.94,1349.54,1899.38,1814.38,1108.38,1596.70,1504.61,2002.15,1313.94,2127.78,1297.70,2022.90,1988.60,2090.13,1282.16,1828.48,1541.38,1768.87,2042.54,1588.02,2035.61
1959,1919.58,1531.29,2256.48,2153.52,1252.14,1869.70,1682.77,2254.39,1544.13,2388.64,1477.46,2255.53,2335.48,2416.16,1506.51,2084.42,1726.22,2010.83,2324.89,1819.88,2361.34
1960,1799.61,1536.42,2088.18,2031.15,1268.67,1732.72,1635.73,2069.30,1438.11,2115.37,1492.95,1946.93,2100.50,2198.26,1453.80,1873.32,1637.25,1928.83,2176.66,1772.03,2127.49
1961,1728.53,1460.86,2102.40,2009.20,1215.50,1788.70,1509.96,1941.46,1446.54,1924.83,1422.31,1763.41,2178.89,2102.19,1413.45,1719.44,1499.57,1868.65,2127.71,1763.65,1978.88
1962,2222.72,1986.35,2397.66,2285.62,1705.26,2212.19,2144.05,2602.87,1847.26,2460.57,1886.50,2384.55,2548.26,2475.80,1799.00,2373.62,2150.71,2385.30,2483.57,2236.60,2486.47
1963,2084.90,1757.68,2457.04,2366.25,1475.65,2047.86,1873.60,2417.48,1685.29,2395.61,1718.82,2210.81,2499.75,2549.47,1675.87,2144.40,1877.86,2245.61,2552.03,2079.00,2432.20
1964,1796.34,1448.05,2233.17,2125.66,1160.08,1758.29,1549.11,2057.67,1442.98,2200.06,1385.13,2076.26,2259.32,2281.60,1417.06,1928.13,1587.31,1850.45,2190.75,1687.71,2179.40
1965,1698.64,1399.99,2013.11,1934.05,1105.60,1518.84,1507.34,2034.14,1248.71,2141.11,1296.22,2016.53,2018.70,2130.81,1277.08,1871.36,1555.54,1803.04,2060.49,1622.94,2090.60
1966,1952.11,1702.11,2131.73,2075.06,1340.09,1775.99,1852.09,2344.18,1484.59,2349.78,1512.55,2297.15,2153.57,2336.77,1477.88,2203.61,1885.08,2097.87,2296.20,1897.06,2323.87
1967,1561.86,1240.61,1877.01,1801.20,1010.08,1513.89,1302.63,1790.72,1237.22,1955.64,1222.71,1819.15,1911.65,2032.96,1222.24,1655.68,1329.53,1667.16,1971.14,1494.33,1955.13
1968,2009.19,1679.38,2432.83,2312.74,1454.95,2061.38,1770.17,2208.05,1701.74,2302.92,1708.46,2167.25,2517.73,2409.92,1679.94,2012.83,1770.40,2095.42,2387.58,2000.73,2290.42
1969,1765.66,1438.00,2137.61,2067.30,1167.83,1706.14,1506.19,1971.20,1389.44,2157.04,1412.06,2034.84,2129.85,2228.93,1410.67,1865.77,1535.16,1865.91,2163.70,1722.63,2151.61
1970,2085.72,1637.41,2426.09,2333.09,1284.28,1864.44,1778.53,2554.80,1542.77,2783.23,1521.91,2693.53,2389.05,2675.71,1536.40,2484.10,1862.61,2166.33,2506.42,1899.32,2680.23
1971,1936.02,1664.18,2346.20,2226.60,1443.71,2051.39,1722.99,2109.87,1734.21,2110.65,1645.53,1938.65,2467.68,2259.34,1671.80,1873.42,1703.36,2047.58,2290.62,1974.52,2134.45
1972,1586.13,1292.43,1949.07,1853.54,1092.58,1550.19,1409.05,1781.33,1287.01,1854.68,1286.42,1748.48,1996.03,1932.55,1285.93,1640.97,1426.96,1674.53,1933.34,1563.65,1836.05
1973,2193.48,1770.53,2674.56,2553.87,1487.16,2103.43,1916.61,2488.61,1791.45,2662.93,1701.96,2456.06,2701.80,2777.40,1751.79,2308.62,1943.43,2306.26,2724.71,2124.59,2625.42
1974,2046.17,1610.00,2592.37,2427.44,1295.37,2159.22,1764.02,2299.28,1736.36,2449.63,1571.25,2297.88,2684.60,2567.75,1625.13,2110.81,1802.20,2137.62,2523.71,1946.32,2445.04
1975,1934.19,1507.72,2274.49,2123.09,1183.89,1959.35,1584.27,2387.56,1612.68,2531.21,1386.25,2334.12,2461.79,2485.95,1478.85,2190.51,1631.60,2015.51,2332.74,1751.94,2486.82
1976,1722.37,1368.97,2181.18,2041.16,1143.41,1796.52,1454.08,1909.44,1479.41,2029.86,1359.53,1956.56,2279.17,2143.40,1406.72,1755.53,1472.24,1787.43,2108.08,1650.10,2027.69
