Variable:,pr
,Mozambique,"Cabo Delgado",Gaza,Inhambane,Manica,Nampula,Niassa,Sofala,Tete,Zambezia,Maputo,"Lago niassa"
1955,1103.34,1054.29,796.21,1014.66,1049.77,1152.65,1176.94,1321.52,894.41,1396.81,981.68,1434.64
1956,1210.88,1289.88,673.77,794.96,1046.04,1261.77,1461.07,1337.12,1060.59,1698.21,744.37,2015.53
1957,968.26,1077.18,595.65,676.06,838.45,1068.13,1185.28,1059.24,813.99,1183.23,801.43,1610.88
1958,1042.64,1052.34,741.81,980.72,1102.99,1129.95,1015.03,1404.25,866.15,1213.21,770.35,1142.61
1959,948.15,984.20,679.21,912.53,956.67,899.04,1029.41,1127.31,860.08,1101.61,600.94,1260.79
1960,939.65,928.66,747.32,932.43,891.03,920.22,944.86,1153.68,745.79,1179.80,812.18,1350.33
1961,1072.49,1172.86,599.95,731.66,910.26,1187.80,1303.33,1236.07,860.70,1448.48,670.83,1769.99
1962,1186.27,934.47,728.07,1240.74,1298.77,1036.64,1248.36,1635.85,1072.07,1560.74,622.85,1585.08
1963,1117.63,1215.08,534.89,744.93,931.73,1216.59,1390.89,1344.50,841.55,1607.87,689.20,1707.13
1964,848.93,926.64,538.21,731.21,820.18,849.12,893.42,1018.86,710.09,1125.51,591.96,1090.80
1965,1005.47,1307.22,450.51,642.07,646.38,1319.30,1227.02,944.31,756.90,1513.70,469.45,1471.17
1966,926.25,753.82,651.10,994.00,932.96,921.75,932.13,1167.42,783.53,1177.33,873.51,1216.18
1967,1109.25,1241.90,799.24,1117.34,1060.03,1090.13,1239.71,1300.47,825.14,1291.71,867.10,1627.33
1968,937.37,981.75,571.47,754.94,670.62,1119.83,1162.05,922.37,808.88,1220.84,619.96,1460.93
1969,1073.07,892.85,723.93,1039.79,1153.02,915.68,1047.85,1461.66,1018.93,1420.82,814.12,1382.89
1970,864.57,986.47,356.62,482.07,716.59,1026.54,1103.00,938.94,720.37,1247.32,377.12,1403.19
1971,1012.20,1148.26,644.22,824.47,799.66,1190.06,1174.72,946.67,823.85,1370.72,715.96,1419.65
1972,1011.06,1133.81,901.10,1154.02,929.10,977.39,1122.77,1055.60,770.18,1042.49,943.58,1413.70
1973,936.44,874.79,719.93,831.90,900.44,870.98,942.09,1174.80,767.59,1280.94,866.23,1189.37
1974,1229.82,1073.60,803.94,1087.34,1261.11,1274.91,1346.71,1492.60,1122.11,1584.44,641.83,1813.76
1975,924.93,774.82,813.63,921.80,939.84,862.01,969.32,1243.06,735.08,1051.58,939.04,1341.97
1976,1137.73,1000.20,839.44,946.16,1173.10,986.27,1267.24,1498.72,993.67,1451.51,862.99,1711.75
1977,1011.95,852.53,938.30,1020.41,1144.26,885.57,1057.78,1290.27,852.47,1097.31,977.48,1369.96
1978,1277.11,1157.14,1016.20,1336.46,1174.19,1258.04,1409.66,1415.59,1130.91,1513.24,1038.65,1725.38
1979,965.04,1160.45,526.80,662.05,749.03,1050.37,1185.75,1019.01,729.71,1392.80,548.54,1546.68
1980,974.18,1103.61,572.91,753.54,879.58,925.02,1229.70,1096.46,827.87,1205.16,618.01,1664.04
1981,1007.33,761.86,874.46,1032.97,1101.64,806.42,950.99,1384.02,802.87,1366.83,1025.41,1214.72
1982,1007.58,1120.66,461.71,636.32,781.61,1171.30,1238.92,1118.07,861.69,1444.95,491.10,1698.46
1983,858.27,1030.73,464.77,699.93,732.55,1037.08,966.21,999.53,699.26,1035.82,581.71,1196.99
1984,1074.04,1110.76,684.54,845.49,926.84,1118.92,1171.16,1295.55,853.29,1494.57,987.96,1321.17
1985,1137.73,1046.86,711.62,876.22,1130.04,1202.27,1193.89,1368.06,1087.52,1538.12,762.65,1469.67
1986,1074.63,1224.09,560.53,735.27,992.33,1164.12,1248.59,1260.79,889.12,1480.61,562.25,1543.12
1987,800.20,864.95,551.82,713.87,747.62,864.18,906.32,947.73,634.04,930.32,653.46,1037.96
1988,991.14,864.55,528.56,627.84,1058.32,995.39,1082.94,1426.87,862.48,1403.88,616.96,1430.20
1989,1175.77,1277.44,610.63,748.51,1054.97,1226.55,1369.60,1281.90,1139.09,1618.51,758.66,1795.38
1990,816.06,862.08,507.17,637.02,883.92,747.34,839.09,1148.20,729.71,993.34,649.17,1106.79
1991,983.42,1340.14,494.05,723.74,630.27,1331.38,1249.09,853.35,742.82,1266.17,585.89,1353.65
1992,683.80,962.85,438.43,558.18,528.51,882.15,799.24,655.44,545.66,729.44,471.00,922.85
1993,980.36,1000.07,678.24,873.88,952.92,1078.20,1056.70,1100.84,823.72,1222.85,718.21,1250.49
1994,810.92,917.73,519.24,745.26,676.26,1003.94,906.94,875.29,589.69,1025.99,530.03,1086.98
1995,841.41,901.79,511.07,579.06,653.78,1002.41,1030.55,861.20,655.25,1171.70,635.42,1160.72
1996,1046.93,920.09,747.12,912.84,1010.67,1145.84,1111.55,1282.42,833.52,1404.09,771.89,1490.87
1997,1150.88,1080.43,742.17,920.86,1189.50,1228.66,1171.81,1443.50,1054.43,1479.83,937.61,1392.42
1998,953.18,918.58,761.16,1078.16,975.69,901.89,874.66,1239.48,790.14,1141.70,868.09,993.47
1999,1140.74,1125.29,826.17,1112.57,1081.16,1163.59,1274.62,1333.32,920.30,1354.45,960.46,1663.33
2000,1225.88,1002.47,1056.61,1503.27,1260.71,1173.97,1142.83,1607.41,979.07,1397.94,1353.71,1405.77
