Variable:,pr
,"Sao Tome and Principe",Principe,"Sao Tome"
1901,2237.16,2309.70,2229.94
1902,2240.96,2397.30,2233.53
1903,2096.54,2228.30,2093.50
1904,2057.88,2160.60,2056.97
1905,2144.32,2294.00,2139.99
1906,1762.58,2034.90,1772.34
1907,1905.76,2070.10,1909.06
1908,2210.89,2392.90,2205.09
1909,2303.01,2452.00,2293.21
1910,2476.01,2420.40,2460.62
1911,1718.13,1971.30,1730.47
1912,2472.11,2487.40,2456.89
1913,1861.53,1938.00,1868.37
1914,2032.00,2017.10,2032.10
1915,2169.91,2303.60,2165.16
1916,2169.91,2294.90,2165.16
1917,2169.91,2240.00,2165.16
1918,2169.91,2192.00,2165.16
1919,2169.91,2184.60,2165.16
1920,2169.91,2209.90,2165.16
1921,2169.91,2255.20,2165.16
1922,2169.91,2251.40,2165.16
1923,2169.91,2213.30,2165.16
1924,2169.91,2335.10,2165.16
1925,2169.91,2197.90,2165.16
1926,2169.91,2358.60,2165.16
1927,2169.91,2372.50,2165.16
1928,2169.91,2509.10,2165.16
1929,2169.91,2385.30,2165.16
1930,2169.91,2331.40,2165.16
1931,2169.91,2326.00,2165.16
1932,2169.91,2195.60,2165.16
1933,2305.75,2266.40,2297.82
1934,2890.87,2486.50,2873.25
1935,2500.58,2364.50,2488.88
1936,1830.86,2145.10,1834.14
1937,2221.56,2237.60,2214.30
1938,1957.48,2271.50,1956.65
1939,2161.59,2230.60,2156.04
1940,1764.67,2046.90,1768.48
1941,1701.18,2061.20,1705.15
1942,1671.03,2077.90,1677.75
1943,1887.63,2188.60,1889.04
1944,2479.16,2331.30,2466.65
1945,2311.47,2265.40,2304.77
1946,2351.49,2472.90,2345.81
1947,2649.31,2584.90,2633.70
1948,2273.54,2401.00,2265.27
1949,2299.41,2369.90,2289.20
1950,2419.11,2456.00,2409.20
1951,2353.78,2267.80,2342.41
1952,2035.31,2239.40,2030.67
1953,1873.46,2141.40,1871.15
1954,2145.09,2260.30,2139.23
1955,2745.71,2443.70,2730.17
1956,2139.88,2382.70,2133.72
1957,2290.31,2299.80,2280.24
1958,1784.53,2035.40,1786.12
1959,2422.90,2366.30,2412.46
1960,2612.34,2473.10,2598.59
1961,2475.18,2353.20,2463.76
1962,2468.54,2445.70,2454.67
1963,2465.59,2293.70,2454.46
1964,1941.77,2203.20,1940.41
1965,1938.78,2276.60,1937.92
1966,2326.35,2455.90,2318.22
1967,2287.05,2185.70,2279.37
1968,2035.10,2147.60,2029.91
1969,2155.87,2351.30,2149.01
1970,2280.86,2261.20,2273.25
1971,2217.77,2276.80,2211.03
1972,1870.63,1961.10,1872.17
1973,2355.49,2314.80,2349.57
1974,1951.51,2010.40,1951.87
1975,2274.83,2161.80,2271.08
1976,2136.18,2191.30,2130.09
1977,2239.96,2263.90,2232.71
1978,1988.06,2083.60,1986.14
1979,1963.20,2114.90,1963.39
1980,1810.73,2048.00,1812.38
1981,1848.47,1959.70,1852.16
1982,1702.57,1939.60,1706.45
1983,1690.80,1813.40,1696.02
1984,2618.14,2419.00,2604.42
1985,2231.78,2215.50,2225.59
1986,1937.06,2109.00,1934.82
1987,1895.69,2016.70,1895.32
1988,2843.88,2579.90,2827.05
1989,2321.75,2106.80,2314.10
1990,2276.13,2298.90,2266.91
1991,2057.62,2092.40,2053.46
1992,1775.43,1933.80,1777.18
1993,2009.68,2087.80,2008.40
1994,2017.21,2115.10,2012.57
1995,2177.16,2304.80,2169.79
1996,2278.00,2401.60,2267.26
1997,2200.19,2274.60,2194.34
1998,2339.33,2475.10,2330.53
1999,2473.14,2403.90,2464.75
2000,2441.71,2275.10,2431.83
2001,2327.82,2503.40,2323.74
2002,2628.89,2664.30,2617.76
2003,2057.27,2420.50,2050.65
2004,2021.14,2321.30,2017.73
2005,1742.58,1853.40,1746.86
2006,1845.85,2002.50,1848.28
2007,2763.83,2786.90,2744.31
2008,2308.91,2301.60,2298.93
2009,2164.91,2117.40,2160.13
2010,1763.55,1989.30,1766.29
2011,2070.79,2013.80,2070.39
2012,2502.75,2675.10,2489.39
2013,2060.15,2077.40,2057.34
2014,2034.98,2096.10,2034.08
2015,1840.56,1937.30,1843.94
2016,1954.68,2057.30,1953.78
2017,2084.12,2169.60,2079.92
2018,2250.72,2399.50,2241.46
2019,2169.91,2264.60,2165.16
2020,2115.04,2249.80,2111.81
