Variable:,pr
,"West Bank and Gaza","Al Khalil (Hebron)","Al Quds (Jerusalem)","Ariha (Jericho)",Bethlehem,Jenin,Nablus,Qalqiliya,Ramallah,Salfit,Tubas,Tulkarm,"Administrative unit not available","Deir al Balah",Gaza,Jabalya,"Khan Yunis",Rafah
1901,381.46,265.78,362.65,362.80,359.04,454.90,457.30,459.10,393.22,457.54,409.20,457.30,457.30,203.80,247.31,390.08,203.80,203.80
1902,566.68,388.31,542.27,546.91,536.28,676.56,676.70,676.44,584.80,676.67,615.14,676.70,676.70,262.00,326.35,522.15,262.00,262.00
1903,410.83,266.84,383.82,401.21,378.99,502.25,501.40,497.26,419.71,500.86,461.14,501.40,501.40,159.60,212.91,350.38,159.60,159.60
1904,754.61,557.34,751.06,716.99,744.44,866.07,871.00,879.42,792.52,872.10,776.75,871.00,871.00,400.90,498.30,785.47,400.90,400.90
1905,645.14,446.74,620.26,623.24,613.71,766.73,768.40,765.93,667.16,768.08,698.17,768.40,768.40,281.20,365.73,595.36,281.20,281.20
1906,450.44,269.90,391.02,438.07,385.86,585.03,578.70,570.96,447.21,577.69,535.10,578.70,578.70,167.60,213.01,359.98,167.60,167.60
1907,659.94,481.56,653.08,634.58,646.75,757.77,762.10,763.69,689.60,762.31,691.66,762.10,762.10,342.00,427.59,661.92,342.00,342.00
1908,605.59,421.85,574.99,580.55,569.14,724.96,723.60,721.48,622.10,723.32,655.81,723.60,723.60,305.10,389.67,591.66,305.10,305.10
1909,420.75,264.56,387.87,408.19,382.85,525.81,520.70,516.65,428.42,520.17,477.76,520.70,520.70,161.70,199.42,334.63,161.70,161.70
1910,421.59,265.77,384.09,411.29,379.12,526.30,522.30,516.89,425.94,521.59,484.28,522.30,522.30,172.50,222.40,352.86,172.50,172.50
1911,802.51,536.89,755.44,780.28,746.74,973.53,971.70,965.30,822.32,970.86,891.63,971.70,971.70,322.60,424.96,707.60,322.60,322.60
1912,604.74,446.48,600.41,575.28,595.18,694.34,699.30,704.68,634.35,700.00,625.97,699.30,699.30,314.60,395.44,624.60,314.60,314.60
