Variable:,pr
,Germany,Baden-Wuerttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thueringen
1901,663.60,810.73,722.37,512.22,509.26,716.52,709.57,692.34,580.20,670.26,721.14,707.14,710.47,532.26,496.01,739.96,552.93
1902,651.64,742.93,732.26,552.32,542.93,705.12,693.34,646.75,560.21,670.35,691.69,648.09,622.91,552.94,530.87,674.76,557.72
1903,694.62,743.54,730.79,589.61,582.62,840.21,785.15,683.28,624.46,747.51,790.47,749.67,724.69,578.66,538.14,817.56,545.05
1904,613.97,734.38,701.45,502.11,499.81,635.74,635.14,631.29,526.39,601.38,636.64,643.61,633.41,507.32,472.02,641.82,513.12
1905,707.60,826.55,802.18,592.94,588.10,710.66,734.81,704.97,636.85,693.98,779.58,708.98,676.43,575.63,547.90,760.98,570.04
1906,697.60,784.05,805.21,554.31,548.68,733.89,726.47,717.48,571.72,698.21,778.50,718.90,674.04,581.82,532.77,740.82,583.15
1907,627.30,682.26,720.23,553.03,548.04,626.33,650.49,620.10,537.91,613.81,654.60,615.80,592.90,593.66,514.24,650.66,555.24
1908,613.13,746.80,663.88,500.04,500.83,627.91,637.64,620.78,533.31,608.15,676.61,647.73,654.36,508.41,480.55,639.79,517.26
1909,713.76,808.66,790.64,586.57,581.58,768.41,772.55,710.82,598.73,727.34,789.48,732.49,708.65,622.42,559.54,777.64,609.76
1910,781.08,1006.78,904.54,607.28,606.18,737.97,766.86,785.28,655.21,721.19,852.44,868.55,870.13,630.19,574.49,774.28,615.38
1911,546.12,630.15,600.12,451.91,455.25,589.00,625.34,533.39,494.09,533.16,591.59,577.61,592.48,464.04,403.15,679.81,435.11
1912,767.92,873.73,898.72,629.73,620.99,845.03,840.14,735.63,660.88,782.44,830.08,723.10,697.78,628.66,590.62,857.81,628.12
1913,675.54,835.68,824.56,518.58,511.82,656.37,642.96,684.39,522.92,629.67,745.80,718.87,700.38,543.74,486.02,653.66,541.26
1914,745.02,965.81,802.85,579.00,573.78,760.72,753.92,790.61,609.99,733.39,825.42,849.37,851.61,585.40,555.07,762.51,601.19
1915,719.82,834.50,819.50,590.35,583.53,791.74,745.74,681.26,580.74,732.23,825.90,749.47,721.56,631.28,536.51,756.24,559.98
1916,784.52,961.85,881.71,620.86,617.22,790.95,816.48,791.85,670.31,752.33,855.17,875.56,873.76,641.10,577.18,862.91,624.26
1917,658.10,813.29,730.72,494.26,494.63,717.76,707.11,670.82,533.47,663.65,740.69,713.16,716.77,517.98,478.17,738.69,519.65
