Variable:,pr
,"Bosnia and Herzegovina","Federacija Bosne I Hercegovine","Republika Srpska"
1901,1174.22,1215.49,1135.09
1902,1201.94,1245.35,1159.27
1903,1037.07,1063.25,1015.05
1904,965.85,999.67,935.03
1905,1143.94,1194.31,1096.75
1906,1159.97,1191.78,1130.66
1907,989.47,1048.91,930.06
1908,992.63,1035.37,949.46
1909,1236.48,1289.14,1184.22
1910,1423.79,1483.92,1365.70
1911,980.41,1009.42,952.01
1912,1172.94,1193.46,1158.23
1913,1138.65,1167.84,1113.97
1914,1126.30,1162.27,1092.40
1915,1674.20,1747.98,1600.28
1916,1202.74,1262.39,1145.58
1917,1015.15,1058.91,975.24
1918,935.60,969.01,903.91
1919,1282.26,1311.50,1255.54
1920,965.89,1024.51,905.69
1921,901.17,921.63,883.89
1922,1174.69,1206.13,1146.54
1923,1208.98,1271.70,1147.93
1924,1122.19,1169.40,1075.47
1925,1318.46,1351.29,1289.68
1926,1249.85,1294.72,1209.46
1927,1088.40,1117.65,1059.31
1928,981.93,1033.81,931.77
1929,1071.70,1109.84,1033.91
1930,1110.91,1170.62,1054.96
1931,1053.67,1087.42,1022.53
1932,1069.01,1107.52,1032.89
1933,1154.51,1197.07,1115.09
1934,1095.98,1144.55,1050.64
1935,928.40,963.25,895.12
1936,1134.55,1171.69,1099.05
1937,1513.78,1566.98,1464.00
1938,910.90,928.73,895.38
1939,1166.54,1220.10,1113.42
1940,1345.60,1381.50,1313.83
1941,1250.48,1292.68,1209.60
1942,1012.00,1048.50,976.47
1943,1056.87,1090.09,1025.12
1944,1175.82,1206.23,1145.68
1945,826.09,838.57,815.11
1946,843.51,862.99,826.34
1947,883.63,913.38,855.75
1948,997.97,1027.66,974.09
1949,948.75,985.54,911.99
1950,935.86,969.45,905.23
1951,1106.40,1153.53,1063.00
1952,1106.12,1142.01,1071.85
1953,894.30,935.42,855.22
1954,1094.64,1121.70,1070.39
1955,1303.29,1328.44,1281.66
1956,980.63,1017.47,945.54
1957,991.74,1026.06,959.71
1958,1027.56,1067.03,990.44
1959,1221.64,1268.93,1175.46
1960,1189.78,1255.64,1127.06
1961,970.49,1018.42,925.90
1962,1043.37,1078.48,1012.65
1963,1137.33,1173.35,1104.00
1964,1241.34,1284.24,1200.19
1965,1114.50,1147.83,1084.57
1966,1244.86,1304.29,1187.64
1967,1050.70,1084.76,1019.06
1968,1114.26,1147.35,1082.98
1969,1250.80,1295.57,1207.25
1970,1203.03,1232.99,1175.36
1971,864.48,895.36,833.74
1972,1097.92,1118.64,1081.63
1973,932.98,950.57,916.58
1974,1227.37,1276.60,1179.74
1975,946.05,988.11,905.02
1976,1228.18,1298.05,1157.70
1977,1090.88,1124.50,1059.77
1978,1173.27,1224.65,1121.69
1979,1176.98,1217.80,1137.89
1980,1198.33,1240.00,1158.65
1981,1161.76,1198.44,1126.95
1982,997.42,1035.25,960.86
1983,816.09,842.47,791.83
1984,1164.47,1218.76,1112.35
1985,991.05,1022.92,958.88
1986,1044.77,1081.94,1009.10
1987,1042.40,1062.38,1025.35
1988,976.80,1015.57,938.90
1989,966.70,979.63,958.21
1990,830.48,868.90,793.59
1991,1168.43,1201.38,1135.86
1992,961.01,992.71,933.62
1993,984.88,1011.82,962.39
1994,939.42,974.59,906.83
1995,1253.74,1308.65,1199.84
1996,1267.53,1322.26,1212.32
1997,992.17,1029.86,957.26
1998,1102.73,1133.26,1075.74
1999,1290.27,1336.15,1244.55
2000,849.07,892.71,808.85
2001,1154.90,1195.28,1115.13
2002,1191.32,1245.50,1140.03
2003,839.36,859.37,820.14
2004,1257.72,1291.46,1225.17
2005,1270.61,1315.35,1226.40
2006,992.55,1021.22,966.58
2007,1053.36,1080.36,1028.95
2008,1047.17,1086.74,1008.94
2009,1155.41,1191.15,1121.57
2010,1469.67,1527.69,1409.80
2011,777.41,798.09,758.34
2012,997.05,1034.04,961.37
2013,1269.45,1327.32,1212.51
2014,1485.33,1538.88,1435.04
2015,1029.00,1068.29,991.24
2016,1198.07,1228.53,1171.77
2017,956.96,988.14,928.80
2018,1065.70,1102.46,1031.54
2019,1249.57,1295.10,1207.05
2020,1007.32,1039.42,978.50
