Variable:,pr
,Barbados,"Christ Church","St. Andrew","St. George","St. James","St. John","St. Joseph","St. Lucy","St. Michael","St. Peter","St. Phillip","St. Tomas"
1901,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1902,2220.01,2216.58,2199.80,2199.80,2199.80,2261.80,2199.80,2199.80,2199.80,2199.80,2315.04,2199.80
1903,2109.73,2106.10,2088.30,2088.30,2088.30,2154.05,2088.30,2088.30,2088.30,2088.30,2210.52,2088.30
1904,1849.09,1844.38,1821.30,1821.30,1821.30,1906.55,1821.30,1821.30,1821.30,1821.30,1979.77,1821.30
1905,1865.64,1861.29,1840.00,1840.00,1840.00,1918.65,1840.00,1840.00,1840.00,1840.00,1986.19,1840.00
1906,1997.76,1994.09,1976.10,1976.10,1976.10,2042.54,1976.10,1976.10,1976.10,1976.10,2099.60,1976.10
1907,1732.13,1726.93,1701.40,1701.40,1701.40,1795.69,1701.40,1701.40,1701.40,1701.40,1876.67,1701.40
1908,1681.80,1676.50,1650.50,1650.50,1650.50,1746.54,1650.50,1650.50,1650.50,1650.50,1829.01,1650.50
1909,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1910,1958.24,1953.54,1930.50,1930.50,1930.50,2015.60,1930.50,1930.50,1930.50,1930.50,2088.68,1930.50
1911,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1912,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1913,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1914,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1915,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1916,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1917,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1918,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1919,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1920,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1921,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1922,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1923,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1924,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1925,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1926,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1927,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1928,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1929,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1930,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1931,2016.95,2012.89,1993.00,1993.00,1993.00,2066.47,1993.00,1993.00,1993.00,1993.00,2129.56,1993.00
1932,2055.35,2051.63,2033.40,2033.40,2033.40,2100.74,2033.40,2033.40,2033.40,2033.40,2158.57,2033.40
1933,2228.61,2225.86,2212.40,2212.40,2212.40,2262.14,2212.40,2212.40,2212.40,2212.40,2304.85,2212.40
1934,1527.20,1521.15,1491.50,1491.50,1491.50,1601.01,1491.50,1491.50,1491.50,1491.50,1695.07,1491.50
1935,1850.99,1846.52,1824.60,1824.60,1824.60,1905.57,1824.60,1824.60,1824.60,1824.60,1975.11,1824.60
1936,2186.17,2183.12,2168.20,2168.20,2168.20,2223.33,2168.20,2168.20,2168.20,2168.20,2270.67,2168.20
1937,1552.31,1546.54,1518.30,1518.30,1518.30,1622.63,1518.30,1518.30,1518.30,1518.30,1712.24,1518.30
1938,2101.69,2098.20,2081.10,2081.10,2081.10,2144.26,2081.10,2081.10,2081.10,2081.10,2198.50,2081.10
1939,1617.21,1611.63,1584.30,1584.30,1584.30,1685.25,1584.30,1584.30,1584.30,1584.30,1771.95,1584.30
1940,1540.31,1534.53,1506.20,1506.20,1506.20,1610.85,1506.20,1506.20,1506.20,1506.20,1700.73,1506.20
1941,1885.83,1881.42,1859.80,1859.80,1859.80,1939.66,1859.80,1859.80,1859.80,1859.80,2008.25,1859.80
1942,2143.79,2140.54,2124.60,2124.60,2124.60,2183.48,2124.60,2124.60,2124.60,2124.60,2234.05,2124.60
1943,1745.97,1740.92,1716.20,1716.20,1716.20,1807.53,1716.20,1716.20,1716.20,1716.20,1885.97,1716.20
1944,1947.14,1942.76,1921.30,1921.30,1921.30,2000.58,1921.30,1921.30,1921.30,1921.30,2068.67,1921.30
1945,1870.61,1865.86,1842.60,1842.60,1842.60,1928.54,1842.60,1842.60,1842.60,1842.60,2002.35,1842.60
1946,1775.33,1771.09,1750.30,1750.30,1750.30,1827.10,1750.30,1750.30,1750.30,1750.30,1893.05,1750.30
1947,1570.42,1564.96,1538.20,1538.20,1538.20,1637.04,1538.20,1538.20,1538.20,1538.20,1721.92,1538.20
1948,2272.77,2269.91,2255.90,2255.90,2255.90,2307.64,2255.90,2255.90,2255.90,2255.90,2352.08,2255.90
1949,1877.07,1873.26,1854.60,1854.60,1854.60,1923.52,1854.60,1854.60,1854.60,1854.60,1982.71,1854.60
1950,2040.03,2035.45,2013.00,2013.00,2013.00,2095.93,2013.00,2013.00,2013.00,2013.00,2167.15,2013.00
1951,2621.31,2615.01,2584.10,2584.10,2584.10,2698.27,2584.10,2584.10,2584.10,2584.10,2796.31,2584.10
1952,2138.29,2133.68,2111.10,2111.10,2111.10,2194.50,2111.10,2111.10,2111.10,2111.10,2266.13,2111.10
1953,2187.83,2182.63,2157.10,2157.10,2157.10,2251.39,2157.10,2157.10,2157.10,2157.10,2332.37,2157.10
