Variable:,pr
,"Republic of Serbia",Borski,Branicevski,"Grad Beograd",Jablanicki,Juzno-backi,Juzno-banatski,Kolubarski,Macvanski,Moravicki,Nisavski,Pcinjski,Pirotski,Podunavski,Pomoravski,Rasinski,Raski,Severno-backi,Severno-banatski,Srednje-banatski,Sremski,Sumadijski,Toplicki,Zajecarski,Zapadno-backi,Zlatiborski
1901,786.88,783.01,790.26,736.31,749.77,605.46,674.27,892.74,833.02,985.25,760.62,742.57,761.89,761.32,803.20,860.40,1014.58,535.29,527.34,579.74,677.15,838.37,832.84,774.44,575.39,1104.18
1902,771.88,717.28,755.93,748.25,694.39,622.21,667.48,908.55,842.52,981.01,716.89,664.96,681.29,751.97,774.36,840.36,998.52,563.98,541.45,589.93,693.74,834.53,805.93,715.75,612.32,1099.59
1903,673.03,608.40,646.00,658.89,591.23,577.77,587.15,782.84,751.25,832.38,607.11,573.42,583.73,647.69,656.74,712.13,849.42,543.76,511.36,539.24,631.10,710.47,684.27,612.62,593.28,946.11
1904,618.06,583.81,610.78,602.78,562.77,511.47,543.43,708.62,673.72,763.91,571.80,556.79,547.47,602.72,618.48,669.15,784.08,471.22,437.99,474.55,569.23,660.48,644.98,575.46,529.53,844.51
1905,759.59,736.87,758.84,728.86,696.86,618.04,668.82,873.59,810.02,943.79,721.08,675.91,708.82,737.65,767.90,823.48,958.03,578.06,550.68,589.19,679.67,804.60,793.75,732.50,620.77,1025.89
1906,791.99,752.82,794.93,786.52,691.26,701.74,722.14,913.01,876.87,945.36,719.81,674.80,698.19,783.80,788.57,822.15,944.67,665.32,638.40,668.16,757.90,841.62,778.79,738.84,708.52,1036.05
1907,551.19,492.09,523.24,528.07,479.34,452.67,464.13,647.84,620.55,701.03,489.57,467.86,460.53,523.88,539.86,592.36,726.20,418.11,402.99,425.69,500.75,581.72,567.84,489.26,438.87,836.08
1908,609.45,566.20,581.49,601.98,517.93,520.89,525.50,735.13,695.04,771.25,541.28,491.97,531.50,582.42,594.28,650.64,781.56,467.44,450.52,480.63,581.44,646.45,615.85,550.81,506.50,868.53
1909,799.32,750.66,783.29,778.90,745.34,652.23,696.43,926.41,864.94,995.50,758.47,733.28,735.84,783.86,804.27,869.73,1015.48,565.64,554.24,613.03,729.56,863.93,840.03,758.73,615.58,1096.09
1910,851.65,718.73,790.31,839.85,716.56,719.57,719.72,1042.69,981.26,1103.15,753.09,665.28,693.14,825.73,832.20,912.99,1110.08,652.20,626.89,667.60,795.47,930.54,861.28,741.94,703.81,1285.32
1911,651.26,609.92,647.47,623.61,594.47,525.62,565.24,757.75,704.30,822.90,612.00,580.96,585.50,636.00,660.80,713.95,840.92,467.76,458.60,497.71,581.94,700.59,685.39,616.31,505.31,907.58
1912,863.92,855.50,877.45,843.12,784.48,705.85,770.32,998.65,927.55,1069.80,825.89,745.07,819.04,853.54,885.82,934.90,1076.89,641.16,621.40,674.23,784.82,930.48,887.82,843.80,690.68,1140.54
1913,767.27,720.92,745.33,748.36,679.44,658.02,653.37,924.42,877.76,944.03,704.95,657.62,701.41,727.87,750.83,801.78,946.33,582.86,563.71,599.24,726.92,796.96,768.73,722.84,625.40,1085.57
1914,814.40,800.03,814.55,776.70,747.86,659.89,717.60,934.31,856.79,1001.18,779.96,721.01,784.45,796.81,827.40,874.97,1013.31,630.36,606.65,645.66,717.89,871.93,837.14,800.50,659.24,1093.56
1915,1038.83,938.71,999.69,1029.22,922.51,872.46,899.06,1246.05,1150.85,1311.22,949.16,901.57,913.60,1017.36,1029.97,1108.62,1312.34,778.02,758.91,820.71,963.69,1125.13,1055.00,956.83,829.92,1462.64
1916,740.98,685.90,712.03,712.73,669.12,598.93,631.00,871.93,809.12,942.47,683.51,645.76,667.99,714.56,737.37,805.55,962.13,550.26,531.96,570.14,664.44,797.18,769.62,687.16,585.81,1060.54
1917,621.86,573.73,589.84,596.37,592.76,489.95,526.26,718.56,668.70,787.54,594.79,581.93,602.16,599.34,618.90,684.70,810.89,431.83,415.67,460.38,553.29,667.29,669.11,593.67,488.20,869.48
1918,642.23,629.92,645.15,607.33,603.30,528.82,569.61,717.35,669.97,777.81,614.09,603.43,623.13,627.37,650.30,693.89,796.08,514.04,491.91,513.90,569.94,680.77,672.61,625.36,540.14,827.96
1919,882.88,818.39,871.23,894.19,785.07,759.28,801.63,1035.54,981.27,1093.58,818.32,760.25,799.73,882.30,881.04,939.62,1092.44,653.47,638.46,708.97,847.71,958.11,893.13,829.32,720.66,1164.66
1920,655.21,652.35,667.90,615.84,631.94,542.17,586.53,719.92,664.11,768.91,650.01,624.12,672.21,638.17,664.96,699.38,785.61,527.88,513.72,535.64,576.63,683.91,690.27,661.90,542.00,824.68
1921,646.86,624.65,633.23,617.04,604.05,532.06,550.70,762.18,699.13,801.73,619.77,576.67,611.77,620.79,650.29,704.13,816.71,469.90,461.09,499.56,583.76,685.59,687.38,625.94,499.73,884.20
1922,789.51,744.08,776.93,780.04,676.79,650.37,698.03,936.50,868.84,1009.72,708.81,638.02,678.52,780.86,794.78,856.65,1018.37,599.00,574.88,622.93,723.19,865.69,802.09,719.04,642.51,1110.84
1923,711.74,656.12,692.98,662.63,658.16,544.12,602.79,813.48,750.15,922.22,665.89,642.70,648.17,704.58,731.69,799.86,956.56,511.49,480.67,517.17,601.55,788.21,761.01,664.08,556.95,1028.10
1924,775.09,760.94,774.19,742.82,716.19,641.57,675.86,890.46,827.93,944.38,746.26,688.93,749.22,748.65,780.70,829.49,959.07,584.11,572.17,612.87,701.67,816.31,801.02,764.83,613.27,1039.46
1925,865.22,787.44,837.52,854.67,764.15,733.87,753.05,1033.87,978.53,1082.47,794.96,724.70,777.24,840.00,855.69,920.34,1084.72,652.98,633.82,684.17,815.58,928.11,877.38,796.52,712.96,1209.03
1926,786.19,712.37,767.16,773.72,661.69,667.87,676.14,960.25,897.41,1000.41,693.46,628.61,642.81,764.12,782.79,841.89,1011.03,594.14,575.97,619.81,737.45,849.83,789.57,697.89,645.47,1143.92
