Variable:,pr
,"Macao SAR, China","Administrative unit not available"
1901,1668.50,1668.50
1902,2168.00,2168.00
1903,2345.50,2345.50
1904,2022.50,2022.50
1905,1658.00,1658.00
1906,1985.30,1985.30
1907,2363.80,2363.80
1908,2185.10,2185.10
1909,2065.60,2065.60
1910,1618.70,1618.70
1911,1983.30,1983.30
1912,1811.00,1811.00
1913,2273.20,2273.20
1914,2443.10,2443.10
1915,1943.40,1943.40
1916,1754.70,1754.70
1917,1988.10,1988.10
1918,2659.40,2659.40
1919,2169.20,2169.20
1920,2698.30,2698.30
1921,2035.00,2035.00
1922,2110.40,2110.40
1923,2290.60,2290.60
1924,2177.40,2177.40
1925,1862.10,1862.10
1926,2357.10,2357.10
1927,2530.30,2530.30
1928,1799.60,1799.60
1929,1849.60,1849.60
1930,2121.80,2121.80
1931,2306.40,2306.40
1932,2299.80,2299.80
1933,1724.70,1724.70
1934,2246.30,2246.30
1935,2332.80,2332.80
1936,1934.30,1934.30
1937,2129.70,2129.70
1938,1730.70,1730.70
1939,2010.60,2010.60
1940,2493.90,2493.90
1941,2685.00,2685.00
1942,2220.40,2220.40
1943,2073.40,2073.40
1944,2436.20,2436.20
1945,1988.10,1988.10
1946,2045.10,2045.10
1947,2399.60,2399.60
1948,2258.30,2258.30
1949,2144.00,2144.00
1950,2161.70,2161.70
1951,2404.60,2404.60
1952,2345.50,2345.50
1953,2431.90,2431.90
1954,1704.50,1704.50
1955,2278.70,2278.70
1956,1633.00,1633.00
1957,2585.00,2585.00
1958,1902.60,1902.60
1959,2618.80,2618.80
1960,2288.30,2288.30
1961,2557.50,2557.50
1962,1791.00,1791.00
1963,1036.50,1036.50
1964,2456.40,2456.40
1965,2442.90,2442.90
1966,2206.60,2206.60
1967,1653.30,1653.30
1968,2287.70,2287.70
1969,1907.10,1907.10
1970,2296.90,2296.90
1971,1585.00,1585.00
1972,2517.10,2517.10
1973,2722.60,2722.60
1974,2386.50,2386.50
1975,3172.80,3172.80
1976,2219.30,2219.30
1977,1574.10,1574.10
1978,2856.50,2856.50
1979,2354.10,2354.10
1980,1844.70,1844.70
1981,1937.40,1937.40
1982,3066.10,3066.10
1983,3158.20,3158.20
1984,1849.50,1849.50
1985,2392.00,2392.00
1986,2347.20,2347.20
1987,2482.60,2482.60
1988,1783.70,1783.70
1989,1754.80,1754.80
1990,1742.40,1742.40
1991,1495.30,1495.30
1992,2718.50,2718.50
1993,2495.60,2495.60
1994,2271.60,2271.60
1995,2219.60,2219.60
1996,2021.20,2021.20
1997,2792.90,2792.90
1998,2389.30,2389.30
1999,1994.70,1994.70
2000,2510.50,2510.50
2001,2671.20,2671.20
2002,2380.70,2380.70
2003,1784.90,1784.90
2004,1656.00,1656.00
2005,2458.60,2458.60
2006,2416.80,2416.80
2007,1653.30,1653.30
2008,2256.20,2256.20
2009,1988.50,1988.50
2010,2247.60,2247.60
2011,1666.10,1666.10
2012,1999.70,1999.70
2013,2623.20,2623.20
2014,2202.50,2202.50
2015,2155.20,2155.20
2016,2895.50,2895.50
2017,2378.20,2378.20
2018,2445.80,2445.80
2019,2559.70,2559.70
2020,2127.30,2127.30
