Variable:,pr
,Greece,"Anatoliki Makedonia Kai Thraki",Attiki,"Dytiki Ellada","Dytiki Makedonia","Ionioi Nisoi",Ipeiros,"Kentriki Makedonia",Kriti,Peloponnisos,"Sterea Ellada",Thessalia,"Voreio Aigaio","Notio Aigaio"
1901,754.22,660.75,532.07,893.91,906.77,870.77,1240.35,611.65,632.94,715.36,651.91,751.05,540.39,500.02
1902,609.73,605.56,448.22,706.94,664.75,696.00,966.39,502.94,621.99,563.90,518.58,568.29,547.38,539.75
1903,621.86,591.74,500.82,710.45,673.30,670.25,925.13,503.06,630.32,633.10,549.17,584.89,590.33,556.00
1904,689.90,603.61,581.07,809.36,738.16,745.56,1032.90,534.13,715.05,731.46,627.40,653.54,693.77,634.38
1905,649.74,615.67,588.67,740.97,651.91,665.55,897.75,518.98,729.66,717.95,591.10,583.14,640.93,619.00
1906,759.48,642.49,614.60,885.50,878.98,833.99,1187.94,601.63,668.31,775.66,691.52,749.22,684.39,641.83
1907,626.57,579.08,485.75,737.02,673.35,696.29,985.33,489.64,623.22,630.48,555.18,593.18,572.43,531.90
1908,640.68,622.22,557.41,746.92,622.41,654.94,897.10,498.54,685.53,705.59,588.45,589.45,620.01,556.18
1909,717.95,651.22,536.56,825.52,829.80,802.07,1136.01,592.96,674.15,691.38,622.24,695.85,618.64,582.76
1910,770.50,674.65,680.60,915.06,784.88,790.80,1100.63,602.96,703.05,862.34,731.52,733.86,755.02,620.51
1911,671.11,666.14,546.37,699.15,747.72,614.23,913.01,580.89,786.80,662.26,582.44,635.57,704.67,668.03
1912,703.28,687.30,583.43,817.40,745.36,719.90,997.39,587.99,570.92,744.91,643.67,664.65,698.60,561.11
1913,624.41,600.14,505.93,677.36,696.36,618.26,901.46,512.01,717.73,621.84,546.14,586.06,614.43,568.40
1914,754.58,682.87,605.70,896.97,830.11,807.38,1121.27,619.42,562.17,781.43,703.98,738.95,728.19,532.61
1915,776.64,674.74,536.85,896.79,990.50,894.68,1298.42,662.12,529.19,726.37,668.57,784.89,580.04,529.54
1916,657.03,575.54,500.94,776.42,745.00,749.94,1043.42,531.04,508.88,669.82,596.71,640.43,560.54,435.98
1917,688.49,679.18,631.54,813.58,634.93,699.15,922.11,525.26,787.41,785.48,635.84,612.22,733.76,696.55
1918,781.74,735.41,699.20,916.63,791.47,802.60,1103.81,600.98,825.51,848.78,723.57,728.62,764.26,745.59
1919,865.88,848.89,693.96,1008.54,950.37,944.46,1331.71,691.92,692.10,882.24,785.09,833.75,757.17,674.38
1920,794.59,778.12,683.68,918.39,803.72,790.63,1096.45,640.88,735.67,850.46,744.51,756.30,747.66,641.56
1921,727.40,681.36,678.48,849.27,683.69,701.65,965.00,561.79,737.83,825.34,708.73,693.25,764.47,669.50
1922,639.99,564.84,553.60,784.25,639.86,723.69,957.53,482.35,644.17,716.47,589.40,584.80,600.29,599.52
1923,742.18,659.12,569.67,902.96,819.79,865.83,1213.36,576.19,597.79,732.36,681.27,722.77,666.07,574.87
1924,698.86,639.09,605.47,791.88,695.72,718.67,990.39,540.33,954.96,742.43,620.45,631.34,671.40,759.20
1925,619.70,701.37,503.79,656.52,654.18,579.69,814.39,546.99,634.64,603.35,539.93,573.02,648.63,557.88
