Variable:,pr
,"Burkina Faso","Boucle Du Mouhoun",Cascades,Centre,Centre-est,Centre-nord,Centre-ouest,Centre-sud,Est,Hauts-bassins,Nord,"Plateau Central",Sahel,Sud-ouest
1901,803.16,766.51,1086.91,813.32,952.58,637.57,875.98,942.17,822.32,973.80,614.77,789.51,485.73,1009.50
1902,819.94,813.97,1103.61,842.68,920.60,661.67,936.17,954.49,778.48,1011.25,642.57,807.97,493.70,1083.08
1903,774.04,765.58,1092.87,762.41,848.23,605.37,845.86,863.35,741.36,981.24,611.91,733.20,478.34,1020.19
1904,818.73,834.45,1097.29,864.18,859.37,694.26,929.72,905.27,756.36,1010.96,674.87,822.51,517.31,1049.76
1905,795.47,773.95,1136.30,795.60,898.70,628.06,854.34,898.51,770.29,1000.42,646.77,765.23,489.20,1009.55
1906,912.30,916.63,1346.95,938.72,968.63,727.98,1049.59,1030.99,815.82,1149.18,755.11,887.26,546.01,1193.94
1907,699.15,710.71,1031.55,658.14,715.51,572.48,714.84,711.31,662.58,900.27,561.42,644.28,458.20,905.47
1908,802.35,829.96,1139.42,801.94,830.91,636.01,874.65,869.29,730.92,1037.94,688.18,758.49,496.56,1043.10
1909,1009.27,1027.57,1508.14,961.57,1000.84,810.40,1081.41,1031.21,936.92,1339.54,818.42,924.67,615.09,1347.88
1910,799.76,779.49,1260.38,817.48,886.80,557.47,901.66,946.96,726.08,1095.74,562.57,755.34,419.32,1144.70
1911,790.03,743.44,1314.84,708.54,822.25,551.33,830.84,826.44,776.80,1075.26,531.50,680.22,456.12,1141.96
1912,715.21,731.47,1153.15,716.49,716.50,520.64,788.41,792.94,615.80,996.45,538.77,663.41,406.04,996.58
1913,764.49,755.33,1421.03,736.01,783.87,467.64,843.23,857.95,620.69,1160.21,515.84,666.06,360.76,1199.99
1914,706.10,760.55,1028.91,684.88,740.54,528.21,769.30,762.65,638.90,953.43,563.63,645.99,411.03,922.75
1915,784.95,849.36,1290.20,791.60,777.98,532.46,919.97,900.17,567.03,1139.14,668.48,700.43,418.73,1157.51
1916,790.80,787.00,1219.43,761.68,856.57,573.54,850.16,883.83,718.10,1067.73,615.12,722.15,469.11,1077.10
1917,797.93,843.47,1189.88,846.64,873.13,585.67,946.67,976.96,611.39,1080.91,678.50,764.03,436.24,1134.41
1918,888.56,873.77,1251.87,876.58,942.61,728.77,952.70,965.91,841.28,1121.04,750.46,848.14,571.12,1147.53
1919,791.46,804.56,1217.78,710.94,782.08,591.85,826.32,778.54,773.88,1098.11,559.75,688.54,480.23,1058.05
1920,788.16,845.72,1077.06,797.96,825.08,629.22,888.50,877.06,706.49,1008.98,656.86,759.97,496.67,980.48
1921,718.84,671.10,1131.54,646.21,772.31,508.72,781.39,814.34,693.95,925.72,535.04,609.09,459.27,993.52
1922,940.81,997.29,1332.56,950.30,949.22,771.28,1059.38,1019.03,810.95,1244.17,819.50,923.42,591.36,1153.94
1923,819.00,763.16,1175.87,819.55,912.59,650.88,861.93,944.50,822.25,1053.25,616.44,799.35,505.34,1040.40
1924,901.65,893.72,1334.21,907.06,966.63,699.16,969.65,1003.56,855.45,1169.57,695.30,856.26,582.97,1104.19
1925,888.86,907.85,1415.67,836.91,944.19,625.04,991.75,989.54,815.73,1182.89,651.47,781.00,490.88,1250.40
1926,689.47,708.48,1089.71,645.09,672.29,517.43,757.97,664.14,609.33,892.06,608.85,625.80,416.64,987.71
1927,926.98,940.71,1318.26,906.42,974.93,732.20,996.91,982.21,908.05,1168.90,758.57,880.33,575.45,1171.08
1928,905.76,936.28,1279.53,895.67,957.20,707.54,1015.15,1008.33,842.73,1158.83,735.19,860.98,541.14,1181.83
1929,906.46,880.59,1373.05,855.93,959.64,679.81,1001.63,1022.17,869.88,1191.92,704.73,832.89,519.35,1219.99
1930,885.81,942.61,1208.86,878.93,888.97,682.81,991.13,894.11,841.26,1142.05,723.62,805.85,547.42,1180.98
1931,871.79,878.66,1303.32,825.71,954.96,633.43,933.24,958.02,881.45,1164.20,626.46,782.78,467.27,1158.43
1932,844.17,867.55,1238.30,773.98,918.94,604.55,896.99,927.99,819.05,1112.55,610.48,742.98,505.00,1144.42
1933,932.74,1003.57,1419.67,818.90,986.00,654.79,1038.93,1008.61,832.73,1269.05,704.78,805.84,533.36,1281.19
1934,811.12,851.60,1191.47,759.64,842.42,596.23,904.46,871.60,738.32,1102.54,633.83,718.65,465.31,1115.75
1935,993.85,939.62,1392.58,968.81,1145.47,732.27,1166.72,1244.41,975.78,1281.03,720.31,942.82,539.45,1342.11
1936,934.69,947.06,1144.00,918.55,1097.80,772.54,986.11,1126.29,950.38,1068.90,833.63,950.37,621.51,1051.50
1937,799.03,747.30,1076.21,772.02,950.20,633.27,857.58,962.91,836.37,932.58,614.05,777.40,523.72,963.10
