Variable:,pr
,Afghanistan,Badakhshan,Badghis,Baghlan,Balkh,Bamyan,Farah,Faryab,Ghazni,Ghor,Hilmand,Hirat,Jawzjan,Kabul,Kandahar,Kapisa,Khost,Kunar,Kunduz,Laghman,Logar,Nangarhar,Nimroz,Nuristan,Paktika,Paktya,Samangan,Sar-e-Pul,Takhar,Wardak,Zabul,Daykundi,Panjsher,Parwan,Uruzgan
1901,273.94,404.13,216.51,384.21,148.66,336.46,185.18,161.04,401.62,300.06,150.83,191.76,111.24,523.62,202.26,539.59,585.47,635.35,220.87,572.29,547.86,615.73,110.45,589.59,412.39,582.99,246.85,220.14,387.35,447.80,295.69,317.14,555.31,471.04,273.28
1902,254.85,469.07,271.20,341.22,213.69,348.80,188.11,229.77,337.86,315.71,130.74,249.03,176.60,278.15,131.01,319.32,225.14,341.25,281.43,274.08,261.20,249.02,109.44,371.88,292.06,245.14,300.46,289.77,387.64,342.16,267.49,322.12,393.91,343.82,271.49
1903,308.98,527.92,273.86,473.97,258.15,424.47,188.42,248.45,386.85,327.27,147.87,250.86,201.97,485.88,193.35,542.28,457.41,688.95,353.42,560.36,463.55,564.44,110.14,638.09,373.58,464.36,386.09,339.47,515.49,446.87,304.41,330.92,590.35,491.81,275.04
1904,299.63,473.43,256.90,477.23,226.69,439.12,178.41,221.98,406.48,302.37,139.87,256.56,175.31,543.97,159.14,577.21,542.94,661.22,313.99,588.87,536.30,609.52,109.46,609.20,403.95,547.35,368.23,306.02,476.69,489.03,274.01,327.68,597.33,532.19,271.21
1905,271.32,466.85,148.60,380.00,141.48,306.18,144.29,152.62,402.78,223.10,175.13,130.25,115.68,510.55,287.27,536.89,555.04,668.73,238.80,581.23,532.07,613.20,109.78,621.37,413.13,565.00,222.00,197.19,406.30,431.60,330.01,305.34,556.14,453.33,274.47
1906,288.63,450.48,229.83,422.15,237.75,392.37,179.42,226.12,382.88,299.75,164.90,212.49,192.30,446.68,239.18,477.34,439.81,530.80,325.59,475.97,442.50,485.45,110.71,501.46,370.48,449.30,344.05,306.19,454.49,427.58,311.37,324.14,511.50,451.73,275.43
1907,296.04,430.82,252.23,498.17,321.93,485.42,156.71,268.71,397.71,278.57,141.20,187.23,241.21,521.33,179.72,557.83,491.46,557.08,351.08,535.64,503.88,530.31,108.88,537.67,386.27,501.03,477.47,392.67,479.57,485.32,288.45,322.70,585.14,531.78,270.09
1908,316.80,542.83,252.97,446.76,255.27,402.50,184.67,240.03,416.90,314.21,161.79,211.25,204.71,562.69,245.22,578.55,615.87,736.95,325.83,613.89,580.64,670.40,110.90,659.00,435.28,614.62,353.41,321.62,465.57,482.93,324.47,327.04,587.72,513.42,275.92
1909,287.53,417.72,248.11,378.41,192.05,367.26,186.02,212.09,379.34,310.88,182.70,215.17,161.48,429.64,306.36,451.47,446.67,536.94,254.12,455.75,429.84,486.66,111.71,491.80,377.19,443.05,291.77,269.64,380.19,414.39,354.60,323.98,477.12,430.56,280.35
1910,303.13,520.41,256.07,436.08,203.01,374.43,188.49,211.98,407.67,312.64,138.82,247.76,164.83,571.79,153.96,605.54,685.11,775.72,309.70,674.54,579.74,743.25,109.89,677.73,435.24,633.11,306.60,271.16,473.74,465.83,269.50,325.29,603.68,505.97,271.16
