Variable:,pr
,Brazil,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,"Distrito Federal","Espirito Santo",Goias,Maranhao,"Mato Grosso","Mato Grosso Do Sul","Minas Gerais",Para,Paraiba,Parana,Pernambuco,Piaui,"Rio De Janeiro","Rio Grande Do Norte","Rio Grande Do Sul",Rondonia,Roraima,"Santa Catarina","Sao Paulo",Sergipe,Tocantins,"Name Unknown","Name Unknown","Name Unknown","Name Unknown"
1901,1763.85,2241.49,1205.00,2731.49,2275.47,924.29,802.98,1539.94,1210.68,1618.24,1606.23,2002.27,1431.85,1336.70,2127.16,884.33,1482.06,829.03,1049.17,1543.11,779.15,1582.73,1780.83,2109.92,1599.57,1442.08,1049.38,1659.19,1659.19,883.89,883.89,883.89
1902,1753.66,2246.84,1208.26,2732.30,2342.96,925.47,565.21,1539.94,1185.09,1616.31,1605.03,1809.69,1397.25,1304.95,2130.00,795.45,1679.78,817.29,1010.56,1325.67,672.53,1583.70,1780.51,2127.22,1823.55,1489.26,1049.95,1659.19,1659.19,883.89,883.89,883.89
1903,1725.01,2101.16,1195.93,2731.43,2275.91,924.69,511.15,1539.94,1156.02,1616.48,1605.16,1815.35,1403.63,1265.70,2127.23,724.99,1525.22,774.42,1013.67,1082.79,607.70,1630.46,1766.10,2115.65,1592.10,1409.73,1048.94,1659.19,1659.19,883.89,883.89,883.89
1904,1726.37,2300.37,1202.89,2731.54,2323.44,928.69,590.73,1540.02,1166.02,1616.10,1605.30,1747.97,1382.14,1284.59,2128.57,784.36,1428.48,761.18,993.94,1151.38,679.53,1546.89,1786.72,2113.82,1498.44,1368.92,1049.17,1659.19,1659.19,883.89,883.89,883.89
1905,1757.17,2047.59,1193.74,2731.62,2305.85,922.50,616.50,1539.94,1197.44,1616.98,1605.34,1873.82,1425.63,1328.88,2128.60,773.31,1695.99,752.96,1000.54,1426.90,684.37,1708.62,1757.80,2112.42,1781.89,1539.48,1048.32,1659.19,1659.19,883.89,883.89,883.89
1906,1708.96,2045.60,1197.18,2731.05,2223.10,923.38,783.98,1539.94,1206.93,1616.29,1606.31,1790.10,1366.04,1340.48,2125.11,838.43,1312.69,790.68,1038.22,1551.85,756.12,1403.09,1756.48,2103.73,1374.68,1390.67,1048.75,1659.19,1659.19,883.89,883.89,883.89
1907,1719.46,1833.52,1298.18,2733.25,2274.65,924.25,511.33,1539.94,1163.07,1616.24,1605.23,1785.50,1401.19,1281.00,2129.01,818.08,1573.52,796.44,986.38,1149.83,667.88,1539.91,1735.50,2124.07,1650.04,1478.34,1097.19,1659.19,1659.19,883.89,883.89,883.89
1908,1729.27,1810.33,1193.82,2731.45,2312.23,920.60,495.56,1539.94,1158.61,1617.47,1604.97,1919.88,1431.99,1265.36,2130.15,718.91,1455.99,709.24,973.96,1100.42,635.71,1577.37,1730.97,2123.32,1487.75,1321.96,1046.96,1659.19,1659.19,883.89,883.89,883.89
1909,1734.22,1781.27,1194.39,2730.89,2375.01,924.42,637.26,1539.94,1187.59,1616.35,1605.80,1808.04,1385.04,1305.82,2133.28,781.61,1365.14,800.40,1038.56,1368.50,678.47,1442.76,1730.46,2149.10,1407.51,1436.73,1048.54,1659.19,1659.19,883.89,883.89,883.89
1910,1737.08,1725.88,1246.62,2730.71,2312.84,954.47,1099.20,1539.94,1121.18,1616.07,1631.67,1775.79,1371.48,1223.28,2130.79,989.33,1457.61,930.75,1285.93,999.15,905.89,1539.78,1722.43,2139.81,1544.36,1382.92,1064.79,1659.35,1659.35,883.89,883.89,883.89
1911,1711.17,1852.39,731.05,2732.19,2241.57,752.03,645.33,1640.07,1155.15,1725.03,1539.62,1852.88,1409.15,1218.34,2127.64,585.82,1793.53,515.82,829.49,1311.27,465.87,1625.41,1738.02,2114.91,1927.79,1608.88,704.36,1660.77,1660.77,883.89,883.89,883.89
1912,1770.94,2159.49,984.44,2730.51,2282.00,993.03,1125.31,1773.16,1176.43,1854.11,1574.56,2029.56,1437.86,1329.39,2059.16,997.83,1471.09,867.84,1095.16,1146.47,965.97,1546.34,1773.59,2108.11,1551.15,1361.11,817.09,1671.56,1671.56,883.89,883.89,883.89
1913,1757.13,1988.83,1115.16,2730.78,2367.31,921.52,1109.65,1623.68,1171.53,1703.38,1652.28,1881.88,1408.10,1253.40,2162.36,995.00,1331.84,791.84,1144.90,1113.89,872.58,1542.44,1755.26,2126.92,1378.60,1194.52,909.97,1622.69,1622.69,883.89,883.89,883.89
1914,1697.62,2147.22,1771.24,2693.49,2359.70,963.51,867.65,1111.64,1118.37,1193.44,1350.54,1778.96,1405.53,1229.61,1962.86,1149.01,1584.79,1062.87,878.86,971.02,1006.45,1728.12,1771.07,2122.70,1694.18,1301.71,1369.02,1538.10,1538.10,883.89,883.89,883.89
1915,1593.33,2099.94,676.91,2689.35,2284.00,717.05,317.58,1294.95,1077.13,1375.52,1043.48,1763.90,1386.15,1096.24,1899.98,407.82,1490.61,484.50,652.19,833.25,299.40,1585.38,1765.62,2116.19,1608.24,1267.97,676.59,1536.67,1536.67,883.89,883.89,883.89
1916,1766.71,2040.67,1037.29,2729.05,2315.81,1065.65,891.91,1653.50,1227.50,1759.37,1555.99,1855.48,1400.35,1406.40,2136.57,822.28,1357.52,821.82,1111.86,1530.39,679.43,1463.01,1760.08,2120.13,1411.39,1336.93,1018.89,1874.41,1874.41,883.89,883.89,883.89
1917,1790.73,1745.15,1367.08,2733.02,2351.99,914.46,1366.47,1557.55,1133.44,1663.22,2084.82,1880.86,1394.35,1242.41,2183.38,984.36,1445.37,891.79,1316.14,993.90,996.02,1375.36,1727.16,2140.48,1529.99,1338.97,1098.51,1926.29,1926.29,883.89,883.89,883.89
