Variable:,pr
,"Congo (Democratic Republic of the)",Bandundu,Bas-Congo,Equateur,"Kasai Occidental","Kasai Oriental",Katanga,Kinshasa,Maniema,Nord-Kivu,Orientale,Sud-Kivu
1901,1541.21,1615.64,1255.71,1786.48,1603.86,1633.60,1218.26,1540.23,1523.14,1319.97,1637.32,1448.78
1902,1549.14,1615.64,1285.60,1786.48,1603.86,1633.60,1218.12,1540.23,1523.14,1336.76,1669.34,1448.39
1903,1554.83,1615.65,1343.22,1786.48,1603.86,1633.60,1209.64,1540.23,1527.29,1545.21,1668.12,1478.97
1904,1536.38,1581.57,1239.10,1785.69,1603.86,1633.60,1219.20,1456.85,1522.69,1305.60,1640.80,1444.76
1905,1541.09,1615.64,1279.37,1786.48,1603.86,1633.60,1213.32,1540.23,1523.53,1324.20,1636.00,1468.18
1906,1530.45,1625.61,1410.24,1786.15,1603.86,1633.60,1171.83,1653.04,1517.68,1116.66,1639.94,1397.84
1907,1525.35,1580.49,1173.02,1798.03,1603.86,1633.60,1190.30,1380.02,1523.76,1256.31,1622.93,1443.85
1908,1485.39,1538.43,1289.64,1664.97,1560.78,1607.13,1151.67,1447.21,1517.61,1153.95,1631.98,1410.06
1909,1544.07,1658.86,1604.03,1852.64,1603.86,1633.60,1116.16,1763.14,1518.81,1204.68,1649.63,1408.37
1910,1530.40,1627.85,1365.92,1772.66,1603.87,1633.60,1172.20,1614.58,1523.14,1319.47,1622.39,1446.74
1911,1513.54,1655.28,1274.39,1797.04,1603.92,1633.60,1108.24,1529.83,1517.73,1107.26,1615.78,1390.56
1912,1515.65,1659.26,1544.82,1780.77,1603.86,1628.72,1165.44,1755.58,1508.08,1267.46,1526.79,1439.14
1913,1408.31,1499.02,995.44,1571.10,1603.81,1618.76,1193.04,1207.48,1482.99,1002.09,1384.16,1369.29
1914,1552.89,1605.34,1092.93,1946.98,1603.96,1636.33,1122.60,1349.06,1525.65,1169.17,1706.71,1401.82
1915,1469.49,1584.75,1156.04,1673.90,1603.85,1620.84,1168.26,1488.73,1490.85,1195.34,1503.53,1427.60
1916,1528.73,1617.23,1610.61,1767.03,1603.86,1634.62,1157.83,1653.49,1522.05,1204.29,1630.24,1416.40
1917,1536.82,1559.80,993.99,1903.58,1603.95,1634.10,1232.98,1116.99,1515.18,1296.33,1594.83,1371.77
1918,1478.57,1605.52,1113.43,1769.82,1603.85,1633.13,1056.71,1453.48,1505.20,1075.37,1588.96,1329.06
1919,1572.38,1605.39,986.19,1863.29,1603.88,1646.11,1176.26,1385.96,1545.81,1360.64,1787.97,1420.65
1920,1492.09,1567.39,1413.80,1662.35,1603.79,1627.92,1177.17,1583.12,1502.13,1190.59,1587.67,1400.92
1921,1434.80,1598.05,1115.69,1678.99,1603.83,1614.28,1184.63,1476.99,1449.40,1018.90,1379.79,1221.13
1922,1522.41,1616.29,1172.26,1803.62,1603.86,1636.98,1147.98,1469.59,1441.19,1332.28,1670.16,1159.10
1923,1557.08,1578.66,1598.72,1702.52,1603.80,1640.17,1266.80,1555.00,1502.82,1262.08,1737.99,1343.35
1924,1508.86,1617.86,1160.39,1772.25,1603.86,1631.08,1123.89,1531.37,1450.35,1137.41,1668.36,1228.41
1925,1569.61,1670.53,1336.47,1807.59,1603.89,1631.12,1288.63,1646.63,1552.62,1321.61,1624.13,1521.75
1926,1569.66,1617.47,1317.06,1863.34,1603.87,1637.74,1220.51,1540.23,1546.81,1286.76,1692.65,1463.15
1927,1489.86,1594.55,1251.53,1635.48,1782.05,1698.31,1193.14,1501.05,1413.90,1187.42,1542.72,1301.94
1928,1464.88,1601.09,1196.02,1781.19,1462.11,1532.87,1086.70,1429.43,1351.86,1117.79,1623.66,1091.75
1929,1533.46,1543.77,1502.16,1782.27,1569.64,1575.47,1088.02,1604.44,1508.81,1304.84,1792.47,1358.60
1930,1497.11,1400.66,1062.30,1750.14,1586.70,1625.20,1217.24,1237.51,1531.41,1537.05,1578.44,1602.59
1931,1520.30,1338.74,1257.41,1756.56,1533.62,1587.09,1310.67,1291.98,1495.34,1231.45,1707.06,1378.35
1932,1496.42,1404.40,1192.61,1841.43,1461.17,1526.79,1153.52,1316.20,1511.24,1261.74,1676.14,1444.82
1933,1495.94,1530.98,1271.31,1882.51,1487.44,1520.23,1119.89,1411.57,1475.97,1259.39,1604.90,1347.25
1934,1483.87,1459.61,1253.45,1741.47,1574.03,1536.24,1194.72,1455.83,1420.92,1110.57,1643.02,1250.69
1935,1509.29,1529.80,1282.22,1846.47,1566.07,1558.72,1155.31,1512.56,1440.46,1300.99,1629.21,1315.84
1936,1555.70,1562.01,1138.56,1862.22,1687.98,1745.22,1212.39,1424.20,1550.31,1441.63,1603.54,1513.43
1937,1551.55,1567.86,1444.07,1647.10,1607.40,1689.79,1284.68,1619.83,1608.08,1500.78,1645.64,1675.52
1938,1493.82,1588.40,1131.00,1844.09,1526.05,1468.92,1153.61,1314.72,1403.23,1199.45,1618.35,1259.92
1939,1573.30,1732.81,1333.76,1770.18,1802.35,1716.68,1298.38,1507.04,1489.01,1253.43,1585.18,1345.10
1940,1566.50,1705.16,1104.40,1831.74,1658.40,1679.58,1192.87,1435.90,1489.16,1267.93,1700.66,1369.73
1941,1544.94,1510.18,1071.78,1777.55,1502.30,1609.00,1167.98,1344.59,1564.97,1534.58,1787.34,1545.71
1942,1524.98,1559.30,1050.22,1777.97,1665.90,1646.93,1212.14,1392.87,1439.96,1315.73,1640.03,1381.32
1943,1448.12,1478.65,1075.08,1755.62,1539.37,1528.13,1133.75,1272.50,1358.87,1135.42,1568.60,1209.29
1944,1557.55,1785.81,1675.50,1741.57,1677.18,1663.73,1187.31,1720.12,1513.83,1219.76,1619.40,1380.57
1945,1526.03,1665.20,1489.42,1797.04,1711.86,1764.75,1066.45,1609.18,1544.22,1267.61,1586.20,1349.02
1946,1544.73,1674.77,1273.62,1755.26,1626.43,1644.17,1148.24,1580.23,1523.76,1239.88,1712.59,1406.11
1947,1576.89,1644.72,1400.73,1778.25,1613.98,1600.14,1223.18,1610.97,1633.29,1398.19,1735.00,1495.29
1948,1538.93,1579.92,1291.67,1810.19,1645.34,1675.82,1216.84,1493.68,1416.40,1291.92,1652.15,1284.87
1949,1428.53,1569.83,1313.64,1638.43,1630.95,1547.66,1026.78,1511.21,1438.43,1216.96,1512.17,1316.22
1950,1567.17,1576.49,1606.06,1854.75,1646.77,1723.09,1264.18,1614.32,1539.00,1227.53,1609.38,1427.45
1951,1549.88,1648.16,1230.91,1691.57,1648.96,1691.03,1347.05,1573.15,1546.61,1559.00,1534.15,1521.77
1952,1510.67,1565.39,1349.00,1814.42,1610.69,1544.14,1182.86,1442.16,1363.08,1094.65,1663.57,1151.18
1953,1494.26,1588.25,975.54,1683.29,1716.64,1682.19,1146.56,1415.41,1512.81,1310.30,1579.65,1395.01
1954,1559.64,1689.95,1196.38,1834.50,1747.01,1729.66,1111.72,1471.29,1470.69,1349.95,1707.38,1273.70
1955,1630.37,1779.69,1418.27,1909.97,1758.17,1770.78,1153.70,1607.79,1637.99,1438.02,1761.98,1448.21
1956,1605.81,1570.24,995.73,1870.82,1661.56,1710.94,1347.22,1300.39,1544.17,1458.22,1743.91,1408.60
1957,1600.47,1730.84,1482.14,1796.08,1706.84,1640.25,1193.30,1448.78,1573.81,1432.33,1774.44,1474.44
1958,1430.82,1412.63,783.13,1671.64,1474.74,1460.54,1072.76,1096.45,1400.31,1369.09,1680.68,1303.77
1959,1531.12,1629.21,1406.12,1792.82,1690.68,1640.60,1130.57,1487.39,1555.01,1353.89,1608.65,1435.87
1960,1602.47,1764.67,1498.73,1879.56,1704.52,1704.73,1184.27,1541.48,1588.44,1176.70,1724.65,1341.85
1961,1729.41,1896.36,1618.35,1938.99,1863.96,1828.28,1436.45,1873.65,1587.60,1453.71,1783.13,1470.25
1962,1644.80,1670.23,1400.62,1878.73,1649.85,1726.20,1346.19,1591.23,1671.78,1527.37,1730.87,1700.04
1963,1622.44,1601.33,1413.02,1779.41,1678.47,1675.61,1318.66,1567.14,1605.78,1621.11,1791.83,1659.91
1964,1537.39,1658.69,1344.26,1782.04,1630.94,1580.24,1111.19,1548.26,1477.30,1379.72,1715.84,1373.74
1965,1536.64,1603.95,1156.11,1808.67,1643.07,1654.94,1166.66,1464.58,1555.99,1229.96,1654.73,1417.35
1966,1610.01,1822.93,1573.22,1878.31,1730.38,1661.06,1134.49,1765.91,1572.46,1346.81,1737.76,1458.52
1967,1521.47,1575.12,1160.38,1672.24,1587.23,1660.93,1305.18,1323.10,1606.24,1273.36,1557.66,1554.85
1968,1543.42,1617.10,1077.35,1791.10,1640.33,1629.80,1194.42,1512.36,1595.99,1397.85,1634.22,1558.65
1969,1647.50,1814.92,1395.84,1886.51,1813.84,1884.13,1297.13,1707.67,1591.48,1208.83,1694.10,1361.47
1970,1536.24,1518.58,1358.76,1731.96,1480.83,1651.46,1316.35,1607.41,1577.54,1416.64,1605.76,1512.81
1971,1465.71,1538.06,1189.08,1766.12,1468.09,1503.19,1153.99,1370.61,1498.31,1341.80,1505.54,1508.20
1972,1481.74,1498.60,1163.02,1704.66,1469.74,1604.32,1154.20,1363.15,1482.37,1349.85,1634.89,1407.26
1973,1417.94,1434.91,1373.84,1697.90,1467.00,1509.54,1103.02,1598.81,1321.66,1221.95,1504.42,1328.49
1974,1535.84,1540.75,1171.41,1795.03,1542.71,1671.21,1271.85,1529.76,1395.77,1350.60,1648.96,1392.36
1975,1490.35,1540.37,1433.81,1778.65,1510.23,1515.06,1124.98,1572.52,1372.66,1397.59,1630.31,1381.55
1976,1566.94,1696.58,1248.40,1874.43,1665.43,1642.56,1262.48,1521.28,1466.15,1358.76,1602.48,1316.87
1977,1602.12,1734.06,1281.64,1866.08,1832.92,1707.91,1312.66,1537.08,1514.73,1547.10,1559.25,1555.50
1978,1521.97,1489.97,921.03,1771.20,1538.27,1590.51,1336.82,1212.97,1571.78,1369.35,1564.53,1566.09
1979,1542.56,1625.66,1167.08,1914.02,1438.91,1513.78,1365.22,1547.13,1481.88,1300.84,1503.15,1487.81
1980,1522.87,1581.12,1367.08,1834.43,1543.62,1563.97,1196.71,1665.35,1530.21,1294.93,1582.71,1465.86
1981,1483.89,1463.05,1279.53,1765.26,1407.33,1553.68,1123.03,1511.05,1562.77,1260.50,1647.41,1498.11
1982,1561.19,1588.76,1018.42,1770.91,1680.29,1712.57,1262.59,1402.22,1588.19,1264.35,1664.14,1594.86
1983,1458.34,1430.21,1315.17,1725.88,1391.51,1452.67,1127.95,1428.69,1453.68,1388.34,1633.05,1437.50
1984,1460.59,1467.97,1397.88,1723.30,1477.49,1538.11,1145.51,1479.21,1482.39,1247.31,1563.90,1328.06
1985,1530.08,1743.60,1354.26,1700.84,1620.43,1534.43,1161.62,1674.47,1488.09,1249.00,1674.60,1378.29
1986,1558.13,1654.92,1223.90,1702.95,1655.01,1663.18,1288.22,1507.72,1474.27,1214.99,1705.24,1356.14
1987,1557.18,1654.33,1433.60,1732.13,1697.07,1701.01,1117.32,1533.65,1562.96,1338.01,1756.48,1368.61
1988,1566.52,1747.33,1376.46,1776.32,1665.52,1535.93,1150.25,1558.76,1506.18,1390.94,1745.57,1465.70
1989,1577.34,1647.72,1445.70,1726.91,1782.05,1938.56,1198.22,1567.22,1581.92,1245.00,1679.51,1345.10
1990,1538.78,1742.85,1373.03,1803.16,1562.69,1674.05,1146.45,1625.24,1547.49,1194.07,1608.73,1382.04
1991,1492.05,1513.87,1201.19,1741.33,1506.44,1560.06,1146.91,1395.94,1499.96,1274.94,1654.87,1410.33
1992,1439.51,1484.98,1117.01,1641.27,1431.39,1521.56,1088.69,1373.60,1481.98,1324.11,1619.18,1328.90
1993,1465.05,1495.49,1217.02,1702.40,1232.85,1465.53,1132.50,1453.21,1463.79,1292.71,1724.48,1258.52
1994,1441.71,1609.66,1532.84,1717.85,1256.59,1362.96,1038.23,1688.02,1505.39,1406.77,1570.64,1442.68
1995,1461.75,1494.33,1375.65,1618.35,1451.39,1559.74,1043.23,1569.38,1503.83,1285.68,1720.37,1377.36
1996,1430.62,1435.84,1150.57,1539.08,1625.21,1665.93,1092.38,1427.37,1423.56,1392.05,1582.61,1294.41
