Variable:,pr
,Comoros,Anjouan,Moheli,Ngazidja
1901,1858.19,1734.90,1779.00,1852.75
1902,1856.09,1732.36,1779.00,1850.00
1903,1862.67,1736.75,1779.00,1858.76
1904,1861.45,1734.90,1779.00,1857.06
1905,1859.12,1734.90,1779.00,1854.05
1906,1862.67,1734.90,1779.00,1858.76
1907,1650.40,1435.72,1498.40,1651.49
1908,1767.22,1647.59,1673.50,1765.47
1909,1862.67,1731.40,1779.00,1858.76
1910,1861.39,1730.73,1779.00,1857.06
1911,1861.09,1736.31,1779.00,1856.77
1912,1862.67,1733.38,1779.00,1858.76
1913,1862.67,1732.32,1779.00,1858.76
1914,1862.67,1737.62,1779.00,1858.76
1915,1862.67,1734.37,1779.00,1858.76
1916,2231.07,1763.96,1981.70,2212.10
1917,1862.67,1736.06,1779.00,1858.76
1918,1862.67,1732.85,1779.00,1858.76
1919,1862.67,1733.36,1779.00,1858.76
1920,1862.67,1732.06,1779.00,1858.76
1921,1862.67,1730.82,1779.00,1858.76
1922,1857.74,1730.06,1779.00,1852.16
1923,1862.67,1733.05,1779.00,1858.76
1924,1853.44,1734.88,1779.00,1846.87
1925,1834.11,1732.14,1767.30,1830.31
1926,1857.54,1730.48,1779.00,1853.28
1927,1859.19,1733.65,1779.00,1854.87
1928,1861.64,1732.44,1779.00,1857.24
1929,1862.95,1733.66,1779.00,1859.00
1930,1858.78,1728.77,1779.00,1855.34
1931,1862.27,1732.72,1779.00,1857.80
1932,1861.37,1736.68,1779.00,1857.00
1933,1805.12,1070.99,1426.10,1799.34
1934,2173.18,2024.18,2165.70,2159.44
1935,1536.06,1265.04,1350.20,1539.25
1936,1582.59,1125.65,1302.20,1583.95
1937,1947.41,2295.74,2129.30,1938.34
1938,1561.41,1394.80,1433.10,1562.37
1939,1776.00,1720.76,1748.70,1766.85
1940,2004.64,1992.19,2002.20,1999.44
1941,1769.01,1628.64,1677.30,1767.93
1942,1693.65,1409.35,1505.10,1692.60
1943,1718.95,1502.00,1579.90,1718.32
1944,1499.02,1391.11,1387.90,1502.01
1945,1621.95,1493.96,1527.10,1622.49
1946,1552.94,1278.51,1370.20,1553.49
1947,1743.40,1531.63,1617.60,1738.55
1948,1719.80,1646.25,1655.70,1717.01
1949,1755.85,1395.05,1561.10,1751.82
1950,1652.44,1393.93,1482.40,1652.10
1951,1712.63,1553.35,1590.60,1712.06
1952,1801.61,1272.78,1527.20,1799.08
1953,1549.03,1158.11,1318.90,1550.09
1954,1634.67,1495.30,1518.60,1635.38
1955,1958.24,1709.84,1835.60,1951.41
1956,2035.77,1885.57,1992.90,2026.96
1957,1883.67,1630.47,1762.10,1875.95
1958,1713.44,1356.83,1544.20,1709.13
1959,1698.82,1541.35,1565.50,1697.85
1960,1790.04,1469.30,1649.40,1787.75
1961,2164.72,2025.11,2053.40,2156.60
1962,1754.22,1590.52,1648.40,1755.64
1963,1849.73,1524.30,1674.30,1845.51
1964,1804.19,1565.28,1703.50,1798.69
1965,2126.28,2035.55,2148.30,2113.40
1966,1595.09,1361.95,1456.60,1594.31
1967,1991.06,1415.59,1638.20,1990.11
1968,1900.11,1827.81,1898.00,1893.28
1969,1878.55,1864.97,1864.50,1873.39
1970,1722.69,1543.36,1604.20,1720.23
1971,1845.87,1737.93,1793.30,1842.43
1972,1852.67,1654.12,1696.00,1850.55
1973,1893.87,2156.64,2038.30,1889.19
1974,2143.96,2158.23,2233.10,2132.11
1975,1652.60,1559.90,1565.40,1655.09
1976,1823.63,1814.22,1750.80,1828.67
1977,1735.04,1667.92,1634.40,1738.07
1978,1850.67,1822.79,1773.00,1849.97
1979,1939.19,1708.45,1802.60,1935.14
1980,1898.22,1796.60,1822.60,1891.16
1981,1685.17,1734.57,1724.10,1681.85
1982,1846.99,1631.82,1676.00,1844.91
1983,1944.30,1884.67,1815.00,1941.32
1984,1894.73,1638.90,1740.30,1888.16
1985,1777.81,1567.68,1665.60,1772.10
1986,1822.07,1610.33,1672.20,1818.59
1987,1553.66,1426.27,1386.00,1556.25
1988,1777.25,1833.28,1772.70,1775.46
1989,2352.95,2027.23,2305.70,2331.81
1990,1850.95,1837.81,1875.40,1843.50
1991,2030.59,1916.73,1876.20,2023.59
1992,1972.42,1675.86,1785.50,1969.21
1993,1821.91,1560.54,1740.20,1817.84
1994,1697.17,1763.21,1734.20,1694.73
1995,1645.01,1476.59,1574.20,1642.32
1996,1942.29,1908.28,2023.60,1929.56
1997,1702.34,1150.90,1380.40,1703.31
1998,1713.81,1180.12,1471.20,1711.54
1999,1860.47,1484.03,1674.10,1855.60
2000,1863.45,1592.85,1736.10,1859.76
2001,1783.49,1571.37,1723.40,1778.01
2002,1900.05,1619.89,1733.60,1899.80
2003,1642.16,1386.00,1594.30,1634.32
2004,1818.95,1138.96,1460.40,1821.27
2005,1764.32,1422.85,1614.30,1757.45
2006,2078.44,1592.32,1876.60,2071.34
2007,1610.58,1190.54,1409.60,1612.42
2008,1763.45,1650.15,1667.30,1762.62
2009,1604.39,1470.28,1509.30,1606.12
2010,1869.33,1645.32,1751.30,1863.93
2011,2154.07,1912.97,2112.40,2140.37
2012,1909.81,1839.55,1932.10,1904.42
2013,1598.06,1133.42,1266.50,1598.75
2014,1663.25,1566.17,1586.60,1662.33
2015,1847.52,1850.73,1844.20,1844.26
2016,1959.87,1869.71,1933.50,1955.28
2017,1739.80,1631.88,1570.60,1740.76
2018,1941.39,1716.28,1862.70,1931.52
2019,1783.50,1322.87,1506.90,1782.46
2020,1693.22,1365.57,1508.60,1696.67
