Variable:,pr
,Finland,Aaland,"Eastern Finland",Lapland,Oulu,"Southern Finland","Western Finland"
1901,385.90,388.01,415.61,344.14,367.72,463.85,397.20
1902,544.69,531.56,617.24,437.37,545.53,656.73,575.00
1903,558.54,631.69,634.93,449.87,527.74,707.10,596.84
1904,499.43,523.14,587.21,388.37,525.45,597.13,509.52
1905,515.40,570.95,575.66,438.49,523.67,589.83,527.47
1906,480.93,495.77,529.88,411.11,466.72,592.06,495.14
1907,478.97,556.42,498.42,410.00,486.46,520.26,528.85
1908,399.06,495.29,405.20,376.38,405.68,445.68,399.55
1909,495.03,551.04,538.48,428.27,487.56,577.30,517.19
1910,491.09,628.51,532.48,405.50,487.37,594.65,526.73
1911,520.48,495.35,584.71,458.19,530.40,602.03,505.97
1912,533.14,678.09,569.57,448.95,501.54,659.81,583.03
1913,417.73,514.29,452.75,349.36,413.36,488.72,450.81
1914,437.09,401.35,470.74,409.59,462.60,469.02,412.58
1915,451.94,593.60,490.11,354.68,406.10,600.09,518.96
1916,493.66,637.59,548.48,391.40,480.74,615.80,539.94
1917,506.23,464.98,555.51,464.32,536.32,543.93,480.77
1918,464.23,541.15,516.42,375.15,453.27,583.12,494.73
1919,481.79,552.51,520.05,401.16,489.24,547.20,520.73
1920,475.38,471.99,495.12,472.58,493.74,499.41,439.55
1921,560.38,486.02,602.84,534.04,573.00,602.34,532.24
1922,514.83,542.40,601.33,432.02,525.15,601.90,506.78
1923,577.67,613.19,665.96,474.96,579.81,693.71,587.97
1924,528.64,581.65,602.76,407.01,523.43,663.06,571.32
1925,520.89,546.45,579.15,420.75,474.39,687.59,567.59
1926,464.59,513.90,493.40,421.18,462.17,534.80,469.67
1927,546.33,676.18,618.29,419.99,503.38,729.28,605.95
1928,556.53,608.90,623.81,445.53,525.44,722.72,597.99
1929,543.13,585.06,589.61,468.58,528.48,647.73,568.07
1930,486.90,616.18,556.65,368.54,461.57,624.09,543.57
1931,567.18,527.42,592.41,508.17,606.13,611.48,572.69
1932,597.74,591.47,595.95,594.17,600.43,639.70,584.35
1933,416.40,439.30,475.70,357.73,415.26,477.77,419.22
1934,580.64,630.53,651.20,482.86,590.63,667.49,603.59
1935,608.69,658.77,663.91,518.48,593.79,729.30,640.41
1936,511.70,662.27,535.08,450.42,487.76,623.91,542.83
1937,470.32,633.46,543.64,361.02,447.92,602.73,513.33
1938,522.68,586.00,572.50,470.45,528.53,565.33,527.81
1939,423.34,492.45,454.61,396.74,450.86,436.02,406.03
1940,471.87,494.25,483.68,448.36,475.38,516.75,471.48
1941,347.58,446.99,353.38,321.11,351.95,386.05,358.51
1942,464.54,475.17,523.90,414.24,460.14,536.39,454.47
1943,560.25,615.01,614.40,469.10,525.89,698.97,601.21
1944,540.60,711.95,578.12,412.10,497.73,689.88,644.55
1945,467.16,630.50,510.12,362.18,436.04,573.49,546.59
1946,432.83,554.89,447.64,390.14,406.08,507.79,465.76
1947,409.41,396.26,416.23,408.60,400.80,448.53,396.25
1948,518.77,560.44,542.77,493.06,521.93,567.82,510.42
1949,527.72,567.21,581.08,475.27,582.54,553.01,499.79
1950,489.20,602.43,551.88,361.18,475.05,619.11,558.46
1951,467.09,454.83,457.24,479.08,486.55,471.79,443.34
1952,543.89,572.16,573.04,470.26,529.53,668.64,573.38
1953,515.88,477.77,529.87,466.64,515.04,572.52,543.91
1954,598.04,672.46,653.90,516.22,585.84,694.27,626.94
1955,496.47,454.68,516.11,475.24,504.96,537.05,484.63
1956,434.15,478.68,490.06,346.10,412.58,561.72,465.17
1957,589.10,632.02,633.95,507.82,576.54,696.91,621.07
1958,458.79,577.53,467.85,437.65,458.22,501.02,462.43
1959,440.64,435.52,449.82,440.20,417.77,471.75,439.98
1960,490.79,733.19,502.28,390.95,461.32,611.35,581.89
1961,591.40,648.98,610.67,557.58,608.69,614.83,596.83
1962,570.23,574.26,659.72,476.74,573.20,691.16,565.54
1963,470.72,497.60,474.19,450.57,481.03,496.66,475.09
1964,471.31,426.90,456.02,506.37,474.00,463.96,440.71
1965,522.52,564.13,534.15,527.69,532.99,551.79,488.18
1966,544.73,570.13,599.14,500.39,549.27,605.71,529.72
1967,572.47,630.95,608.70,501.09,565.23,640.33,612.18
1968,514.10,577.30,601.93,439.79,499.11,584.53,521.76
1969,429.30,497.96,498.16,351.48,405.01,521.47,454.45
1970,509.48,493.40,570.05,432.61,513.35,597.24,519.16
1971,482.85,459.94,524.04,451.40,503.97,504.53,464.81
1972,491.62,471.68,497.94,456.94,494.02,550.29,504.19
1973,486.66,502.25,517.04,434.54,485.24,540.28,508.07
1974,648.68,704.50,727.84,560.35,633.95,740.84,671.61
1975,487.44,445.65,485.18,509.34,495.62,484.34,456.87
1976,410.26,432.77,463.58,366.26,427.77,438.70,398.79
1977,565.44,651.51,576.56,507.69,560.55,652.04,597.92
1978,433.51,517.28,430.73,423.68,423.64,506.80,426.72
1979,547.85,593.86,565.56,482.92,573.27,612.00,569.06
1980,488.05,660.02,554.38,383.07,450.21,620.48,543.11
1981,673.97,688.93,735.42,578.78,660.54,803.00,701.69
1982,516.08,503.96,531.90,505.35,509.26,563.01,503.48
1983,594.89,582.33,659.31,538.65,633.96,629.08,570.75
1984,549.36,661.12,575.15,473.37,530.94,669.63,589.72
1985,530.13,551.92,569.68,480.46,511.26,609.91,543.71
1986,549.05,666.94,589.77,449.39,538.13,647.17,610.78
1987,541.99,548.76,628.35,449.57,541.12,612.39,563.14
1988,569.47,590.54,609.80,490.74,545.98,643.46,625.09
1989,543.39,476.68,534.04,537.72,548.25,584.51,537.93
1990,507.54,647.75,543.68,409.44,462.64,651.83,578.31
1991,563.77,579.23,623.54,497.61,570.66,632.69,566.82
1992,604.50,573.99,578.33,621.47,629.79,586.48,592.50
1993,504.62,536.39,525.63,466.06,487.64,552.56,531.38
1994,504.58,559.65,604.53,415.65,481.47,608.86,513.44
1995,531.39,585.13,532.60,532.76,507.63,592.09,522.63
1996,515.48,489.18,549.91,476.29,494.37,578.85,528.15
1997,483.60,589.48,509.90,441.90,467.38,552.16,500.73
1998,657.34,630.25,668.71,622.67,672.02,694.58,665.60
1999,529.46,567.64,509.01,544.26,525.40,547.03,524.01
2000,605.00,634.38,605.79,571.80,616.79,647.74,620.04
2001,551.00,577.64,538.14,520.66,532.29,615.82,588.41
2002,469.17,479.18,491.12,468.24,475.38,468.63,449.20
2003,507.35,517.79,580.09,457.84,496.54,571.30,494.76
2004,621.15,556.64,663.23,562.88,633.89,702.88,616.82
2005,587.24,571.58,582.59,591.96,583.73,624.75,572.22
2006,474.21,548.55,500.79,439.38,476.06,499.48,487.15
2007,600.02,584.46,616.54,566.01,617.39,636.86,602.10
2008,648.59,665.08,696.80,572.91,670.40,721.72,658.97
2009,515.82,562.04,567.58,469.75,523.94,576.52,503.04
2010,532.08,559.48,547.33,524.06,538.95,562.89,513.80
2011,598.34,548.83,617.63,565.34,583.19,673.41,605.37
2012,674.62,733.11,740.99,582.15,660.84,791.27,701.81
2013,509.10,489.24,561.95,463.90,518.80,555.59,498.36
2014,516.48,543.57,531.48,489.17,535.73,556.35,508.29
2015,595.60,571.86,612.18,567.21,628.77,603.91,589.44
2016,608.44,529.31,655.26,585.95,631.33,653.15,563.04
2017,583.21,612.64,655.35,524.29,540.18,701.32,586.00
2018,464.99,434.32,509.86,471.03,454.20,502.74,415.84
2019,601.02,611.21,652.06,548.28,598.69,674.08,599.59
2020,604.31,614.12,644.22,560.96,568.98,681.81,623.95
