Variable:,pr
,Estonia,"Administrative unit not available","Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond"
1901,462.00,444.99,468.73,436.55,454.59,474.87,456.86,472.21,438.93,459.53,466.62,471.33,453.86,453.08,450.89,474.36,472.22
1902,684.02,681.99,701.16,588.60,700.60,727.14,705.37,723.98,639.92,665.54,690.20,695.50,578.18,682.08,665.92,701.30,677.78
1903,702.18,676.71,716.73,654.18,706.10,732.19,709.47,735.92,683.47,702.68,686.14,715.54,647.46,683.38,685.15,710.95,700.53
1904,636.83,593.66,648.00,583.08,604.70,676.80,637.40,646.45,612.34,649.18,619.52,664.25,592.75,619.63,631.37,673.88,632.30
1905,599.11,556.62,617.08,563.98,589.04,622.12,592.07,619.10,597.40,618.22,572.69,621.36,574.36,564.20,574.05,609.90,595.73
1906,661.73,638.88,665.07,581.22,653.79,680.55,671.94,681.06,627.72,680.91,655.54,678.70,583.56,652.53,657.01,679.67,668.70
1907,533.30,479.93,556.08,558.37,490.08,547.66,513.88,526.95,566.48,575.49,485.47,568.94,559.78,492.67,503.20,551.60,500.51
1908,553.30,524.15,538.47,514.81,524.10,556.78,544.66,542.67,535.77,571.85,564.93,563.17,542.58,538.96,572.89,569.80,602.38
1909,557.04,485.04,614.16,583.32,524.64,583.45,528.10,568.12,608.06,593.31,483.66,615.18,573.37,490.21,508.68,567.26,492.69
1910,608.61,567.18,633.85,603.05,589.48,630.96,605.86,631.37,613.31,622.12,578.59,635.69,602.44,578.88,577.00,614.53,587.38
1911,610.54,597.44,605.51,524.96,635.08,631.97,622.78,647.36,573.60,619.27,606.15,609.19,546.81,602.39,594.23,615.01,610.99
1912,662.14,616.77,688.72,679.23,652.05,680.80,654.73,685.12,678.53,685.33,614.65,688.21,673.73,617.80,627.20,660.27,633.21
1913,564.39,521.99,559.06,537.46,512.60,575.72,546.11,541.06,550.72,595.15,561.70,586.20,579.37,545.20,576.86,591.68,594.13
1914,529.56,487.38,536.39,516.23,496.87,544.84,520.86,533.76,527.46,560.58,501.91,553.46,538.12,499.03,512.34,548.65,517.99
1915,631.48,583.28,656.36,627.51,619.85,650.00,614.03,644.01,642.33,657.62,593.98,665.49,628.11,591.67,598.72,639.75,605.49
