Variable:,pr
,Madagascar,"Alaotra Mangoro","Amoron I Mania",Analamanga,Analanjirofo,Androy,Anosy,"Atsimo Andrefana","Atsimo Atsinanana",Atsinanana,Betsiboka,Boeny,Bongolava,Diana,"Haute Matsiatra",Ihorombe,Itasy,Melaky,Menabe,Sava,Sofia,Vakinankaratra,"Vatovavy Fitovinany"
1911,1286.25,2044.61,1093.06,1449.98,1873.02,1174.45,1295.77,725.50,1579.89,2356.22,1634.07,1527.91,1089.74,1030.70,1051.01,1073.83,1111.17,1024.83,814.32,920.51,1534.63,1121.18,1873.89
1912,1237.83,2101.85,981.90,1469.03,1982.01,1143.62,1271.37,720.94,1590.75,2513.71,1544.38,1305.84,985.47,950.68,963.77,1079.77,1067.38,908.01,751.07,887.87,1405.17,1050.23,1793.02
1913,1500.00,2195.81,1351.77,1590.90,2514.14,1174.56,1307.13,732.23,1638.16,2526.82,1687.18,1410.53,1341.97,1795.04,1216.94,1123.03,1346.90,1164.73,976.37,2206.31,1906.78,1388.25,2082.19
1914,1543.60,2396.64,1269.66,1705.39,2741.40,1427.71,1577.16,782.20,1920.17,2542.66,1857.43,1520.19,1148.57,1750.45,1162.56,1213.11,1286.14,866.90,755.12,2212.20,2174.27,1312.39,2015.27
1915,1437.01,1981.08,1107.43,1455.18,2324.76,1174.56,1307.13,727.85,1634.72,2153.58,1651.18,1564.68,1199.47,1850.63,1083.56,1111.36,1189.24,1185.40,861.11,2179.40,1981.98,1152.34,1853.71
1916,1597.35,2371.44,1418.16,1856.79,2523.80,1174.56,1307.13,731.81,1638.15,2577.02,1943.01,1750.50,1507.00,1883.65,1233.94,1123.46,1581.27,1281.93,963.57,2200.11,2178.76,1539.48,2090.19
1917,1526.90,2174.84,1191.16,1627.56,2555.26,1174.56,1307.13,728.87,1635.47,2278.91,1825.29,1706.17,1309.66,1927.87,1125.17,1114.58,1316.58,1237.49,884.80,2234.28,2239.07,1257.54,1902.98
1918,1287.54,1581.21,909.52,1123.10,2070.97,1174.56,1307.13,725.31,1632.52,1675.65,1358.58,1341.56,945.96,1809.86,999.47,1104.59,891.81,1060.59,779.18,2155.29,1813.27,881.51,1659.02
1919,1485.99,2178.65,1210.43,1565.86,2510.09,1174.56,1307.13,729.39,1636.38,2474.73,1693.19,1496.43,1260.73,1843.16,1136.04,1116.08,1280.74,1161.99,897.14,2206.81,1989.15,1264.83,1992.33
1920,1386.57,1918.21,1181.36,1408.06,2242.54,1174.56,1307.13,729.62,1635.13,2155.94,1510.87,1277.25,1193.77,1765.11,1123.19,1114.52,1202.95,1087.74,910.44,2156.72,1740.97,1218.55,1876.90
1921,1385.11,1828.35,1322.20,1450.33,2028.76,1174.56,1307.13,732.09,1636.57,2065.41,1496.86,1261.29,1315.54,1745.94,1202.94,1121.04,1318.37,1117.38,972.47,2112.84,1642.82,1355.57,1923.54
1922,1296.85,1688.84,1222.67,1232.87,1984.84,1174.56,1307.13,730.60,1636.00,2014.59,1287.73,1015.84,1130.12,1689.56,1161.68,1117.78,1112.96,1006.37,925.11,2108.98,1452.18,1202.40,1891.27
1923,1404.11,1987.57,1138.82,1398.90,2347.07,1174.56,1307.13,728.30,1635.51,2267.97,1534.07,1322.82,1138.69,1813.60,1106.66,1113.42,1150.56,1073.72,859.56,2181.81,1857.25,1159.39,1912.15
1924,1398.35,2039.29,1007.49,1435.40,2546.30,1174.56,1307.13,725.36,1631.52,2160.69,1544.90,1319.73,1046.23,1848.10,1012.73,1104.31,1157.11,1023.84,776.56,2244.78,2006.61,1101.14,1706.78
1925,1392.92,1906.94,1053.10,1351.61,2394.85,1174.56,1307.13,726.92,1634.38,2045.15,1550.70,1416.41,1082.80,1834.51,1063.25,1109.93,1091.34,1095.28,820.33,2200.20,1942.78,1075.22,1814.35
1926,1372.80,2063.02,1106.70,1352.93,2348.68,1174.56,1307.13,727.70,1636.89,2588.45,1431.99,1163.13,1039.30,1734.41,1091.50,1113.38,1072.25,1010.58,837.73,2147.71,1627.99,1113.56,2044.60
1927,1451.41,2101.55,1197.00,1502.61,2472.20,1174.56,1307.13,729.09,1636.20,2391.36,1616.34,1407.27,1212.24,1817.74,1127.70,1115.28,1249.71,1120.56,888.24,2197.73,1903.38,1251.70,1970.25
1928,1486.05,2286.49,1278.89,1592.43,2594.11,1174.56,1307.13,730.56,1638.16,2674.69,1648.09,1288.35,1234.15,1804.39,1172.95,1119.83,1306.41,1076.98,920.09,2210.22,1906.43,1333.91,2113.02
1929,1472.40,2041.41,1147.01,1490.44,2368.23,1174.56,1307.13,728.53,1635.61,2274.22,1705.74,1652.36,1249.94,1871.50,1108.37,1113.55,1213.17,1229.78,878.15,2184.98,2043.46,1178.00,1923.36
1930,1195.22,1621.49,907.91,1052.87,1993.28,1174.56,1307.13,724.63,1634.56,2016.45,1088.76,848.68,768.29,1660.95,999.53,1105.76,831.13,836.55,733.93,2110.46,1394.07,878.53,1828.68
1931,1505.14,2185.41,1347.07,1636.86,2435.18,1174.56,1307.13,731.37,1636.87,2469.62,1707.12,1489.33,1367.97,1828.99,1198.92,1120.50,1422.52,1184.86,955.42,2193.42,1952.83,1433.29,2017.97
1932,1577.39,2378.77,1316.90,1672.06,2707.24,1174.56,1307.13,731.54,1638.21,2706.67,1850.36,1661.95,1367.21,1890.43,1189.73,1120.98,1366.55,1254.70,967.17,2238.68,2153.26,1376.24,2118.01
1933,1550.27,2357.97,1093.63,1597.94,2821.56,1288.99,1466.65,772.60,1815.01,2530.86,1826.19,1583.45,1163.65,1890.51,1085.98,1224.97,1225.14,1099.12,813.81,2276.25,2268.61,1184.09,1920.66
1934,1422.37,2026.96,1076.47,1372.22,2763.27,1033.90,1150.96,699.25,1466.60,2284.80,1452.21,1253.44,1078.64,2138.01,1062.47,1047.38,1129.08,987.82,811.32,2755.06,2054.88,1125.65,1825.87
1935,1587.30,2393.52,1338.17,1725.75,2400.31,1547.29,1765.99,850.94,2150.98,2717.92,1858.38,1590.53,1311.62,1652.41,1254.98,1398.47,1383.63,1119.87,875.29,1728.83,2008.94,1389.59,2203.23
1936,1424.96,2096.27,1080.70,1415.16,2527.32,1073.81,1213.83,714.11,1552.47,2349.23,1633.83,1486.13,1095.17,1772.56,1093.52,1100.64,1104.92,1074.23,808.02,2210.59,2015.03,1101.81,1928.72
1937,1391.97,2256.44,1278.20,1563.07,2406.50,945.68,1049.92,678.54,1346.17,2660.61,1640.50,1369.13,1170.95,1639.37,1133.22,991.21,1242.90,975.29,838.25,1886.44,1811.36,1298.44,2028.95
1938,1465.15,2064.60,1119.17,1441.24,2616.62,1212.32,1385.74,759.39,1762.46,2314.58,1549.06,1316.20,1170.48,2009.14,1098.47,1200.98,1213.19,1017.91,839.17,2445.98,2030.32,1192.85,1891.89
1939,1570.98,2384.85,1351.15,1732.93,2432.82,1267.83,1415.32,751.49,1779.17,2587.78,2025.22,1811.43,1423.88,1618.61,1219.04,1171.15,1397.93,1281.15,955.85,1715.19,2129.38,1390.14,2120.12
1940,1520.25,2131.16,1111.21,1532.00,2568.61,972.45,1078.52,687.31,1388.26,2158.34,1895.66,1901.89,1292.23,2130.28,1053.38,1002.09,1218.85,1348.39,892.90,2352.38,2430.64,1149.52,1801.20
1941,1428.68,2527.06,1362.24,1684.12,2703.08,864.30,976.78,667.76,1289.95,2909.88,1775.90,1311.58,1159.39,1447.33,1194.68,986.95,1276.19,832.91,792.74,1840.44,1991.26,1360.86,2170.28
1942,1271.37,1980.63,1135.13,1427.66,2126.64,1083.22,1220.80,715.67,1544.62,2262.11,1485.92,1207.99,1060.87,1059.55,1099.43,1090.43,1138.43,885.90,778.49,1377.47,1579.79,1159.38,1873.93
1943,1225.64,1710.57,1063.77,1283.90,1901.23,877.16,1007.37,687.54,1285.46,1898.27,1470.36,1401.14,1126.45,1192.78,1032.06,1014.52,1088.47,1077.51,829.23,1464.33,1601.46,1079.55,1684.17
1944,1308.36,2096.11,1068.98,1432.73,2338.97,865.08,990.81,672.32,1303.93,2370.47,1598.29,1407.73,1077.43,1219.46,1052.45,1004.55,1108.61,1010.40,792.33,1549.43,1809.94,1097.43,1896.04
1945,1328.09,1701.00,982.71,1228.19,2153.01,1328.63,1502.95,776.84,1853.55,1885.50,1326.50,1155.21,1086.45,1697.24,1019.16,1218.62,1071.86,1031.77,835.41,2038.74,1704.48,1036.02,1719.76
1946,1647.33,2849.54,1411.43,2023.01,3238.19,836.14,933.53,652.62,1268.81,3221.97,2008.96,1578.12,1496.78,1969.68,1191.84,962.58,1655.30,1319.92,998.72,2407.00,2322.47,1600.94,2208.93
1947,1339.17,1873.23,973.83,1297.29,2336.90,966.56,1058.72,671.08,1373.67,2001.99,1554.20,1424.39,1102.14,1874.10,1003.43,977.24,1050.37,1111.52,835.41,2100.12,1969.62,1002.27,1701.99
1948,1431.19,2328.91,1272.63,1624.58,2512.81,1058.45,1195.50,715.20,1531.59,2521.67,1764.23,1355.86,1191.64,1449.02,1165.81,1092.61,1270.24,969.96,850.50,1725.19,1985.43,1295.85,2034.48
1949,1383.21,1968.64,959.75,1312.63,2476.23,1310.62,1463.04,755.76,1849.97,2222.47,1449.50,1251.48,969.58,1809.86,1021.07,1179.93,1001.32,901.37,733.48,2281.53,1902.36,987.07,1833.42
1950,1311.20,2144.42,1185.31,1555.16,2160.88,1052.29,1157.39,697.65,1444.43,2391.62,1638.84,1373.78,1085.79,1195.15,1114.91,1030.48,1202.14,860.22,742.28,1336.62,1731.01,1220.99,1913.25
1951,1549.59,2487.28,1209.74,1761.72,2911.87,1201.34,1372.94,666.90,1813.52,2787.38,1803.04,1491.65,1309.80,1583.13,1156.76,1164.73,1442.30,1219.78,861.82,2076.05,2088.71,1380.28,2102.54
1952,1601.98,2459.42,1264.47,1687.19,2903.20,1281.11,1442.88,690.61,1840.45,2776.48,1872.33,1645.10,1320.91,1778.73,1166.50,1152.67,1358.71,1249.53,905.81,2360.67,2213.15,1342.36,2151.69
1953,1424.81,2019.34,1192.34,1467.83,2191.34,1281.07,1419.72,791.69,1781.39,2256.56,1618.92,1418.95,1242.82,1451.70,1144.27,1162.73,1249.25,1191.23,926.75,1752.45,1802.74,1239.71,1978.69
1954,1287.82,1771.39,1080.72,1358.15,1937.37,1081.18,1207.42,590.73,1530.28,1967.70,1506.94,1418.01,1273.61,1350.14,1041.48,994.37,1213.04,1286.78,886.86,1565.07,1599.04,1162.81,1744.64
1955,1252.33,1930.74,1152.00,1403.49,2100.82,942.18,1105.34,498.43,1505.57,2088.40,1543.63,1285.27,1071.50,1370.27,1067.32,960.75,1132.95,891.43,736.35,1607.91,1721.00,1166.36,1828.69
1956,1452.97,2196.31,1174.15,1529.31,2326.18,1215.14,1388.61,791.67,1720.11,2559.26,1700.00,1521.32,1255.87,1348.83,1131.15,1165.92,1245.26,1231.58,936.93,1655.35,1801.01,1228.11,2043.69
1957,1264.57,1971.75,1037.30,1423.61,2139.30,819.81,878.30,509.79,1171.87,2134.08,1657.93,1598.34,1069.75,1431.76,994.13,861.68,1086.52,1023.90,724.40,1549.32,1900.50,1060.92,1768.56
1958,1587.14,2403.32,1280.43,1712.74,2541.73,1100.88,1278.59,686.38,1683.65,2759.47,1941.55,1792.42,1524.89,1684.32,1119.68,1081.05,1439.79,1615.20,1091.84,1944.74,2053.75,1391.45,2105.84
1959,1491.86,2278.28,1386.00,1742.08,2553.90,828.40,967.25,514.46,1384.92,2531.09,1775.83,1550.74,1340.39,2155.73,1211.90,965.51,1477.93,1139.43,856.57,2458.40,2136.36,1480.80,2127.98
1960,1255.69,1655.68,1060.48,1221.04,1983.64,1081.91,1265.40,688.52,1671.45,1850.62,1334.29,1193.02,1081.63,1390.17,1086.89,1120.85,1084.89,1031.49,839.27,1761.60,1560.82,1086.30,1767.35
1961,1637.86,2266.69,1224.45,1632.79,2671.40,1437.74,1660.61,945.40,2047.65,2484.76,1815.82,1608.50,1291.44,2099.54,1177.83,1326.81,1322.96,1191.29,981.41,2591.80,2204.73,1285.98,2016.98
1962,1211.41,1749.47,1099.93,1324.91,2006.06,773.88,849.34,497.91,1119.17,1960.50,1418.05,1266.72,1134.91,1562.28,1038.19,857.53,1149.94,1028.92,776.83,1862.67,1646.79,1139.44,1751.45
1963,1405.94,2211.58,1286.49,1587.45,2341.85,1130.38,1181.66,738.23,1416.94,2565.63,1584.10,1253.43,1220.02,1477.00,1192.06,1091.97,1327.91,1052.39,876.31,1868.85,1734.70,1351.27,2098.58
1964,1430.66,2099.32,1220.26,1471.97,2293.66,1337.80,1507.75,838.76,1881.38,2486.07,1559.10,1271.29,1169.33,1430.33,1186.23,1253.79,1233.87,1027.84,899.47,1801.75,1690.42,1256.36,2078.85
1965,1675.17,2656.91,1374.57,1778.81,3009.79,1383.11,1552.66,872.44,1909.36,3048.12,1846.28,1452.17,1247.29,2093.71,1248.60,1287.33,1382.47,1047.69,906.04,2569.11,2268.78,1426.32,2303.51
1966,1535.17,2321.16,1176.90,1517.86,2903.88,1135.03,1236.54,654.82,1575.93,2708.97,1676.14,1495.12,1166.53,2009.92,1122.73,1044.03,1211.75,1144.17,847.46,2556.39,2273.86,1216.47,2178.57
1967,1582.11,2280.83,1232.10,1628.34,2782.79,1276.06,1450.78,770.11,1839.25,2474.11,1765.34,1500.50,1260.50,2148.97,1142.33,1154.14,1318.87,1146.11,911.16,2684.45,2241.15,1300.50,1987.88
1968,1506.04,1983.46,1055.88,1375.93,2514.50,1402.14,1521.26,1026.25,1755.31,2091.49,1557.73,1404.42,1018.47,2167.76,1153.13,1308.33,1080.82,942.32,860.48,2494.15,2182.26,1063.02,1866.39
1969,1453.66,1927.02,1071.09,1369.00,2336.84,1127.34,1272.90,616.61,1664.36,1982.48,1764.59,1848.27,1127.25,2072.24,1061.33,1026.75,1066.34,1200.47,774.66,2386.88,2275.02,1056.62,1829.83
1970,1281.89,1907.32,1015.74,1356.37,2265.89,926.61,1150.94,476.39,1659.82,1996.94,1583.42,1431.62,1051.27,1522.75,1007.94,995.26,1041.12,938.79,694.88,1851.44,1887.10,1027.50,1742.30
1971,1628.41,2301.36,1323.54,1724.86,2769.29,1202.66,1389.69,802.72,1786.43,2562.13,1812.26,1646.62,1443.56,2021.15,1198.00,1218.35,1482.36,1405.58,1044.57,2568.79,2143.08,1442.00,2056.77
1972,1692.33,2662.95,1374.51,1953.49,2792.99,1444.61,1656.39,767.66,2178.38,2944.92,2031.75,1730.86,1392.92,1804.87,1235.28,1269.98,1554.36,1296.79,944.13,2113.72,2236.48,1525.33,2288.10
1973,1774.64,2541.49,1303.77,1818.98,2980.78,1576.16,1789.92,873.02,2142.88,2833.76,1993.78,1750.23,1566.19,2192.35,1190.16,1319.78,1563.07,1551.75,1094.73,2579.42,2351.68,1485.90,2123.57
1974,1673.32,2605.09,1390.54,1792.86,3052.24,1269.10,1347.48,989.76,1523.21,3037.72,1887.32,1542.88,1458.66,1636.59,1248.76,1251.85,1513.28,1341.76,1092.84,2302.32,2126.89,1494.92,2218.89
1975,1546.03,2281.70,1396.33,1662.00,2799.64,1130.80,1284.10,758.49,1611.77,2603.55,1583.14,1204.12,1308.64,2213.28,1225.26,1148.22,1444.19,1042.75,935.74,2734.95,2069.18,1481.92,2072.19
1976,1480.53,2077.51,1208.48,1480.33,2679.90,1275.91,1353.18,707.37,1636.91,2211.92,1624.55,1404.30,1251.45,1921.28,1124.29,1086.51,1280.82,1129.16,875.06,2391.09,2114.87,1271.03,1864.53
1977,1362.98,1815.56,865.49,1301.19,2338.69,897.99,1004.39,638.83,1308.85,1793.71,1771.23,2040.28,1151.19,1629.87,975.69,969.35,1004.12,1278.86,745.09,1924.64,2218.42,872.61,1629.48
1978,1359.62,2023.55,1015.22,1390.98,2401.12,1206.22,1343.69,662.12,1693.10,2316.51,1507.31,1316.70,1054.95,1714.99,1036.54,1084.33,1099.48,958.05,743.95,1956.84,1845.63,1070.57,1870.05
1979,1450.39,2268.91,1300.79,1658.28,2132.07,1306.90,1418.27,685.83,1721.94,2677.56,1788.04,1574.41,1261.86,1375.91,1189.83,1137.36,1309.33,1153.29,828.06,1506.90,1783.00,1324.48,2222.34
1980,1377.31,2201.48,1061.57,1537.43,2392.67,886.54,985.40,517.38,1312.96,2222.23,1815.31,1578.44,1082.93,1979.69,1021.95,903.90,1148.73,977.84,714.71,2014.92,2214.81,1119.94,1811.87
1981,1521.06,2158.49,1203.93,1555.98,2448.73,1230.91,1307.63,714.44,1577.35,2285.45,1850.69,1875.98,1306.78,1891.44,1126.57,1088.74,1262.89,1279.80,868.37,2026.78,2244.24,1234.88,1951.43
1982,1855.72,3058.72,1685.02,2235.06,3277.73,1267.52,1382.78,916.48,1583.78,3333.30,2425.72,1935.97,1841.22,1882.28,1361.58,1277.12,1839.28,1444.33,1163.61,2217.92,2419.16,1831.22,2369.03
1983,1409.23,2237.05,1373.04,1717.42,2341.93,896.81,1021.57,457.87,1409.45,2465.05,1750.05,1500.40,1346.90,1883.99,1142.81,873.29,1446.18,1123.17,844.14,1925.06,1919.59,1458.67,1966.65
1984,1682.96,2422.81,1445.40,1807.52,2770.80,1273.46,1424.48,782.78,1807.81,2721.10,1953.20,1669.43,1634.56,2186.04,1249.39,1213.14,1596.41,1494.31,1087.83,2476.38,2136.50,1567.58,2174.04
1985,1447.60,2479.05,1394.68,1857.57,2557.57,783.53,877.85,496.64,1187.90,2809.81,1888.55,1500.78,1444.46,1590.84,1129.05,869.94,1543.62,1216.85,907.41,1890.08,1897.62,1530.23,2042.40
1986,1484.73,2439.80,1321.86,1689.23,2681.73,967.14,1117.09,576.28,1467.34,2941.95,1657.24,1337.28,1224.43,1938.76,1166.86,992.41,1372.97,1076.43,833.85,2261.22,1999.65,1407.84,2258.11
1987,1470.89,1912.60,1283.46,1491.65,2127.27,1401.68,1452.71,899.08,1631.54,2147.76,1597.22,1394.61,1398.86,1770.21,1174.34,1232.37,1367.17,1231.85,1060.88,2077.26,1752.81,1359.21,1885.22
1988,1402.55,2195.39,1208.86,1514.11,2597.87,947.22,1081.07,651.66,1388.02,2523.03,1569.98,1277.44,1111.09,1778.05,1134.82,1012.92,1205.91,971.78,835.09,2193.11,1930.17,1240.38,2016.87
1989,1772.53,2449.24,1238.07,1784.24,3093.17,1521.53,1640.57,1010.83,1887.72,2668.00,1921.42,1762.53,1495.43,2352.26,1156.80,1344.40,1517.54,1536.50,1114.61,2840.69,2416.39,1418.53,1934.95
1990,1133.20,1581.67,843.48,1037.38,2135.21,985.62,1097.80,638.61,1412.88,1701.69,1165.88,933.53,791.57,1469.94,945.54,993.33,819.80,701.93,663.69,1906.87,1608.57,828.77,1572.87
1991,1339.85,2099.69,1093.52,1431.33,2628.15,793.64,888.05,472.89,1208.50,2295.29,1492.83,1151.14,981.37,2358.35,1026.42,857.25,1134.27,783.68,673.53,2671.41,2131.57,1138.04,1863.21
1992,1474.67,2499.19,1460.45,1842.77,2787.69,808.14,933.39,413.61,1286.74,2865.93,1801.30,1472.94,1353.46,1833.49,1167.49,859.02,1528.59,1065.90,802.52,2301.79,2072.68,1563.25,2123.18
1993,1515.28,2243.77,1221.85,1653.22,2562.98,944.93,1117.46,644.02,1490.49,2460.59,1862.37,1801.88,1432.18,1548.68,1104.50,1062.10,1386.41,1421.97,1001.21,2091.68,2121.83,1340.36,1954.40
1994,1330.11,1467.73,1107.07,1152.71,1841.94,1212.94,1321.53,728.51,1625.04,1650.20,1327.07,1267.79,1254.21,2013.37,1076.67,1109.17,1124.40,1287.39,991.95,2186.84,1672.04,1138.61,1767.50
1995,1481.93,2178.81,1380.83,1671.56,2388.32,933.35,1086.26,653.48,1421.51,2404.37,1774.74,1560.13,1415.74,1815.49,1160.69,1007.00,1458.79,1210.34,966.94,2312.56,2005.58,1461.02,1954.99
1996,1493.03,2364.38,1493.49,1886.17,2310.24,918.12,1046.26,605.78,1391.35,2691.04,1877.42,1620.02,1504.18,1692.25,1179.12,983.92,1634.19,1275.32,985.34,1867.46,1889.59,1639.64,2019.87
1997,1545.16,2359.72,1430.56,1792.10,2526.65,1067.09,1222.47,759.37,1559.12,2687.18,1844.32,1572.75,1464.06,1491.07,1229.31,1124.75,1538.97,1337.65,1027.60,1994.65,1941.44,1537.43,2127.40
1998,1663.77,2310.17,1432.26,1776.33,2326.19,1471.96,1677.39,912.43,2075.54,2520.49,2040.89,1941.60,1593.32,1501.21,1247.24,1335.20,1535.03,1583.36,1096.63,1773.02,2071.58,1508.96,2137.12
1999,1393.00,1690.49,1058.23,1231.65,2080.08,1455.77,1649.57,1142.83,1941.89,1927.95,1371.26,1262.65,1036.99,1235.02,1182.83,1449.22,1047.71,1057.59,1017.32,1705.24,1650.02,1049.14,1795.29
2000,1383.07,1980.76,1176.27,1534.94,2329.04,881.44,981.26,655.68,1226.26,2101.50,1714.52,1506.54,1334.38,1587.55,1102.86,998.51,1316.57,1280.97,966.01,1955.94,1863.37,1269.23,1777.72
2001,1496.67,2425.48,1479.78,1826.89,2505.58,1057.38,1172.89,715.37,1474.72,2787.74,1818.36,1498.81,1376.47,1375.87,1258.12,1065.46,1532.00,1106.86,939.11,1843.45,1867.03,1556.53,2163.00
2002,1574.25,2355.25,1236.10,1713.95,2894.80,1177.27,1349.07,635.15,1743.31,2617.86,1830.33,1583.46,1405.02,1821.88,1108.19,1103.44,1454.64,1354.82,927.81,2512.48,2151.83,1387.28,1975.87
2003,1443.94,2420.40,1277.93,1694.13,2785.79,835.97,989.23,458.24,1418.44,2644.71,1823.05,1486.24,1233.45,1577.45,1112.29,880.58,1327.18,1096.53,805.86,2197.93,2117.32,1337.39,2017.37
2004,1525.53,2106.76,1119.77,1578.30,2541.65,1150.63,1310.85,666.05,1695.14,2163.24,1907.35,1832.10,1368.41,1582.45,1076.81,1093.30,1293.51,1430.04,911.42,2459.35,2209.85,1208.54,1815.36
2005,1432.65,2022.26,1272.83,1464.99,2330.79,1462.56,1645.27,754.23,1998.30,2378.34,1448.81,1063.75,1194.15,1571.71,1185.38,1285.78,1265.68,975.35,872.09,2167.32,1690.60,1312.72,2099.35
2006,1479.02,2230.31,1230.31,1594.94,2570.23,1174.56,1307.13,719.51,1636.65,2487.03,1723.48,1484.91,1255.78,1472.72,1144.02,1116.60,1307.55,1151.37,889.24,2122.20,2003.68,1297.41,2005.39
2007,1472.03,2230.31,1230.31,1594.94,2570.21,1174.56,1307.13,728.49,1636.65,2487.03,1723.48,1478.07,1255.78,1298.57,1144.02,1116.60,1307.55,1151.19,890.86,2096.15,1987.08,1297.41,2005.39
2008,1502.94,2230.31,1230.31,1594.94,2570.33,1174.56,1307.13,722.36,1636.65,2487.03,1723.49,1508.32,1255.78,1881.92,1144.02,1116.60,1307.55,1152.26,889.69,2212.46,2069.42,1297.41,2005.39
2009,1509.98,2230.32,1230.31,1594.94,2617.16,1174.56,1307.13,723.93,1636.65,2487.03,1723.49,1502.32,1255.78,1729.70,1144.02,1116.60,1307.55,1152.07,890.32,2452.35,2074.51,1297.41,2005.39
2010,1380.41,1875.44,1031.95,1308.40,2319.85,1078.85,1204.32,695.83,1527.83,2083.43,1514.55,1378.33,1082.28,1994.35,1051.47,1071.44,1052.70,1097.98,827.76,2374.35,1963.00,1040.38,1806.71
2011,1360.72,1871.66,1147.18,1364.85,2165.08,1114.88,1232.35,704.90,1558.78,2102.94,1502.57,1348.23,1145.88,1657.32,1110.69,1073.40,1149.29,1094.67,867.09,2086.14,1799.87,1163.96,1892.58
2012,1375.24,2098.85,1206.25,1524.81,2406.06,987.37,1123.52,676.17,1418.42,2392.56,1570.14,1282.84,1183.53,1578.09,1125.50,1059.68,1276.20,1032.17,847.65,1986.35,1797.65,1277.15,1941.03
2013,1481.42,1774.20,1212.37,1357.76,2103.07,1713.81,1923.27,960.99,2254.94,2046.67,1340.58,1056.89,1170.34,2062.96,1214.20,1493.46,1226.76,1044.58,938.52,2457.58,1698.59,1256.37,1923.79
2014,1511.08,2008.55,1031.70,1464.89,2457.67,1254.61,1353.43,772.13,1626.94,2041.36,1696.81,1653.85,1164.25,2413.16,1058.10,1150.22,1170.33,1168.93,817.49,2626.93,2346.69,1094.25,1745.68
2015,1347.80,1868.60,1138.72,1396.18,2210.37,1128.01,1258.72,720.20,1584.99,2092.83,1451.87,1267.03,1142.79,1649.30,1098.17,1095.68,1201.16,1063.49,865.21,2037.11,1718.85,1200.26,1818.23
2016,1229.51,1632.18,918.85,1063.98,2127.94,969.33,1060.77,641.54,1388.60,1743.36,1297.98,1115.59,868.90,1877.17,988.76,952.85,843.67,919.03,768.95,2319.47,1792.12,880.00,1665.64
2017,1318.44,2041.48,1255.24,1428.01,2294.07,986.58,1100.33,664.51,1451.51,2540.17,1320.74,912.62,1081.89,1741.16,1147.33,1013.97,1215.74,906.55,872.87,2152.38,1505.13,1293.66,2051.26
2018,1483.45,2205.11,1354.75,1593.81,2469.20,1110.95,1265.04,714.50,1605.64,2482.18,1695.12,1367.16,1334.46,1815.14,1213.32,1137.33,1363.27,1126.35,969.61,2170.38,1898.71,1404.13,2053.00
