Variable:,pr
,Madagascar,"Alaotra Mangoro","Amoron I Mania",Analamanga,Analanjirofo,Androy,Anosy,"Atsimo Andrefana","Atsimo Atsinanana",Atsinanana,Betsiboka,Boeny,Bongolava,Diana,"Haute Matsiatra",Ihorombe,Itasy,Melaky,Menabe,Sava,Sofia,Vakinankaratra,"Vatovavy Fitovinany"
1901,1467.78,1977.19,1212.93,1493.52,2269.85,1174.56,1307.13,730.14,1635.21,2155.43,1683.54,1631.11,1311.33,1875.06,1139.20,1115.64,1268.40,1247.94,932.63,2172.60,2009.74,1253.77,1878.27
1902,1366.86,1769.81,1105.25,1314.26,2040.58,1174.73,1323.29,729.42,1713.27,2011.19,1437.72,1426.65,1076.94,1817.67,1128.23,1164.85,1113.01,1102.57,826.79,2129.51,1814.51,1119.38,1914.41
1903,1501.58,2199.39,1239.09,1568.49,2566.78,962.07,1080.48,688.91,1401.44,2305.51,1845.21,1702.64,1284.02,1970.10,1147.71,1030.89,1258.11,1163.83,890.67,2239.61,2326.20,1261.03,1919.71
1904,1570.76,2199.33,1166.06,1525.75,2583.25,1773.98,1992.52,874.50,2364.02,2469.71,1661.12,1422.58,1163.77,1859.96,1136.01,1417.24,1214.46,984.15,827.53,2218.38,2061.71,1213.51,2029.85
1905,1599.39,2428.88,1538.18,1839.08,2573.88,1174.79,1329.53,735.69,1749.44,2699.79,1913.42,1580.37,1465.84,1859.81,1384.83,1206.37,1566.97,1154.03,943.78,2196.88,2070.25,1589.23,2313.22
1906,1565.77,2420.13,1376.62,1813.87,2583.86,1117.24,1234.69,716.43,1544.41,2685.27,1941.76,1614.15,1471.20,1859.87,1177.18,1068.65,1508.68,1247.01,962.64,2205.80,2075.02,1485.16,2079.32
1907,1449.66,2214.53,1300.55,1570.15,2411.97,803.42,900.92,652.26,1213.29,2563.56,1729.81,1541.78,1315.16,1831.03,1169.32,948.65,1312.15,1297.18,944.62,2169.87,1956.62,1328.40,2063.87
1908,1398.46,2211.02,1315.68,1698.60,2165.22,747.18,846.39,638.55,1150.42,2496.67,1843.70,1668.19,1459.27,1436.29,1127.61,915.80,1452.97,1341.32,981.90,1446.82,1809.27,1411.55,1930.32
1909,1030.14,1705.39,855.87,1156.29,1681.50,743.77,801.60,616.03,1064.75,1995.22,1259.32,1030.58,784.84,1042.73,922.78,845.24,846.36,702.94,637.07,993.03,1306.77,857.79,1696.26
1910,1148.05,1622.81,1028.24,1233.64,1433.12,1436.31,1619.59,802.45,1958.43,1872.83,1274.17,1040.77,942.74,912.79,1073.00,1271.04,1005.60,745.38,702.17,736.96,1156.90,1028.33,1742.40
