Variable:,pr
,Libya,"Ajdabiya (agedabia)","Al Aziziyah","Al Fatah","Al Jabal Al Akhdar","Al Jufrah","Al Khoms","Al Kufrah","Ash Shati","Awbari (ubari)","Az Zawia (azzawiya)",Banghazi,Darnah,Ghadamis,Gharyan,Misurata,Murzuq,"Nuqat Al Khams",Sabha,"Sawfajjin (sofuljeen)","Surt (sirte)",Tarhunah,"Tripoli (tarabulus)","Tubruq (tobruk)","Yafran (yefren)","Zeleitin (zliten)"
1901,43.19,41.80,221.33,216.00,245.00,41.95,246.76,10.70,25.86,4.99,201.51,172.12,204.58,74.25,102.89,239.24,4.69,185.46,10.93,141.52,122.33,232.72,243.78,57.40,168.64,235.19
1902,48.25,49.88,229.79,318.08,357.16,41.99,264.29,10.70,25.88,4.99,208.76,242.75,270.56,77.39,108.10,252.27,4.69,189.12,10.93,147.31,134.29,246.38,253.68,60.70,178.22,250.65
1903,39.11,35.67,220.59,161.10,191.62,41.87,219.30,10.70,25.71,4.99,209.72,120.21,173.53,71.78,86.69,209.46,4.69,198.84,10.93,126.19,114.14,208.05,235.55,55.97,159.73,199.35
1904,55.32,55.35,321.09,392.84,440.16,42.11,364.42,10.70,25.93,4.99,293.61,301.44,320.33,81.73,124.12,365.79,4.69,261.47,10.93,188.25,150.49,335.13,353.72,62.95,220.27,353.63
1905,47.87,49.37,244.79,325.43,369.14,41.97,280.87,10.70,25.77,4.99,225.29,247.71,279.65,69.24,95.39,281.42,4.69,204.47,10.93,150.33,132.78,248.49,278.61,64.42,163.21,265.55
1906,53.16,47.96,362.73,304.72,347.86,42.11,432.70,10.70,26.04,4.99,331.48,229.74,264.18,88.49,140.38,424.19,4.69,299.45,10.93,207.68,135.36,392.81,407.32,44.30,250.95,414.69
1907,45.24,47.98,194.90,304.72,347.86,41.96,236.10,10.70,25.79,4.99,170.72,229.74,265.75,63.63,94.01,241.78,4.69,150.64,10.93,138.10,132.88,212.02,220.06,56.09,140.02,228.12
1908,45.73,48.03,163.39,304.72,347.86,41.93,205.85,10.70,25.80,4.99,142.02,229.74,270.10,60.75,88.65,219.09,4.69,122.77,10.93,130.27,132.59,185.02,186.41,87.75,122.27,205.58
1909,49.48,49.29,254.57,306.03,359.23,41.96,263.04,10.70,25.78,4.99,235.18,229.74,331.40,75.76,98.54,246.62,4.69,210.97,10.93,142.31,132.95,248.73,277.84,85.31,181.82,239.08
1910,42.76,47.45,173.06,304.20,343.23,41.92,205.95,10.70,25.72,4.99,156.57,229.74,239.94,57.76,81.97,207.47,4.69,142.46,10.93,125.65,132.50,180.47,200.39,48.14,117.65,192.10
