Variable:,pr
,"Korea, Republic of",Cheju-do,Chollabuk-do,Chollanam-do,Chungchongbuk-do,Chungchongnam-do,Inchon,Kang-won-do,Kwangju,Kyonggi-do,Kyongsangbuk-do,Kyongsangnam-do,Pusan,Seoul,Taegu,Taejon
1901,1015.61,1880.27,1184.31,1363.94,930.59,851.76,584.48,776.11,1216.00,633.90,1029.73,1369.17,1405.40,595.17,1077.30,972.54
1902,1220.66,1776.37,1293.25,1422.18,1136.12,1105.53,1020.24,1132.37,1279.35,1064.57,1151.33,1473.19,1525.68,1061.61,1187.62,1153.05
1903,1466.92,1669.10,1486.44,1529.84,1448.25,1443.45,1475.73,1589.07,1435.29,1561.95,1251.78,1483.64,1397.35,1586.55,1210.80,1448.70
1904,1025.84,1540.95,1095.24,1209.28,989.96,957.43,903.08,957.93,1090.67,954.17,928.17,1172.61,1165.50,957.99,936.99,1000.98
1905,1687.47,2136.03,1748.65,1875.54,1626.65,1538.74,1458.37,1646.30,1699.90,1577.83,1557.09,1948.54,1967.63,1579.03,1599.68,1605.39
1906,1091.26,1600.59,1137.09,1261.19,1015.82,982.05,901.02,1042.12,1117.89,947.09,1027.05,1299.57,1373.96,944.60,1041.48,1028.34
1907,925.45,1409.27,966.05,1069.61,845.29,855.49,828.58,882.83,937.96,842.73,841.96,1108.83,1163.47,849.74,879.11,872.40
1908,1206.14,1713.06,1278.41,1400.80,1139.82,1101.48,1018.43,1137.46,1245.12,1093.28,1100.73,1430.44,1426.48,1094.04,1147.54,1156.46
1909,1103.06,1598.17,1113.61,1236.48,1003.69,992.84,994.49,1091.21,1080.94,1047.18,995.96,1321.01,1417.66,1063.77,1056.00,1018.25
1910,1334.63,1879.97,1412.10,1551.76,1280.09,1233.83,1126.33,1256.93,1398.43,1207.68,1215.54,1569.15,1607.01,1199.76,1260.04,1287.62
1911,1478.35,2005.85,1520.74,1669.05,1415.11,1373.31,1330.20,1461.45,1510.94,1408.49,1328.11,1685.47,1722.22,1416.94,1361.78,1411.01
1912,1133.66,1514.31,1167.21,1213.81,1098.15,1055.32,1012.09,1135.68,1115.56,1093.22,1038.19,1271.85,1270.38,1102.00,1043.82,1101.36
1913,917.70,1259.69,951.58,1002.86,889.09,866.28,831.42,914.92,915.86,878.98,829.18,1027.92,1050.69,879.76,823.17,897.85
1914,1311.68,1815.20,1335.11,1462.23,1241.23,1219.43,1228.17,1311.17,1295.45,1285.77,1169.99,1490.69,1506.03,1302.88,1183.91,1248.47
1915,1371.71,1870.40,1429.42,1562.90,1296.81,1272.41,1211.42,1353.48,1400.28,1286.19,1237.27,1555.66,1575.32,1294.58,1246.24,1313.58
1916,1713.02,2249.24,1853.22,2029.51,1640.31,1600.52,1446.25,1612.91,1854.78,1541.60,1560.12,1959.01,1850.65,1539.30,1575.03,1670.23
1917,946.51,1419.51,1003.03,1116.35,866.13,866.59,814.26,888.43,986.73,853.59,854.73,1144.87,1158.44,856.11,887.63,896.66
1918,1347.39,1868.24,1440.08,1567.24,1286.64,1249.20,1145.53,1257.08,1408.10,1228.59,1227.62,1590.75,1557.11,1227.94,1275.70,1306.40
1919,1200.75,1515.84,1227.90,1281.94,1162.69,1097.93,1035.99,1239.09,1174.59,1126.24,1108.50,1322.08,1290.76,1129.08,1115.01,1148.50
1920,1312.97,1609.25,1341.54,1357.56,1302.52,1255.61,1242.10,1366.93,1294.40,1335.88,1181.91,1379.56,1342.45,1351.17,1173.58,1290.89
1921,1231.61,1715.68,1312.56,1415.51,1186.59,1154.83,1058.86,1158.50,1283.48,1126.11,1120.85,1435.43,1401.18,1128.04,1151.23,1202.24
1922,1266.86,1475.15,1258.78,1266.31,1248.19,1252.10,1327.98,1410.97,1211.44,1390.13,1084.87,1248.55,1218.39,1412.52,1013.94,1249.89
1923,1340.68,2060.87,1413.90,1598.94,1231.19,1221.43,1188.81,1249.19,1416.20,1240.23,1202.75,1619.62,1660.01,1255.69,1266.10,1253.98
1924,1042.65,1414.94,1108.07,1193.07,986.97,967.14,914.48,974.81,1090.19,960.09,958.29,1241.06,1258.75,965.23,1015.11,1002.28
1925,1567.78,1727.68,1582.82,1576.72,1616.06,1559.90,1563.06,1676.21,1504.15,1690.35,1378.36,1532.07,1423.73,1715.56,1302.40,1589.86
1926,1410.47,1660.93,1461.34,1476.90,1403.86,1367.47,1358.08,1418.99,1395.12,1427.93,1274.68,1524.30,1493.26,1444.25,1287.24,1405.11
1927,1238.92,1906.79,1361.59,1517.32,1132.24,1120.90,1036.82,1155.85,1368.92,1089.51,1102.98,1484.59,1448.78,1087.63,1159.60,1158.51
1928,1143.62,1826.83,1225.29,1401.84,1032.61,1037.37,996.38,1096.65,1253.11,1035.95,1003.46,1341.17,1326.98,1043.65,1031.23,1059.48
1929,943.97,1126.74,976.39,973.34,933.80,917.58,920.89,995.30,933.71,975.22,827.54,989.62,982.94,984.94,796.40,944.04
1930,1566.77,1886.64,1649.78,1709.85,1551.67,1516.62,1438.25,1523.83,1570.29,1521.56,1423.80,1734.73,1649.30,1530.63,1424.04,1573.84
1931,1391.57,1819.49,1470.23,1544.87,1351.60,1353.00,1306.22,1381.69,1453.28,1361.56,1231.77,1523.04,1481.57,1370.70,1235.72,1377.99
1932,935.54,1332.63,964.35,1046.63,879.20,885.27,898.15,949.03,954.00,930.52,814.18,1038.11,1044.14,941.34,815.50,896.52
1933,1554.35,1917.68,1616.07,1716.59,1511.91,1454.45,1367.82,1550.03,1567.69,1471.38,1418.71,1726.40,1678.24,1477.83,1416.55,1506.74
1934,1532.68,1904.50,1628.27,1713.54,1490.25,1482.88,1467.68,1522.04,1594.56,1545.01,1330.46,1672.57,1557.40,1559.95,1345.47,1504.30
1935,1166.91,1600.79,1201.56,1291.19,1108.60,1047.92,1001.64,1144.71,1158.42,1074.88,1082.86,1364.88,1418.33,1077.32,1109.27,1108.21
1936,1626.87,2015.71,1726.75,1799.37,1584.23,1571.28,1496.89,1569.71,1676.22,1569.11,1466.75,1829.81,1744.86,1578.87,1500.57,1617.62
1937,1105.32,1551.74,1141.62,1250.10,1039.67,1032.86,1034.69,1086.04,1131.85,1074.47,992.82,1260.10,1280.61,1088.04,997.12,1053.41
1938,1101.74,1531.07,1119.25,1222.10,1021.54,1009.17,1011.22,1138.59,1093.35,1065.54,983.94,1233.14,1253.01,1075.78,987.02,1026.91
1939,806.74,1190.86,829.61,946.61,737.36,747.48,756.54,825.41,856.76,783.58,699.70,887.47,861.41,788.83,705.36,745.31
1940,1165.77,1552.29,1222.89,1323.70,1116.58,1083.25,1025.77,1135.32,1199.82,1090.96,1055.33,1337.90,1325.87,1093.90,1073.79,1114.17
1941,1386.98,1860.63,1429.77,1581.89,1335.93,1307.57,1267.67,1352.66,1434.49,1338.20,1231.30,1584.43,1599.97,1351.66,1242.59,1344.29
1942,1080.82,1293.90,1031.48,1089.19,991.41,951.81,1062.37,1208.84,972.98,1116.58,977.75,1176.53,1271.68,1142.99,933.43,964.13
1943,929.64,1301.41,920.77,1044.90,839.98,804.82,826.59,966.37,923.98,880.48,846.73,1064.94,1098.01,892.29,853.64,821.42
1944,978.74,1168.37,976.25,1004.63,940.32,945.83,1009.92,1055.17,958.37,1047.73,862.58,1000.32,1007.35,1066.95,824.04,944.05
1945,1432.35,1716.04,1428.87,1472.77,1398.80,1368.14,1352.48,1545.53,1388.46,1455.60,1290.90,1476.35,1463.35,1465.76,1202.47,1395.26
1946,1328.76,1894.04,1466.70,1612.29,1215.03,1227.66,1090.48,1232.35,1459.92,1137.38,1197.91,1606.48,1589.27,1129.66,1225.92,1270.99
1947,1258.16,1649.30,1286.33,1372.31,1244.83,1224.12,1214.38,1284.30,1246.76,1283.64,1103.11,1333.29,1318.78,1295.63,1084.48,1247.63
1948,1622.83,1999.86,1728.77,1811.52,1571.87,1531.09,1421.06,1578.31,1666.93,1513.64,1461.04,1877.23,1835.87,1515.05,1493.62,1604.61
1949,1025.15,1607.76,1084.29,1220.96,934.64,883.45,837.44,972.07,1129.00,895.27,969.66,1204.29,1209.77,891.78,996.70,908.65
1950,1128.79,1589.46,1148.47,1278.52,1040.74,976.44,931.42,1143.53,1151.85,1008.55,1061.26,1300.47,1315.14,1009.74,1065.41,1017.81
1951,993.29,1576.75,1029.55,1215.27,893.84,908.91,928.09,1003.22,1099.43,963.53,849.13,1093.88,1169.46,973.23,864.17,922.75
1952,1138.45,1691.40,1233.69,1369.24,1049.10,1150.62,1123.44,1119.04,1261.18,1109.12,960.43,1212.71,1177.46,1126.73,955.24,1147.63
1953,1373.78,1830.84,1404.19,1496.11,1327.43,1275.90,1232.89,1412.41,1365.30,1319.09,1240.64,1504.87,1496.37,1313.36,1234.20,1327.43
1954,1554.03,2106.87,1534.14,1685.60,1478.92,1402.45,1397.35,1638.19,1526.27,1506.46,1426.17,1670.55,1688.72,1521.30,1370.85,1424.59
1955,1118.64,1392.55,1139.52,1193.97,1100.54,1090.01,1064.53,1174.70,1121.62,1125.65,988.01,1156.91,1100.11,1133.31,956.12,1122.19
