Variable:,pr
,Suriname,Brokopondo,Commewijne,Coronie,Marowijne,Nickerie,Para,Paramaribo,Saramacca,Sipaliwini,Wanica
1901,2402.47,2631.73,2446.66,1880.34,2567.04,1998.15,2385.14,2268.40,2193.20,2424.11,2268.40
1902,2771.72,3162.63,2958.29,2368.47,3070.21,2492.25,2914.41,2735.60,2689.99,2753.72,2735.60
1903,2481.84,2612.42,2465.23,2123.16,2500.03,2328.08,2457.79,2351.30,2349.34,2498.79,2351.30
1904,2533.15,2722.61,2531.42,2117.10,2630.90,2264.11,2531.18,2367.70,2334.07,2550.88,2367.70
1905,2401.01,2601.85,2454.06,1946.91,2583.89,2048.32,2395.28,2282.70,2227.31,2417.38,2282.70
1906,2275.61,2317.41,2173.13,1869.55,2223.97,2046.81,2172.43,2068.60,2064.83,2313.94,2068.60
1907,3031.76,3451.97,3213.42,2574.25,3415.76,2763.92,3169.14,2938.00,2877.33,3013.04,2938.00
1908,2527.38,2722.44,2556.62,2088.85,2605.29,2258.96,2511.17,2407.30,2370.63,2545.02,2407.30
1909,2445.31,2534.03,2387.26,2040.58,2368.93,2282.50,2371.45,2271.60,2252.43,2476.09,2271.60
1910,2424.36,2486.61,2376.74,2127.34,2340.73,2385.29,2379.31,2310.60,2333.04,2443.10,2310.60
1911,2548.85,2732.18,2537.10,2124.07,2687.97,2320.08,2510.88,2357.30,2339.07,2566.05,2357.30
1912,2011.59,2009.58,1897.28,1558.95,1962.36,1672.20,1859.77,1814.20,1775.67,2061.81,1814.20
1913,2092.80,2115.20,1993.38,1738.31,2091.89,1873.78,1976.75,1906.70,1915.81,2127.06,1906.70
1914,2358.63,2512.75,2356.56,1834.07,2461.89,1946.72,2297.64,2191.90,2117.98,2392.32,2191.90
1915,2539.29,2780.76,2617.48,2064.96,2784.70,2193.72,2542.46,2414.30,2345.25,2550.92,2414.30
1916,2535.18,2770.10,2615.01,2128.48,2698.30,2264.62,2561.02,2469.10,2420.25,2541.27,2469.10
1917,2326.01,2468.25,2284.44,1883.13,2375.51,2010.82,2256.59,2146.80,2126.40,2355.41,2146.80
1918,2598.42,2837.53,2647.86,2145.07,2795.77,2297.07,2600.13,2442.00,2398.11,2610.37,2442.00
1919,2463.50,2649.10,2465.47,1980.51,2637.13,2128.00,2420.89,2285.50,2233.78,2486.09,2285.50
1920,1983.49,1959.33,1842.55,1558.76,1918.87,1665.18,1815.59,1755.80,1755.12,2034.97,1755.80
1921,2224.17,2275.57,2156.59,1883.88,2176.59,2026.02,2159.57,2100.80,2122.90,2251.75,2100.80
1922,2445.94,2634.67,2502.42,2050.12,2582.70,2199.35,2457.49,2392.90,2349.27,2454.95,2392.90
1923,2214.64,2333.66,2189.54,1772.29,2334.72,1865.15,2140.71,2058.60,2019.94,2243.60,2058.60
1924,2069.35,2053.77,1963.33,1692.95,1960.46,1840.05,1944.45,1922.00,1922.86,2111.22,1922.00
1925,1912.42,1857.62,1705.16,1403.11,1762.60,1542.47,1679.77,1619.60,1591.64,1981.91,1619.60
1926,1943.63,1886.73,1803.89,1503.97,1826.10,1660.68,1763.86,1752.90,1717.55,1998.68,1752.90
1927,2871.21,3172.32,3045.40,2570.36,3100.82,2777.06,2999.10,2875.60,2848.15,2849.82,2875.60
1928,2544.18,2758.84,2584.72,2129.80,2701.73,2283.83,2560.03,2440.80,2405.87,2553.63,2440.80
1929,2251.56,2334.96,2217.02,1819.24,2266.98,1940.72,2188.79,2111.20,2082.04,2284.13,2111.20
1930,2194.00,2226.14,2078.48,1779.56,2117.59,1928.08,2082.44,1988.80,1992.89,2236.13,1988.80
1931,2333.17,2452.44,2313.57,1896.55,2335.43,2013.97,2280.77,2191.90,2178.38,2363.46,2191.90
1932,2514.30,2701.83,2501.36,2036.36,2601.50,2199.02,2481.51,2338.40,2300.88,2538.83,2338.40
1933,2521.60,2688.57,2558.39,2217.48,2573.84,2401.35,2564.25,2487.40,2478.03,2524.31,2487.40
1934,1802.39,1739.23,1606.78,1315.23,1662.64,1390.65,1595.52,1555.20,1533.31,1869.74,1555.20
1935,2035.32,1976.46,1854.53,1648.33,1813.41,1819.11,1861.59,1808.70,1833.35,2090.39,1808.70
1936,2535.90,2735.19,2529.68,2084.06,2639.93,2256.27,2521.82,2374.30,2331.55,2555.15,2374.30
1937,2347.65,2421.39,2288.71,1966.24,2296.95,2138.82,2281.98,2181.40,2178.54,2378.43,2181.40
1938,2852.28,3131.17,2910.39,2499.58,2973.71,2710.72,2920.44,2724.10,2726.97,2849.19,2724.10
1939,2514.96,2741.85,2568.67,2062.09,2676.65,2198.96,2527.12,2416.60,2363.51,2527.26,2416.60
1940,1925.55,1900.48,1806.35,1487.42,1832.99,1606.70,1768.23,1761.10,1729.05,1976.35,1761.10
1941,2386.16,2519.70,2400.13,2020.61,2417.59,2170.68,2371.08,2290.20,2274.29,2403.31,2290.20
1942,2256.59,2320.09,2197.23,1807.52,2246.55,1956.68,2159.74,2088.30,2056.73,2294.89,2088.30
1943,2577.41,2732.47,2546.35,2208.08,2630.31,2418.38,2555.85,2413.20,2412.19,2593.63,2413.20
1944,2285.89,2348.37,2182.02,1830.77,2240.37,1980.50,2174.53,2069.40,2068.55,2328.55,2069.40
1945,2466.93,2585.59,2438.63,2081.20,2468.48,2259.90,2430.40,2343.90,2337.57,2489.64,2343.90
1946,2403.25,2541.98,2414.66,1946.77,2493.25,2121.08,2356.56,2292.50,2229.07,2426.90,2292.50
1947,2043.15,1983.64,1901.49,1706.36,1876.67,1874.28,1910.06,1869.50,1894.02,2087.54,1869.50
1948,2738.00,3034.48,2841.00,2298.39,2952.52,2445.96,2822.97,2682.20,2633.90,2736.64,2682.20
1949,2898.72,3249.42,3083.88,2532.77,3178.99,2711.52,3034.45,2903.50,2858.22,2878.15,2903.50
1950,2340.90,2448.31,2322.08,1942.55,2364.09,2105.10,2282.74,2222.10,2194.38,2366.00,2222.10
1951,2551.00,2655.41,2517.38,2220.28,2527.17,2453.76,2510.45,2385.50,2408.44,2569.83,2385.50
1952,2218.42,2260.67,2157.51,1849.13,2168.64,2010.75,2137.24,2085.30,2080.54,2250.15,2085.30
1953,2593.26,2762.20,2553.00,2104.25,2673.87,2280.44,2525.40,2366.50,2336.67,2623.56,2366.50
1954,2855.72,3103.03,2921.20,2519.94,2969.38,2740.69,2912.01,2762.40,2767.93,2852.20,2762.40
1955,2611.82,2799.23,2595.59,2227.04,2656.60,2400.21,2609.13,2456.40,2440.49,2627.88,2456.40
1956,2704.43,2914.54,2728.02,2314.69,2803.79,2516.53,2720.48,2597.90,2574.38,2712.88,2597.90
1957,1757.28,1672.32,1576.99,1305.36,1632.63,1400.41,1549.41,1499.80,1471.61,1822.74,1499.80
1958,2250.73,2339.50,2175.21,1743.90,2246.65,1861.41,2143.75,2020.20,1979.87,2295.87,2020.20
