Variable:,pr
,Iraq,Anbar,Basrah,Muthanna,Qadissiya,Najaf,Erbil,Kirkuk,Babil,Baghdad,Thi-Qar,Dahuk,Diyala,Kerbala,Missan,Ninewa,"Salah al-Din",Sulaymaniyah,Wassit
1901,189.60,121.24,118.17,84.89,105.85,76.57,470.22,339.00,119.83,156.57,125.04,637.28,257.64,102.52,213.68,348.53,251.62,414.13,182.51
1902,193.12,123.09,135.40,85.02,105.85,76.57,440.47,337.88,119.83,156.57,125.35,605.88,257.64,102.52,216.78,395.01,251.84,408.42,182.51
1903,190.19,121.32,119.29,84.91,105.85,76.57,459.80,339.31,119.83,156.57,125.04,622.81,257.64,102.52,212.58,363.37,251.70,412.11,182.51
1904,198.95,123.02,124.38,84.92,105.85,76.57,514.12,342.05,119.83,156.57,125.15,713.35,257.64,102.52,215.83,406.35,251.83,429.04,182.51
1905,192.64,122.25,123.26,84.97,105.85,76.57,474.33,340.93,119.83,156.57,125.16,636.06,257.64,102.52,214.55,373.32,251.74,419.11,182.51
1906,192.24,123.37,131.87,85.00,105.85,76.57,442.83,338.22,119.83,156.57,125.26,595.17,257.64,102.52,219.81,384.87,251.79,408.58,182.51
1907,192.87,122.84,128.43,84.98,105.85,76.57,449.39,338.22,119.83,156.57,125.22,631.43,257.64,102.52,216.68,387.70,251.79,408.52,182.51
1908,192.89,122.71,124.27,84.93,105.85,76.57,451.64,338.22,119.83,156.57,125.13,634.62,257.64,102.52,218.28,387.77,251.79,409.15,182.51
1909,191.03,122.84,141.71,85.09,105.85,76.57,426.00,337.16,119.83,156.57,125.47,585.08,257.64,102.52,218.12,381.18,251.78,402.46,182.51
1910,190.43,122.24,129.93,84.97,105.85,76.57,429.61,337.22,119.83,156.57,125.27,578.55,257.64,102.52,216.76,381.27,251.78,404.04,182.51
1911,195.25,128.17,142.97,85.09,105.85,76.57,456.61,338.85,119.83,156.57,125.54,610.15,257.64,102.52,216.14,387.62,251.80,413.36,182.51
1912,192.76,123.45,119.14,84.88,105.85,76.57,450.78,338.22,119.83,156.57,125.06,638.16,257.64,102.52,213.87,388.08,251.79,408.35,182.51
1913,194.83,125.64,131.26,84.97,105.85,76.57,461.36,338.85,119.83,156.57,125.26,640.15,257.64,102.52,215.61,390.74,251.80,412.38,182.51
