Variable:,pr
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
1901,850.26,908.02,1007.33,875.47,812.34,844.72,795.76,899.35,794.37,781.74,838.24
1902,789.55,832.23,953.73,797.90,782.77,811.82,743.10,822.42,723.45,699.23,781.30
1903,567.09,593.04,700.06,581.58,526.88,564.11,518.64,611.52,539.90,498.06,568.08
1904,628.80,622.82,772.77,624.44,565.69,601.22,576.07,709.04,623.10,579.39,632.23
1905,801.85,808.77,982.44,805.76,730.51,758.26,733.49,911.47,786.11,723.61,806.52
1906,831.23,875.94,1038.07,898.22,699.86,779.80,713.80,943.83,812.93,726.00,858.86
1907,1064.35,1126.49,1209.31,1107.46,995.79,1048.79,998.36,1126.66,1000.78,971.65,1081.71
1908,815.58,731.45,979.78,814.91,596.47,709.86,720.00,1013.68,869.71,750.76,884.52
1909,1140.97,1189.50,1416.24,1209.71,984.45,1078.00,994.89,1303.27,1104.40,978.91,1179.53
1910,876.95,793.22,1056.58,865.86,591.92,731.08,746.24,1126.69,972.34,815.53,969.69
1911,871.45,793.77,928.28,814.21,729.08,796.08,827.75,1015.27,926.88,872.48,920.74
1912,706.31,675.51,871.54,740.16,532.45,626.21,623.73,837.96,732.68,640.98,754.19
1913,654.07,638.02,744.60,628.82,569.93,624.83,607.46,736.05,676.50,625.61,672.96
1914,771.41,738.03,936.97,764.59,672.03,714.03,703.87,889.27,789.90,719.36,788.23
1915,829.74,824.47,1095.39,883.10,698.12,778.17,712.21,993.67,780.54,670.58,863.93
1916,660.61,607.79,787.58,650.16,517.76,593.16,615.33,775.41,687.63,635.90,695.86
1917,928.52,865.38,1175.37,957.28,726.99,832.79,783.22,1165.15,951.87,778.78,992.81
1918,808.71,779.33,1057.16,858.25,666.49,732.94,700.55,1013.35,762.00,685.01,822.42
1919,577.13,570.82,716.88,586.82,503.90,559.25,518.80,654.09,562.87,507.16,592.86
1920,774.58,777.14,944.01,777.45,700.23,739.91,678.16,881.74,796.16,666.64,801.84
1921,862.39,945.85,993.28,885.62,802.32,867.60,783.99,889.35,855.04,745.87,895.18
1922,709.70,682.38,1036.08,784.17,530.21,594.82,576.72,910.40,704.32,579.98,733.78
1923,722.46,690.06,902.47,721.82,701.78,684.20,727.60,754.85,687.87,738.83,684.37
1924,921.61,918.31,1255.18,997.27,796.16,824.80,802.16,1080.83,891.27,793.61,929.92
1925,901.88,878.59,1151.19,909.04,886.87,850.40,856.00,1009.05,847.27,840.64,866.10
1926,767.72,755.31,1122.55,858.17,554.52,638.14,601.19,967.96,783.28,622.18,816.96
1927,763.87,765.63,961.05,786.94,671.65,706.15,680.76,865.83,764.54,685.27,782.95
1928,744.10,763.96,916.41,768.17,621.67,688.77,678.62,789.64,762.67,711.43,777.63
1929,937.89,969.76,1282.56,1019.71,790.41,859.21,826.11,1057.26,873.80,851.89,938.90
1930,681.50,697.31,992.99,771.93,513.28,589.43,554.01,874.70,630.87,568.17,674.40
1931,786.98,849.94,932.50,812.20,775.09,797.67,778.02,790.08,695.09,787.88,734.94
1932,618.78,615.98,827.71,663.26,520.38,552.62,512.35,752.92,628.72,505.80,638.57
1933,713.84,699.94,892.58,751.26,575.74,644.41,644.83,803.61,717.03,677.24,742.74
1934,1106.02,1223.76,1548.81,1267.81,897.25,1056.92,901.78,1290.97,985.03,876.46,1114.07
1935,705.19,754.89,776.26,684.89,728.40,743.99,705.27,685.80,643.04,677.68,689.04
1936,829.65,789.03,1035.57,839.86,703.19,767.99,760.80,960.35,819.83,778.26,843.36
1937,714.86,724.34,830.26,715.40,659.27,712.34,663.14,769.41,698.35,665.23,722.08
1938,862.65,798.50,1125.98,879.97,685.33,777.96,757.08,1024.57,890.29,791.71,896.64
1939,911.16,853.44,1205.88,943.99,772.65,850.14,804.25,1076.45,893.43,795.38,929.21
1940,801.68,750.15,1098.56,840.22,666.01,721.15,714.22,965.71,775.55,726.64,795.97
1941,659.74,657.96,814.27,672.45,574.70,634.91,591.07,772.45,627.82,591.17,662.13
1942,1027.80,998.98,1245.56,1024.37,965.72,1024.72,967.98,1108.68,991.53,952.66,1024.94
1943,1117.22,1120.21,1461.59,1187.25,984.76,1082.14,981.64,1265.46,1057.96,971.30,1120.06
1944,693.76,658.00,990.76,764.08,515.57,603.98,557.14,892.19,676.91,561.28,725.33
1945,584.10,543.24,762.17,601.33,474.02,532.04,509.81,674.34,613.48,516.02,618.89
1946,766.93,748.31,989.68,783.54,671.84,729.90,701.41,863.67,737.58,698.57,772.87
1947,841.41,763.40,1067.28,841.40,758.18,792.79,793.68,922.18,843.49,799.00,854.78
1948,689.78,637.90,802.00,650.91,629.28,670.80,639.38,740.70,748.25,647.69,724.28
1949,720.54,736.73,957.69,769.13,583.38,684.78,595.94,832.75,721.66,591.39,757.79
1950,961.23,1069.09,1137.63,991.09,923.34,1021.68,910.61,893.16,906.62,876.94,971.55
1951,690.38,753.32,923.88,769.06,642.24,694.40,642.27,703.27,594.45,613.48,662.70
1952,758.31,758.55,953.42,787.62,652.15,714.58,671.26,859.42,754.25,671.26,781.44
1953,770.43,828.96,921.04,796.00,699.56,775.16,686.74,814.30,752.59,666.20,796.75
1954,674.64,613.74,808.99,656.08,586.05,615.34,624.64,757.78,729.90,646.53,703.78
1955,942.30,999.66,1170.18,992.85,909.91,941.88,902.83,977.04,840.36,868.13,907.64
1956,965.91,931.11,1286.74,999.79,877.09,908.78,886.53,1083.41,919.54,877.14,956.62
1957,1071.07,1104.83,1356.28,1138.16,954.20,1031.26,965.49,1209.83,981.93,943.48,1070.44
1958,859.35,829.92,1025.22,848.18,794.04,819.38,810.54,947.42,852.59,816.65,866.21
