Variable:,pr
,Liechtenstein,Balzers,Eschen,Gamprin,Mauren,Planken,Ruggell,Schaan,Schellenberg,Triesen,Triesenberg,Vaduz
1901,1497.26,1485.54,1498.78,1498.91,1499.40,1499.40,1499.40,1488.21,1499.40,1499.40,1499.40,1499.22
1902,1403.53,1394.38,1404.71,1404.82,1405.20,1405.20,1405.20,1396.47,1405.20,1405.20,1405.20,1405.06
1903,1339.63,1332.12,1340.60,1340.69,1341.00,1341.00,1341.00,1333.84,1341.00,1341.00,1341.00,1340.88
1904,1385.56,1375.48,1386.86,1386.98,1387.40,1387.40,1387.40,1377.78,1387.40,1387.40,1387.40,1387.25
1905,1575.83,1565.58,1577.15,1577.27,1577.70,1577.70,1577.70,1567.92,1577.70,1577.70,1577.70,1577.54
1906,1423.26,1412.66,1424.64,1424.76,1425.20,1425.20,1425.20,1415.08,1425.20,1425.20,1425.20,1425.04
1907,1366.30,1356.98,1367.50,1367.61,1368.00,1368.00,1368.00,1359.11,1368.00,1368.00,1368.00,1367.86
1908,1400.56,1390.48,1401.86,1401.98,1402.40,1402.40,1402.40,1392.78,1402.40,1402.40,1402.40,1402.25
1909,1430.33,1421.21,1431.51,1431.62,1432.00,1432.00,1432.00,1423.29,1432.00,1432.00,1432.00,1431.86
1910,1917.95,1905.62,1919.54,1919.69,1920.20,1920.20,1920.20,1908.43,1920.20,1920.20,1920.20,1920.01
1911,1129.16,1120.71,1130.25,1130.35,1130.70,1130.70,1130.70,1122.64,1130.70,1130.70,1130.70,1130.57
1912,1682.87,1670.12,1684.52,1684.67,1685.20,1685.20,1685.20,1673.03,1685.20,1685.20,1685.20,1685.00
1913,1603.59,1590.44,1605.30,1605.45,1606.00,1606.00,1606.00,1593.44,1606.00,1606.00,1606.00,1605.80
1914,1632.34,1620.51,1633.87,1634.01,1634.50,1634.50,1634.50,1623.21,1634.50,1634.50,1634.50,1634.32
1915,1515.30,1503.84,1516.79,1516.92,1517.40,1517.40,1517.40,1506.45,1517.40,1517.40,1517.40,1517.22
1916,1779.68,1768.61,1781.11,1781.24,1781.70,1781.70,1781.70,1771.14,1781.70,1781.70,1781.70,1781.53
1917,1404.51,1396.90,1405.49,1405.58,1405.90,1405.90,1405.90,1398.64,1405.90,1405.90,1405.90,1405.78
1918,1389.48,1381.14,1390.56,1390.65,1391.00,1391.00,1391.00,1383.04,1391.00,1391.00,1391.00,1390.87
1919,1561.93,1548.98,1563.61,1563.76,1564.30,1564.30,1564.30,1551.93,1564.30,1564.30,1564.30,1564.10
1920,1293.64,1280.74,1295.31,1295.46,1296.00,1296.00,1296.00,1283.69,1296.00,1296.00,1296.00,1295.80
1921,1119.58,1111.79,1120.59,1120.68,1121.00,1121.00,1121.00,1113.56,1121.00,1121.00,1121.00,1120.88
