Variable:,pr
,"Cape Verde","Boa Vista",Brava,Cima,Fogo,"Ilheu Branco","Ilheu Raso",Maio,Rombo,Sal,"Santa Luzia",Santiago,"Santo Antao","Sao Nicolau","Sao Vicente"
1922,264.76,240.60,331.90,331.90,327.33,259.60,259.60,257.60,331.90,229.40,259.60,266.77,266.71,241.10,264.25
1923,220.04,203.81,284.20,284.20,274.46,232.60,232.60,211.10,284.20,205.60,232.60,220.91,246.92,213.80,237.59
1924,256.82,258.04,461.00,461.00,460.99,482.50,482.50,226.90,461.00,276.90,482.50,255.81,470.76,413.10,488.74
1925,339.11,307.90,459.40,459.40,457.35,405.40,405.40,305.00,459.40,296.90,405.40,338.09,412.57,368.30,412.47
1926,144.86,139.48,196.90,196.90,182.68,127.90,127.90,144.00,196.90,147.20,127.90,146.95,137.78,118.60,131.61
1927,810.34,707.24,896.50,896.50,921.19,796.00,796.00,809.20,896.50,596.50,796.00,816.46,884.91,736.90,815.14
1928,481.37,430.34,568.20,568.20,573.49,497.20,497.20,475.00,568.20,384.30,497.20,484.40,549.61,454.50,509.68
1929,276.67,291.48,385.00,385.00,319.66,452.90,452.90,269.80,385.00,295.30,452.90,271.88,561.50,391.40,469.27
1930,204.70,213.75,275.80,275.80,227.27,278.60,278.60,208.50,275.80,220.50,278.60,202.70,334.74,246.80,289.94
1931,288.30,265.11,400.80,400.80,381.22,343.70,343.70,268.40,400.80,241.70,343.70,289.68,392.03,299.00,355.56
1932,243.22,242.49,298.70,298.70,297.72,302.40,302.40,246.90,298.70,236.00,302.40,245.53,355.89,265.80,309.02
1933,252.90,200.91,344.60,344.60,346.76,280.10,280.10,220.40,344.60,186.20,280.10,257.38,354.06,238.90,302.01
1934,245.07,251.91,363.70,363.70,357.45,460.20,460.20,203.90,363.70,262.00,460.20,241.73,576.55,386.30,482.04
1935,246.88,234.15,324.30,324.30,316.09,298.20,298.20,233.20,324.30,215.90,298.20,248.54,337.00,259.90,305.90
1936,269.23,236.92,574.40,574.40,553.29,725.90,725.90,202.20,574.40,256.80,725.90,264.23,805.86,577.60,761.82
1937,244.15,265.32,301.40,301.40,271.77,417.70,417.70,267.00,301.40,288.70,417.70,243.99,507.02,359.30,426.78
1938,383.85,380.84,506.60,506.60,441.02,580.50,580.50,384.10,506.60,359.00,580.50,379.63,704.39,501.60,598.95
1939,269.97,248.32,461.00,461.00,442.45,399.80,399.80,233.60,461.00,227.00,399.80,267.39,438.39,337.20,418.18
1940,284.79,278.94,341.00,341.00,330.41,319.20,319.20,288.00,341.00,266.80,319.20,286.85,370.44,288.60,327.97
1941,202.17,201.07,318.10,318.10,304.96,380.10,380.10,179.30,318.10,200.70,380.10,200.11,515.35,298.30,404.72
1942,364.45,358.40,516.50,516.50,496.69,560.60,560.60,324.30,516.50,368.80,560.60,361.08,696.92,480.90,581.68
1943,618.24,605.27,843.20,843.20,801.37,1001.70,1001.70,601.80,843.20,656.10,1001.70,618.56,1155.66,863.20,1029.51
1944,302.71,307.53,337.50,337.50,334.08,577.90,577.90,287.80,337.50,364.60,577.90,303.25,663.20,536.90,581.12
1945,495.74,450.61,518.00,518.00,492.65,474.70,474.70,450.80,518.00,439.30,474.70,497.07,564.88,462.70,491.97
1946,150.41,107.16,159.70,159.70,152.87,255.70,255.70,128.30,159.70,133.90,255.70,154.54,309.07,208.30,265.10
1947,116.71,99.37,217.10,217.10,193.46,244.50,244.50,117.50,217.10,107.70,244.50,112.09,299.16,195.50,254.66
1948,150.82,101.30,361.00,361.00,355.28,341.50,341.50,122.40,361.00,128.60,341.50,152.72,429.92,235.80,359.46
1949,481.67,486.71,680.60,680.60,648.18,720.00,720.00,479.00,680.60,431.30,720.00,482.40,864.88,532.00,751.69
1950,563.02,462.03,901.60,901.60,781.65,697.40,697.40,621.20,901.60,508.30,697.40,580.03,884.67,556.30,749.62
