Variable:,pr
,"Cayman Islands","Grand Cayman","Cayman Brac","Little Cayman"
1901,1257.00,1257.00,1257.00,1257.00
1902,1257.00,1257.00,1257.00,1257.00
1903,1257.00,1257.00,1257.00,1257.00
1904,1257.00,1257.00,1257.00,1257.00
1905,1257.00,1257.00,1257.00,1257.00
1906,1257.00,1257.00,1257.00,1257.00
1907,1257.00,1257.00,1257.00,1257.00
1908,1257.00,1257.00,1257.00,1257.00
1909,1257.00,1257.00,1257.00,1257.00
1910,1257.00,1257.00,1257.00,1257.00
1911,1257.00,1257.00,1257.00,1257.00
1912,1257.00,1257.00,1257.00,1257.00
1913,1257.00,1257.00,1257.00,1257.00
1914,1257.00,1257.00,1257.00,1257.00
1915,1257.00,1257.00,1257.00,1257.00
1916,1257.00,1257.00,1257.00,1257.00
1917,1257.00,1257.00,1257.00,1257.00
1918,1257.00,1257.00,1257.00,1257.00
1919,1257.00,1257.00,1257.00,1257.00
1920,1257.00,1257.00,1257.00,1257.00
1921,1257.00,1257.00,1257.00,1257.00
1922,1257.00,1257.00,1257.00,1257.00
1923,1257.00,1257.00,1257.00,1257.00
1924,1257.00,1257.00,1257.00,1257.00
1925,1257.00,1257.00,1257.00,1257.00
1926,1257.00,1257.00,1257.00,1257.00
1927,1257.00,1257.00,1257.00,1257.00
1928,1257.00,1257.00,1257.00,1257.00
1929,1257.00,1257.00,1257.00,1257.00
1930,1257.00,1257.00,1257.00,1257.00
1931,1257.00,1257.00,1257.00,1257.00
1932,1257.00,1257.00,1257.00,1257.00
1933,1257.00,1257.00,1257.00,1257.00
1934,1257.00,1257.00,1257.00,1257.00
1935,1257.00,1257.00,1257.00,1257.00
1936,1257.00,1257.00,1257.00,1257.00
1937,1257.00,1257.00,1257.00,1257.00
1938,1325.10,1325.10,1325.10,1325.10
1939,1293.40,1293.40,1293.40,1293.40
1940,1312.90,1312.90,1312.90,1312.90
1941,1227.50,1227.50,1227.50,1227.50
1942,1324.40,1324.40,1324.40,1324.40
