Variable:,pr
,"Wallis and Futuna","Administrative unit not available"
1901,3200.00,3028.42
1902,3200.00,3028.42
1903,3200.00,3028.42
1904,3200.00,3028.42
1905,3200.00,3028.42
1906,3200.00,3028.42
1907,3200.00,3028.42
1908,3200.00,3028.42
1909,3200.00,3028.42
1910,3200.00,3028.42
1911,3200.00,3028.42
1912,3200.00,3028.42
1913,3200.00,3028.42
1914,3200.00,3028.42
1915,3200.00,3028.42
1916,3200.00,3028.42
1917,3200.00,3028.42
1918,3200.00,3028.42
1919,3200.00,3028.42
1920,3200.00,3028.42
1921,3200.00,3028.42
1922,3200.00,3028.42
1923,3200.00,3028.42
1924,3200.00,3028.42
1925,3200.00,3028.42
1926,3200.00,3028.42
1927,3200.00,3028.42
1928,3200.00,3028.42
1929,3200.00,3028.42
1930,3200.00,3028.42
1931,3182.80,3018.79
1932,3172.60,3013.08
1933,3245.40,3053.85
1934,3247.00,3054.74
1935,3278.00,3072.10
1936,3205.80,3031.67
1937,3175.50,3014.70
1938,3249.40,3056.09
1939,3231.00,3045.78
1940,3163.90,3008.20
1941,3189.30,3022.43
1942,3200.00,3028.42
1943,3200.00,3028.42
1944,3200.00,3028.42
1945,3200.00,3028.42
1946,3202.40,3029.76
1947,3253.90,3058.61
1948,3239.80,3050.71
1949,1526.90,1627.47
1950,3131.00,2965.05
1951,2330.00,2334.62
1952,3006.80,2885.20
1953,1564.60,1682.95
1954,3946.70,3662.32
1955,3473.40,3276.00
1956,2853.10,2751.16
1957,2249.30,2251.15
1958,2243.30,2235.38
1959,2778.50,2665.92
1960,3020.10,2874.65
1961,2731.90,2659.97
1962,3041.20,2876.44
1963,1928.90,1984.16
1964,3066.20,2926.39
1965,3134.20,2994.03
1966,3589.00,3334.71
1967,3945.90,3620.03
1968,3006.60,2875.67
1969,3308.10,3106.47
1970,2389.60,2375.57
1971,2984.90,2823.79
1972,4065.00,3728.18
1973,3561.00,3284.27
1974,2879.40,2763.43
1975,2971.90,2826.63
1976,3396.80,3184.22
1977,2931.70,2807.55
1978,3524.10,3307.95
1979,3348.60,3145.48
1980,3481.70,3262.30
1981,4195.60,3866.08
1982,3839.10,3551.73
1983,3194.80,3052.65
1984,3288.90,3118.29
1985,3198.70,3038.96
1986,3273.10,3102.53
1987,2229.60,2249.93
1988,3671.70,3403.07
1989,2940.20,2822.03
1990,2870.70,2754.38
1991,3108.70,2951.20
1992,3990.30,3666.50
1993,3441.30,3233.60
1994,3455.90,3226.86
1995,4188.30,3841.71
1996,3745.20,3494.69
1997,3514.70,3285.58
1998,2617.70,2573.49
1999,2862.10,2723.30
2000,2932.40,2795.84
2001,3290.80,3100.96
2002,3009.50,2870.78
2003,3012.10,2886.94
2004,3176.30,2999.27
2005,2897.90,2802.12
2006,3641.00,3396.87
2007,2955.70,2837.71
2008,2888.80,2769.44
2009,2782.60,2699.80
2010,2380.60,2352.22
2011,3026.50,2899.40
2012,3158.50,3010.94
2013,3713.10,3433.12
2014,3993.60,3676.44
2015,3318.80,3130.33
2016,2818.80,2729.89
2017,3718.60,3445.48
2018,3702.20,3433.92
2019,4006.60,3680.60
2020,4575.90,4137.76
