Variable:,pr
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1901,529.95,528.10,576.52,705.35,436.64,415.29,845.09,468.67,422.52,500.48,493.56,472.72,547.35,750.49,433.13,470.36,541.96,505.37,546.39,569.25,594.25,560.84,572.00,939.35,403.15,534.91
1902,528.19,542.64,615.64,613.53,478.63,449.19,862.97,529.96,338.43,466.97,491.81,307.32,587.50,785.63,469.85,419.33,398.26,573.12,579.50,609.18,599.81,498.86,592.73,970.68,399.47,568.72
1903,486.21,420.59,568.55,539.26,413.87,475.13,725.53,522.89,330.23,449.42,374.18,362.63,506.91,697.42,546.10,332.34,346.31,467.08,610.23,544.20,549.18,439.37,612.09,788.86,376.00,564.77
1904,423.84,398.01,495.72,519.92,342.64,400.40,630.33,426.81,293.29,411.06,333.36,342.48,470.55,570.44,445.60,302.84,350.59,390.66,482.27,456.96,463.61,441.41,471.17,699.19,333.60,486.06
1905,552.13,639.54,722.25,602.56,502.93,428.95,788.11,513.04,366.00,490.63,549.15,363.65,680.97,722.37,432.45,431.32,397.23,645.82,608.38,658.39,563.47,528.17,621.17,887.89,407.41,626.42
1906,632.88,653.24,759.00,654.18,563.10,590.40,858.56,584.18,488.95,555.93,581.85,545.96,732.10,795.01,566.38,520.40,505.43,644.61,699.88,677.25,645.63,621.33,658.77,968.94,552.35,731.22
1907,468.17,455.42,532.70,518.45,413.93,448.17,654.23,439.42,338.94,429.94,408.76,415.07,504.19,631.60,431.37,354.07,392.43,473.35,517.23,500.71,507.06,477.60,537.66,714.44,408.16,516.30
1908,522.81,502.79,563.15,637.80,447.63,503.70,814.86,472.49,366.93,510.77,454.26,387.44,561.91,767.59,487.35,411.60,425.90,504.99,609.22,510.75,628.71,529.00,625.65,869.94,429.01,591.21
1909,492.68,443.83,528.13,585.63,449.76,487.53,749.51,477.57,379.22,437.68,429.49,456.73,479.88,690.29,492.02,390.95,426.52,478.16,528.86,521.85,546.09,470.05,540.04,830.40,436.93,493.28
1910,564.64,550.93,599.76,646.27,500.96,507.40,778.52,547.83,486.13,503.98,518.88,523.35,592.35,716.20,505.43,509.73,502.96,544.16,592.37,611.89,595.95,584.24,596.90,833.86,504.95,612.10
1911,513.56,580.59,576.06,636.59,421.88,446.36,748.79,449.41,333.60,529.37,488.62,382.46,613.39,671.23,443.20,401.23,438.81,517.72,562.91,514.26,588.59,610.92,554.32,770.47,383.54,606.94
1912,686.45,702.19,722.78,804.53,596.83,611.46,1036.25,650.74,484.73,650.40,638.99,534.43,737.28,937.54,637.52,585.85,628.91,682.03,738.56,694.31,769.34,749.14,741.59,1126.94,539.72,749.02
1913,575.08,578.82,639.72,694.21,508.73,492.12,906.61,540.31,413.34,554.70,486.99,504.89,624.17,824.78,493.26,416.01,391.67,583.92,666.94,625.72,690.81,567.88,674.51,940.62,473.45,666.78
1914,571.06,560.13,558.71,674.37,521.75,520.05,806.80,540.65,501.48,516.25,548.54,511.44,575.10,713.47,531.58,575.62,606.50,532.74,580.56,551.00,609.96,610.50,555.57,863.57,488.56,596.28
1915,625.24,619.96,693.38,682.41,611.40,655.87,886.27,679.65,461.18,508.68,557.20,516.63,646.60,799.16,697.86,503.07,523.36,676.17,579.83,710.77,636.69,584.11,580.23,1012.94,543.95,604.93
1916,565.43,583.80,649.67,671.83,444.04,508.96,871.82,503.44,368.86,570.49,479.75,394.04,677.78,806.54,552.41,419.70,428.45,516.43,683.42,579.20,671.42,617.88,659.71,945.11,407.35,695.40
1917,558.03,595.95,620.05,500.85,600.60,574.04,621.86,621.80,460.29,435.27,570.85,464.77,601.81,583.86,572.99,499.07,460.43,635.55,547.75,627.11,485.74,517.51,540.81,670.12,534.49,573.46
1918,508.13,537.41,573.74,603.39,450.93,418.77,773.11,469.86,351.45,478.04,490.10,355.30,567.80,717.14,434.21,431.88,439.44,525.47,546.34,541.22,565.30,530.26,579.74,861.89,385.05,546.49
1919,643.19,633.79,690.45,676.22,590.27,631.11,856.68,650.18,509.71,564.69,582.38,547.45,681.29,792.14,659.24,555.15,584.60,662.46,655.93,712.33,659.83,649.75,656.11,917.09,558.67,687.60
1920,426.46,381.89,399.02,606.45,356.31,377.08,791.65,371.69,350.49,418.81,353.47,407.25,398.50,709.05,371.12,327.26,346.64,371.36,469.11,384.83,552.84,431.86,512.45,892.28,389.57,404.84
1921,412.33,384.25,460.53,528.13,326.11,351.22,681.28,373.01,262.82,431.59,319.25,326.43,438.60,620.75,356.65,280.82,335.62,381.03,523.05,443.70,523.86,438.12,530.25,732.05,321.18,467.32
