Variable:,pr
,Gibraltar,"Administrative unit not available"
1901,917.60,917.60
1902,781.60,781.60
1903,490.90,490.90
1904,699.70,699.70
1905,552.00,552.00
1906,466.60,466.60
1907,507.50,507.50
1908,516.10,516.10
1909,805.30,805.30
1910,609.90,609.90
1911,663.60,663.60
1912,640.40,640.40
1913,583.40,583.40
1914,580.20,580.20
1915,639.00,639.00
1916,701.20,701.20
1917,603.40,603.40
1918,584.30,584.30
1919,684.00,684.00
1920,575.70,575.70
1921,567.70,567.70
1922,533.10,533.10
1923,585.20,585.20
1924,754.20,754.20
1925,644.10,644.10
1926,556.00,556.00
1927,665.20,665.20
1928,579.70,579.70
1929,480.80,480.80
1930,585.30,585.30
1931,517.90,517.90
1932,745.00,745.00
1933,667.10,667.10
1934,545.00,545.00
1935,474.80,474.80
1936,1022.40,1022.40
1937,717.00,717.00
1938,485.60,485.60
1939,736.40,736.40
1940,659.50,659.50
1941,771.90,771.90
1942,764.60,764.60
1943,556.30,556.30
1944,495.90,495.90
1945,516.60,516.60
1946,723.40,723.40
1947,797.40,797.40
1948,568.90,568.90
1949,497.60,497.60
1950,409.50,409.50
1951,648.30,648.30
1952,511.50,511.50
1953,574.50,574.50
1954,416.70,416.70
1955,871.30,871.30
1956,707.20,707.20
1957,535.80,535.80
1958,499.50,499.50
1959,556.10,556.10
1960,904.50,904.50
1961,684.20,684.20
1962,807.40,807.40
1963,1017.50,1017.50
1964,586.50,586.50
1965,620.90,620.90
1966,453.30,453.30
1967,556.10,556.10
1968,610.40,610.40
1969,1019.60,1019.60
1970,798.30,798.30
1971,620.30,620.30
1972,767.30,767.30
1973,418.90,418.90
1974,370.10,370.10
1975,557.50,557.50
1976,842.80,842.80
1977,592.00,592.00
1978,575.50,575.50
1979,648.60,648.60
1980,492.60,492.60
1981,396.70,396.70
1982,490.30,490.30
1983,469.80,469.80
1984,477.80,477.80
1985,506.30,506.30
1986,467.10,467.10
1987,732.60,732.60
1988,518.10,518.10
1989,940.20,940.20
1990,484.20,484.20
1991,660.00,660.00
1992,401.10,401.10
1993,596.90,596.90
1994,379.80,379.80
1995,441.00,441.00
1996,1198.00,1198.00
1997,763.10,763.10
1998,427.70,427.70
1999,470.30,470.30
2000,579.50,579.50
2001,606.30,606.30
2002,638.80,638.80
2003,728.70,728.70
2004,475.50,475.50
2005,423.00,423.00
2006,597.90,597.90
2007,481.40,481.40
2008,637.40,637.40
2009,717.80,717.80
2010,1181.60,1181.60
2011,573.80,573.80
2012,498.70,498.70
2013,525.10,525.10
2014,563.00,563.00
2015,362.60,362.60
2016,625.50,625.50
2017,453.10,453.10
2018,688.20,688.20
2019,359.30,359.30
2020,472.30,472.30
