Variable:,pr
,Netherlands,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-brabant,Noord-holland,Overijssel,Utrecht,Zeeland,Zuid-holland
1901,694.59,712.61,711.54,740.09,681.23,742.44,659.29,672.92,705.26,691.03,715.53,627.49,685.30
1902,643.77,653.90,644.11,665.44,625.96,685.12,657.56,634.14,640.46,637.18,648.47,622.82,639.86
1903,836.22,832.15,863.29,881.01,812.40,876.71,785.33,818.38,881.66,810.37,870.68,824.19,861.92
1904,602.58,599.89,611.56,622.10,591.82,620.13,587.06,597.04,619.35,588.72,624.08,592.94,616.95
1905,742.98,729.78,734.92,753.01,724.25,739.34,768.48,757.13,745.43,721.52,757.76,753.63,764.91
1906,749.96,744.43,755.85,770.75,732.36,766.46,747.26,746.11,768.53,734.23,774.99,743.09,767.69
1907,606.81,602.96,616.27,625.12,596.46,615.53,617.87,604.28,614.15,595.18,623.92,578.04,613.27
1908,628.21,612.55,641.47,634.95,614.32,639.77,662.27,631.60,633.41,604.03,646.97,624.81,640.02
1909,766.10,754.25,775.10,786.28,742.49,777.71,770.91,765.92,790.76,741.53,787.99,766.55,794.18
1910,789.71,756.33,783.46,775.04,769.40,745.66,864.93,818.50,796.53,759.38,801.77,842.94,827.84
1911,602.18,563.22,603.88,605.30,582.97,587.23,607.64,620.42,646.73,561.41,632.14,639.74,653.05
1912,847.84,818.76,851.10,860.32,822.93,847.98,823.45,863.15,887.82,807.02,882.95,869.09,909.07
1913,709.27,676.74,715.26,699.17,701.30,682.32,751.40,731.92,713.95,679.89,735.64,715.60,738.31
1914,792.15,772.68,806.95,805.25,784.83,791.43,811.12,795.26,802.35,770.88,819.53,765.31,810.11
1915,860.58,838.82,889.02,883.89,849.12,856.85,851.43,857.77,890.93,835.35,902.10,843.29,889.83
1916,812.90,767.22,820.13,806.14,796.12,793.70,871.38,841.23,828.65,767.50,841.53,837.38,849.60
1917,738.58,708.61,750.57,755.00,716.18,743.28,747.44,745.65,771.80,702.94,765.37,748.39,778.85
1918,785.27,756.67,791.90,796.50,765.48,777.75,814.34,797.18,819.04,751.58,813.23,767.04,816.80
1919,765.24,723.15,765.29,756.87,751.33,727.11,805.05,791.79,794.28,726.28,799.31,779.88,812.99
1920,644.29,626.79,650.33,646.78,633.86,666.73,659.47,652.88,643.25,618.24,659.75,647.84,664.97
1921,436.53,457.29,439.47,469.09,419.53,506.27,401.79,412.38,441.08,437.83,443.67,414.81,430.62
1922,742.52,719.46,741.75,742.50,725.46,730.20,791.87,755.87,751.43,717.58,763.19,748.84,769.87
1923,800.27,766.69,806.63,814.09,774.66,796.38,805.31,812.20,834.26,758.74,830.74,844.23,854.76
1924,736.06,693.96,742.06,736.12,716.15,728.35,773.19,753.09,772.31,691.14,760.99,758.34,781.46
