Variable:,pr
1901,3001.05
1902,3314.59
1903,3126.40
1904,2724.08
1905,2771.82
1906,2931.09
1907,2548.37
1908,2386.70
1909,3001.05
1910,2883.99
1911,3001.05
1912,3001.05
1913,3001.05
1914,3001.05
1915,3001.05
1916,3001.05
1917,3001.05
1918,3001.05
1919,3001.05
1920,3001.05
1921,3001.05
1922,3001.05
1923,3001.05
1924,3001.05
1925,3001.05
1926,3001.05
1927,3001.05
1928,3001.05
1929,3001.05
1930,3001.05
1931,3001.05
1932,3075.48
1933,3310.15
1934,2201.90
1935,2697.82
1936,3265.56
1937,2253.02
1938,3128.64
1939,2348.39
1940,2182.36
1941,2776.81
1942,3286.54
1943,2571.37
1944,2906.21
1945,2809.84
1946,2413.95
1947,2162.61
1948,3371.14
1949,2691.74
1950,3094.65
1951,3186.79
1952,3413.69
1953,3016.56
1954,3466.49
1955,3488.84
1956,3486.97
1957,2954.67
1958,3703.57
1959,2891.73
1960,3226.85
1961,2795.99
1962,2912.53
1963,2783.84
1964,2709.09
1965,2766.81
1966,3428.24
1967,3059.84
1968,2694.94
1969,3269.56
1970,3427.93
1971,2789.69
1972,3036.74
1973,2149.81
1974,2723.43
1975,3046.01
1976,2774.05
1977,2812.67
1978,2776.53
1979,3508.17
1980,3002.95
1981,3508.52
1982,3387.01
1983,2757.67
1984,3319.82
1985,2946.44
1986,3370.56
1987,3463.32
1988,3442.68
1989,3311.58
1990,3132.79
1991,3064.36
1992,3687.63
1993,2986.37
1994,2608.49
1995,2996.02
1996,3424.45
1997,2702.74
1998,3639.12
1999,3031.15
2000,2734.76
2001,2834.15
2002,2970.52
2003,2973.09
2004,4042.67
2005,3851.87
2006,3337.19
2007,2893.82
2008,3535.33
2009,2677.40
2010,3721.55
2011,3747.16
2012,3314.23
2013,2932.95
2014,2950.06
2015,2264.13
2016,3476.98
2017,3415.72
2018,3060.09
2019,2810.84
2020,2971.87
