Variable:,pr
,"United Kingdom",England,"Northern Ireland",Scotland,Wales
1901,995.77,744.59,1048.67,1378.17,1257.65
1902,924.30,711.20,969.95,1245.11,1179.50
1903,1389.74,1080.20,1276.70,1871.14,1764.35
1904,992.45,755.67,1021.27,1367.46,1249.29
1905,970.70,701.46,942.63,1436.59,1131.36
1906,1133.77,850.74,1051.66,1590.33,1404.99
1907,1126.33,853.31,1114.46,1562.15,1359.51
1908,1032.20,754.19,1073.60,1467.21,1294.71
1909,1128.51,882.21,1057.85,1516.39,1373.82
1910,1169.18,929.16,1133.99,1500.97,1595.00
1911,1052.56,784.39,955.76,1500.27,1292.89
1912,1252.23,1021.67,1107.59,1606.39,1601.88
1913,1034.80,805.00,1061.24,1354.59,1405.34
1914,1157.03,901.57,1110.31,1546.23,1494.08
1915,1144.53,931.47,1047.63,1462.26,1460.55
1916,1264.90,958.66,1270.27,1766.74,1455.13
1917,1077.18,822.62,1145.60,1478.51,1317.23
1918,1184.53,911.15,1158.96,1601.19,1531.71
1919,1110.78,887.76,1014.17,1461.16,1399.86
1920,1184.15,895.53,1214.43,1599.67,1588.77
1921,917.15,601.24,1019.25,1450.71,1046.94
1922,1093.60,884.40,1006.01,1417.66,1380.64
1923,1268.22,940.63,1300.34,1775.56,1619.54
1924,1235.90,993.92,1273.47,1559.86,1670.47
1925,1127.37,890.78,1056.89,1482.77,1457.37
1926,1141.91,850.73,1124.96,1626.53,1342.40
1927,1286.55,1029.81,1199.45,1684.98,1591.49
1928,1291.56,961.73,1362.31,1801.76,1603.93
1929,1096.88,829.93,1142.21,1485.17,1479.59
1930,1239.81,974.35,1245.59,1610.87,1660.84
1931,1166.38,914.95,1204.24,1530.14,1491.88
1932,1147.67,854.90,1079.26,1621.48,1422.05
1933,895.06,683.55,839.25,1251.57,1072.12
1934,1093.37,782.10,1164.45,1598.10,1315.10
1935,1219.01,960.20,1080.85,1639.71,1521.71
1936,1116.29,898.94,1154.62,1406.35,1480.98
1937,1096.30,912.85,1087.81,1360.50,1364.85
1938,1211.60,846.73,1241.39,1826.67,1424.72
1939,1143.55,938.91,1104.66,1427.76,1494.44
1940,1110.47,856.50,1274.75,1459.05,1451.06
1941,1016.47,818.86,1026.33,1306.86,1253.59
1942,1075.84,779.78,1235.16,1528.67,1359.14
1943,1089.55,773.35,1155.59,1587.36,1395.78
1944,1143.31,864.27,1175.35,1581.79,1385.57
1945,1072.96,788.08,1073.70,1530.16,1310.16
