Variable:,pr
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
1901,2479.31,1157.50,2268.87,1406.33,2123.48,1049.25,1713.29,751.42,2982.11,792.78,1906.26,694.11,2266.79,1429.73,2841.13,3189.54,4157.51,4300.70,3720.19,1361.28,1104.44,2246.95,1179.72,1911.62,556.89,2927.39
1902,2016.31,1073.87,2097.37,1266.02,1668.00,865.77,1524.11,744.12,2483.14,792.78,1557.67,690.46,2251.13,1439.73,2282.28,2200.98,3120.20,3252.78,2767.52,998.61,1089.48,2185.09,1240.93,1605.11,592.77,2671.11
1903,1884.08,1033.52,1819.33,1175.10,1551.60,807.53,1347.11,732.75,2204.14,792.78,1423.36,688.13,1897.89,1213.51,2203.68,2069.48,3010.83,3132.41,2658.06,937.82,1085.66,1852.09,1076.17,1444.18,538.30,2278.37
1904,2122.62,1104.66,2286.85,1334.25,1738.77,922.02,1668.07,753.10,2724.13,792.78,1664.96,692.19,2491.16,1617.79,2346.90,2308.76,3216.76,3353.32,2856.51,1060.94,1092.05,2421.88,1359.95,1750.90,639.49,2969.56
1905,1822.42,1020.57,1706.38,1142.94,1508.60,790.39,1277.04,728.25,2044.05,792.78,1372.21,687.38,1751.02,1101.57,2172.72,2012.28,2951.29,3077.43,2595.90,915.32,1084.38,1703.19,1003.65,1381.21,511.55,2106.59
1906,1922.30,1036.73,1840.16,1180.42,1535.46,814.32,1339.77,733.24,2248.36,792.78,1413.62,688.44,1912.42,1220.10,2250.78,2139.60,3111.25,3233.04,2739.72,948.42,1086.76,1873.34,1067.72,1437.39,526.86,2317.32
1907,2151.84,1112.81,2223.34,1336.95,1799.02,944.39,1642.27,752.61,2674.16,792.78,1688.87,692.59,2361.80,1521.45,2416.33,2438.67,3347.84,3481.17,2985.80,1112.54,1094.07,2302.56,1289.16,1747.69,613.26,2851.69
1908,2358.53,1159.49,2410.19,1425.55,2093.81,1038.98,1814.61,756.47,2914.00,792.78,1924.54,694.59,2517.17,1573.73,2641.08,2839.50,3721.55,3876.37,3346.82,1272.18,1101.15,2443.80,1319.93,1948.68,610.70,3080.62
1909,2317.57,1147.68,2440.49,1412.95,1934.96,1008.56,1800.58,759.74,3010.55,792.78,1831.11,694.34,2627.47,1714.13,2540.33,2660.71,3580.41,3712.34,3195.63,1203.58,1097.99,2573.02,1404.83,1911.21,651.95,3191.23
1910,2001.86,1066.03,1951.73,1236.34,1643.96,865.13,1439.90,739.97,2377.07,792.78,1513.10,690.01,2038.21,1308.87,2313.92,2256.75,3204.85,3327.32,2837.38,1015.52,1089.66,1993.59,1136.53,1544.46,558.44,2461.56
