Variable:,pr
,Guyana,"Barima Waini (region N°1)","Cuyuni/mazaruni (region N°7)","Demerara Mahaica (region N°4)","East Berbice/corentyne (region N°6)","Essequibo Islands/west Demerara (region N°3)","Mahaica Berbice (region N°5)","Pomeroon/supenaam (region N°2","Potaro/siparuni (region N°8)","Upper Demerara/berbice (region N°10)","Upper Takutu/upper Essequibo (region N°9)"
1901,2232.71,2275.29,2393.75,2395.73,2065.34,2372.98,2204.79,2281.89,2669.94,2595.03,1881.38
1902,2497.94,2473.61,2750.03,2907.05,2236.58,2877.54,2741.15,2696.73,3131.75,3198.32,1911.16
1903,2582.44,2699.61,2915.35,2963.15,2213.37,3011.22,2685.40,2940.07,3271.19,3238.44,1930.63
1904,2313.22,2239.84,2490.86,2522.91,2155.07,2522.17,2390.45,2398.27,2842.58,2806.88,1887.71
1905,2203.31,2165.64,2346.29,2362.52,2048.00,2359.60,2200.58,2261.02,2668.54,2584.64,1867.90
1906,2394.87,2454.62,2658.77,2578.22,2105.17,2588.96,2355.85,2538.23,3011.99,2878.11,1907.85
1907,2662.65,2623.37,2956.30,3087.63,2397.93,3071.25,2931.35,2916.30,3393.95,3484.65,1960.43
1908,2459.57,2475.66,2682.75,2760.63,2215.73,2750.71,2530.42,2634.25,3069.59,3052.61,1938.74
1909,2619.07,2742.25,2941.51,2988.83,2271.23,3032.08,2736.83,2972.32,3309.64,3288.86,1955.44
1910,2778.54,3144.07,3220.48,3333.99,2292.12,3415.06,2999.01,3391.86,3453.44,3500.18,1952.21
1911,2495.41,2635.51,2803.64,2791.72,2187.00,2821.99,2611.82,2778.77,3089.82,3064.62,1898.22
1912,2029.03,1980.31,2126.92,2036.24,1900.21,2047.76,1857.75,1990.68,2430.25,2221.76,1839.92
1913,2184.08,2324.92,2398.48,2339.38,1940.71,2379.86,2149.82,2338.26,2595.12,2463.74,1825.88
1914,2190.07,2067.59,2304.92,2291.00,2063.62,2288.21,2096.31,2179.87,2698.86,2572.48,1891.01
1915,2287.87,2172.63,2437.57,2481.53,2127.82,2484.06,2340.17,2368.24,2848.25,2788.20,1892.18
1916,2423.23,2453.83,2617.91,2802.72,2187.51,2823.48,2540.10,2708.57,2975.12,2984.08,1924.94
1917,2290.61,2394.10,2498.26,2502.02,2057.92,2529.18,2269.48,2466.96,2767.73,2681.61,1874.52
