Variable:,pr
,Belize,Belize,Cayo,Corozal,"Orange Walk","Stann Creek",Toledo
1901,2106.23,1905.91,2022.64,1497.45,1523.27,2388.86,3043.81
1902,2078.73,1879.06,2018.63,1387.10,1461.53,2388.33,3043.81
1903,2064.64,1865.36,2016.67,1327.74,1431.38,2388.07,3043.81
1904,2096.82,1900.38,2021.75,1457.39,1499.67,2388.77,3043.81
1905,2119.29,1922.32,2025.25,1541.87,1552.48,2389.22,3043.81
1906,2095.77,1896.88,2021.01,1454.46,1499.47,2388.66,3043.81
1907,2126.79,1928.69,2025.44,1583.94,1565.27,2389.27,3043.81
1908,2093.93,1892.57,2019.79,1455.71,1494.55,2388.47,3043.81
1909,2119.30,1920.17,2025.27,1543.32,1553.46,2389.22,3043.81
1910,2124.00,1925.14,2025.12,1569.26,1561.35,2389.20,3043.81
1911,2114.12,1923.01,2030.43,1506.67,1523.82,2403.57,3047.36
1912,2156.25,1961.94,2063.72,1587.55,1597.69,2418.95,3069.02
1913,2224.91,2023.28,2126.43,1718.54,1713.10,2452.12,3096.71
1914,2183.06,1978.64,2038.45,1780.62,1691.32,2391.18,3055.29
1915,2116.20,1917.23,2015.10,1560.91,1550.15,2384.40,3040.71
1916,2206.59,2013.13,2038.23,1897.58,1740.76,2390.95,3043.81
1917,2100.78,1902.51,2022.04,1474.29,1509.89,2388.78,3043.81
1918,2110.93,1912.94,2023.88,1510.59,1533.79,2389.01,3043.81
1919,2189.76,1997.79,2080.91,1697.93,1673.91,2417.88,3062.58
1920,2069.54,1852.05,1961.07,1514.23,1488.42,2345.40,3027.67
1921,2153.02,1961.99,2044.55,1650.34,1620.28,2396.44,3037.57
1922,2079.66,1882.87,1970.71,1519.83,1491.55,2368.84,3023.80
1923,1839.26,1648.96,1737.35,1240.24,1194.27,2235.09,2785.28
1924,2114.68,1891.94,2011.67,1546.66,1533.74,2374.69,3084.98
1925,2190.83,2022.13,2087.73,1693.51,1681.35,2423.49,3031.08
1926,2077.48,1884.05,1975.41,1491.94,1490.68,2374.72,3017.43
1927,2211.78,2010.82,2129.52,1621.46,1660.87,2448.07,3134.77
1928,2026.89,1752.19,1949.12,1366.18,1370.74,2324.21,3105.50
1929,2168.83,1958.87,2064.32,1629.65,1609.24,2410.92,3106.50
1930,2231.33,2038.19,2115.72,1767.91,1728.55,2440.48,3096.92
1931,2243.70,1901.37,2136.82,1472.03,1532.65,2532.81,3515.94
1932,2293.24,2028.91,2187.66,1689.69,1677.56,2531.71,3363.01
1933,2055.38,1746.86,1909.07,1527.69,1466.92,2250.01,3171.13
1934,1864.39,1709.53,1766.63,1409.88,1377.90,2124.39,2632.92
1935,1780.08,1559.40,1734.18,1275.80,1314.84,1946.22,2593.85
1936,2598.48,2352.38,2440.88,1916.14,1880.22,2932.39,3795.56
1937,2587.06,2361.89,2488.55,1928.08,1966.56,2837.02,3638.58
1938,1909.83,1736.16,1823.60,1496.09,1465.98,2046.33,2687.27
1939,1733.90,1552.74,1632.93,1332.20,1291.22,1909.65,2507.85
1940,2334.56,2204.46,2242.28,1766.19,1785.73,2606.89,3175.33
1941,2025.72,1804.85,1866.51,1559.49,1421.62,2349.92,2997.40
1942,2320.96,2053.54,2204.55,1618.59,1596.93,2694.17,3473.10
1943,1920.14,1659.43,1821.48,1348.20,1322.20,2213.65,2914.70
1944,1658.25,1360.31,1598.53,1091.43,1156.91,1875.23,2587.59
1945,2090.80,1793.00,1970.75,1402.66,1438.96,2416.50,3228.67
1946,1758.85,1825.41,1658.32,1580.86,1479.54,1809.08,2144.78
1947,2231.02,1936.08,2136.98,1515.98,1594.10,2465.04,3389.11
1948,2197.37,1924.14,2102.57,1393.91,1526.72,2506.98,3369.02
1949,1472.65,1331.55,1400.89,1053.05,1070.06,1674.84,2136.87
1950,1815.63,1618.81,1733.57,1335.79,1313.84,2097.67,2609.76
1951,1867.66,1656.98,1800.90,1350.44,1359.98,2066.58,2723.72
1952,2181.45,1992.32,2075.33,1683.90,1604.32,2434.17,3100.03
1953,1941.15,1790.02,1878.00,1406.38,1417.21,2161.56,2758.07
1954,2362.20,2130.45,2277.20,1651.54,1675.04,2691.65,3450.46
1955,2294.99,2090.83,2187.70,1686.97,1641.85,2569.46,3332.32
1956,2239.64,2121.70,2129.85,1774.50,1691.28,2490.57,3058.55
1957,2008.20,1844.23,1926.49,1497.35,1457.62,2219.76,2882.70
1958,2142.76,1906.07,2065.31,1603.57,1603.08,2306.21,3094.92
1959,1967.90,1815.52,1911.84,1519.51,1434.24,2213.86,2736.25
1960,2342.41,2066.47,2223.14,1662.16,1577.13,2738.11,3528.40
1961,2468.91,2208.30,2319.30,1725.81,1775.41,2774.45,3687.91
1962,1945.85,1618.80,1858.01,1289.91,1316.79,2242.41,3047.95
1963,1850.26,1583.26,1759.77,1269.66,1336.56,2066.29,2809.60
1964,1869.55,1666.70,1769.07,1365.87,1433.18,2070.92,2682.54
1965,1990.65,1830.20,1907.64,1546.70,1550.59,2210.59,2716.71
1966,2335.97,2109.42,2232.09,1677.39,1636.07,2678.83,3421.60
