Variable:,pr
,Rwanda,East/Iburasirazuba,"Kigali City/Umujyi wa Kigali",North/Amajyaruguru,South/Amajyepfo,West/Iburengerazuba
1901,1141.46,866.02,929.42,1146.20,1265.32,1443.58
1902,1126.35,858.45,922.23,1164.35,1215.69,1432.53
1903,1283.75,1027.78,1071.67,1324.46,1363.05,1588.79
1904,1095.38,853.46,884.06,1095.55,1180.16,1387.32
1905,1191.91,946.77,984.75,1193.24,1282.90,1481.50
1906,1040.30,877.78,895.69,1029.72,1120.74,1217.59
1907,1113.85,912.14,942.61,1100.38,1201.01,1347.68
1908,1055.37,856.05,884.73,1045.41,1150.33,1275.82
1909,1082.46,893.91,922.05,1096.44,1153.81,1297.25
1910,1098.48,847.22,884.52,1104.15,1189.82,1394.94
1911,877.75,687.89,695.53,836.21,965.26,1103.63
1912,1198.98,993.01,1022.96,1219.51,1280.03,1430.85
1913,851.28,713.46,703.58,806.82,912.22,1024.25
1914,992.64,830.65,835.92,985.29,1046.74,1193.37
1915,1110.28,950.63,955.74,1105.40,1160.76,1310.94
1916,1065.63,877.73,895.23,1059.01,1143.40,1284.17
1917,1089.78,899.01,925.13,1120.46,1147.93,1316.60
1918,893.43,699.56,723.32,882.68,969.13,1123.25
1919,1107.41,867.17,901.07,1136.81,1183.46,1392.47
1920,1076.01,857.91,886.22,1064.05,1172.38,1325.90
1921,871.06,701.06,725.54,881.57,940.78,1061.88
1922,1027.34,857.55,887.65,1087.62,1057.19,1237.30
1923,1121.16,934.00,950.27,1134.88,1191.56,1338.85
1924,997.30,812.90,840.42,1016.41,1065.79,1207.27
1925,1172.67,920.21,949.69,1170.19,1274.47,1468.06
1926,1181.42,957.66,987.39,1188.72,1269.29,1442.81
1927,1074.11,881.33,907.00,1080.88,1148.73,1297.30
1928,964.40,811.71,833.48,994.84,1005.33,1150.96
1929,1125.83,917.69,951.48,1159.73,1191.49,1370.82
1930,1394.82,1119.05,1159.70,1415.54,1501.34,1711.13
1931,1107.27,922.64,950.06,1134.50,1160.89,1328.99
1932,1090.37,858.84,904.65,1090.14,1183.61,1354.12
1933,1056.13,828.68,860.98,1078.73,1129.21,1330.39
1934,1035.11,840.36,878.31,1044.98,1115.27,1253.49
1935,1111.21,898.28,926.40,1134.90,1183.43,1362.09
1936,1281.30,1032.12,1085.40,1309.04,1363.31,1575.47
1937,1397.69,1123.88,1168.03,1385.14,1527.16,1701.09
1938,1040.48,861.32,880.33,1054.69,1098.52,1257.45
1939,1073.56,861.06,896.21,1099.81,1154.13,1315.28
1940,1117.57,922.23,927.61,1107.03,1200.75,1347.34
1941,1356.78,1107.22,1149.79,1388.36,1443.24,1648.04
1942,1145.68,923.95,949.76,1149.49,1235.38,1401.33
1943,949.61,768.32,793.66,958.43,1011.75,1166.11
1944,1104.16,905.57,919.71,1087.32,1198.91,1330.44
1945,1088.26,900.17,947.25,1121.27,1148.19,1305.92
1946,1087.55,860.92,909.72,1083.10,1199.61,1328.28
1947,1209.04,991.71,990.36,1205.34,1293.46,1471.69
1948,1051.96,857.61,920.35,1097.09,1106.15,1277.52
1949,1033.45,809.07,876.05,1080.92,1116.91,1274.47
1950,1126.03,902.36,954.11,1145.18,1212.16,1380.18
1951,1322.74,1156.27,1160.52,1349.34,1354.32,1540.65
1952,917.79,771.99,782.11,914.87,989.29,1074.56
1953,1178.94,998.87,1039.87,1214.47,1253.20,1365.31
1954,1050.65,883.34,905.85,1092.50,1082.53,1261.80
1955,1179.03,950.16,1006.97,1212.24,1251.02,1448.52
1956,1200.34,966.52,1035.96,1243.13,1281.89,1459.97
1957,1258.31,1040.40,1082.34,1305.13,1306.64,1526.90
1958,1128.02,910.74,976.40,1182.68,1174.63,1394.08
1959,1129.48,904.49,944.46,1143.87,1208.25,1396.28
1960,1027.28,831.14,848.43,1031.82,1102.06,1257.98
1961,1283.55,1098.58,1121.54,1311.47,1341.37,1504.48
1962,1337.52,1033.15,1115.36,1351.01,1467.90,1669.31
1963,1476.11,1241.95,1299.42,1551.54,1545.87,1729.19
1964,1170.78,966.92,1022.97,1232.17,1228.52,1400.88
1965,1130.77,907.27,886.10,1100.87,1227.57,1406.29
1966,1162.95,939.83,956.53,1120.57,1263.73,1433.78
1967,1201.69,965.10,974.19,1157.39,1321.63,1478.39
1968,1270.58,1008.89,1053.39,1258.80,1392.61,1563.82
1969,1078.15,881.93,919.22,1059.69,1159.94,1311.38
1970,1217.82,951.57,985.10,1210.27,1314.06,1546.82
1971,1197.99,951.60,990.63,1215.48,1277.73,1499.82
1972,1234.28,1065.60,1065.37,1269.51,1275.97,1442.13
1973,1187.33,984.18,1026.05,1217.80,1256.93,1419.21
1974,1120.68,900.42,925.35,1173.24,1189.27,1370.87
1975,1212.57,1012.57,1036.45,1264.17,1266.92,1447.84
1976,1117.46,932.75,965.49,1149.83,1167.23,1342.33
1977,1337.66,1089.16,1136.66,1353.33,1414.38,1643.92
1978,1282.32,1042.13,1085.58,1284.59,1374.69,1564.02
1979,1219.51,962.91,1009.94,1236.28,1316.38,1515.07
