Variable:,pr
,Venezuela,Amazonas,Anzoategui,Apure,Aragua,Barinas,Bolivar,Carabobo,Cojedes,"Delta Amacuro","Dependencias Federales",Falcon,Guarico,Lara,Merida,Miranda,Monagas,"Nueva Esparta",Portuguesa,Sucre,Tachira,Trujillo,Yaracuy,Zulia,Vargas,"Distrito Capital"
1901,1903.58,2955.33,970.52,1833.30,960.19,1634.20,2317.94,999.06,1239.64,1465.29,812.50,688.82,1052.51,1041.78,1107.24,1212.55,1194.40,1000.17,1586.11,1227.82,1612.43,1148.81,1064.02,1364.70,847.44,883.27
1902,1903.18,2955.33,981.40,1829.41,971.01,1640.73,2320.89,999.25,1254.62,1465.20,750.10,657.18,1083.95,1023.73,1107.19,1060.73,1182.75,956.87,1586.65,1193.84,1592.79,1146.78,1006.88,1364.69,820.20,868.04
1903,1915.51,2955.33,1009.98,1836.22,1011.71,1642.10,2330.28,1028.64,1261.92,1488.99,852.80,681.29,1107.80,1034.93,1107.24,1219.93,1200.06,1030.92,1593.35,1244.23,1610.73,1148.11,1046.08,1364.70,899.97,933.97
1904,1993.19,2955.33,1218.17,1884.97,1489.48,1706.55,2331.69,1499.47,1680.52,1434.64,1174.40,750.33,1526.04,1123.66,1107.21,1701.36,1252.91,1226.76,1773.25,1378.50,1602.59,1152.29,1383.27,1364.70,1312.83,1358.48
1905,1942.03,2955.33,1088.96,1858.57,1191.82,1669.30,2319.83,1218.06,1434.73,1435.72,953.90,704.71,1278.04,1068.36,1107.22,1387.94,1218.48,1091.93,1667.74,1289.04,1605.44,1149.62,1181.29,1364.70,1029.74,1074.06
1906,1878.21,2955.33,922.25,1815.26,800.90,1614.98,2319.10,853.83,1087.98,1476.43,729.60,653.80,928.24,998.44,1107.23,998.23,1175.86,952.42,1513.74,1196.03,1608.39,1146.91,914.93,1364.70,743.79,756.65
1907,1886.02,2955.33,935.88,1822.38,859.71,1623.90,2321.48,894.22,1143.12,1468.22,711.10,651.84,978.92,1004.21,1107.26,1000.91,1174.99,937.37,1536.51,1180.53,1620.40,1145.94,946.03,1364.70,749.48,782.86
1908,2007.86,2955.33,1252.35,1911.70,1504.43,1726.38,2343.75,1498.54,1756.98,1478.40,1019.20,699.68,1631.83,1100.87,1107.24,1538.77,1247.58,1144.81,1807.02,1326.95,1611.60,1150.15,1328.04,1364.70,1173.80,1269.43
1909,1908.92,2955.33,991.96,1836.82,970.34,1638.06,2329.29,964.55,1242.33,1496.43,765.60,660.49,1091.66,1018.43,1107.26,1127.51,1190.72,973.84,1578.17,1199.84,1620.28,1145.93,1000.71,1364.70,804.21,862.23
1910,1950.07,2955.33,1063.60,1867.89,1162.37,1675.87,2349.60,1209.31,1458.40,1546.17,820.40,668.90,1286.55,1055.61,1107.27,1180.17,1198.46,1000.54,1675.06,1231.84,1626.42,1148.86,1129.77,1364.70,940.63,998.75
