Variable:,pr
,Burundi,Bubanza,"Bujumbura Mairie","Bujumbura Rural",Bururi,Cankuzo,Cibitoke,Gitega,Karuzi,Kayanza,Kirundo,Makamba,Muramvya,Muyinga,Mwaro,Ngozi,Rutana,Ruyigi
1901,1132.42,1222.55,1189.80,1266.31,1235.13,929.24,1373.44,1223.18,1060.02,1287.17,1011.63,1092.94,1301.60,998.50,1277.32,1192.65,1035.12,1002.11
1902,1081.05,1202.94,1176.40,1258.62,1241.20,792.77,1353.96,1201.88,959.84,1224.38,895.53,1092.51,1253.60,867.16,1254.92,1091.58,1033.75,933.23
1903,1281.77,1251.25,1203.20,1305.01,1342.09,1224.77,1429.81,1367.86,1236.28,1368.45,1114.95,1303.72,1395.60,1120.60,1391.82,1272.32,1305.66,1251.88
1904,1158.41,1196.11,1167.50,1259.64,1282.08,1029.60,1328.71,1263.86,1093.61,1231.21,940.89,1181.11,1272.10,951.56,1292.52,1111.56,1170.04,1102.27
1905,1223.59,1255.44,1219.90,1297.43,1307.87,1122.34,1416.75,1317.13,1170.55,1316.77,1041.36,1220.07,1346.40,1047.23,1347.10,1209.67,1220.92,1172.35
1906,1164.27,1141.68,1109.10,1233.75,1283.82,1068.08,1222.88,1270.68,1113.21,1222.21,963.53,1203.65,1273.00,981.31,1295.35,1112.72,1192.70,1126.62
1907,1165.77,1187.93,1156.40,1253.85,1274.93,1036.89,1311.05,1262.29,1095.40,1252.00,993.35,1181.47,1282.20,992.76,1292.83,1150.40,1167.01,1099.34
1908,1175.70,1163.99,1131.90,1246.24,1286.80,1084.02,1255.85,1277.41,1118.87,1237.77,972.34,1214.76,1285.20,988.57,1301.58,1128.16,1207.23,1137.61
1909,1107.57,1155.74,1129.90,1227.19,1240.85,937.11,1262.31,1212.74,1021.40,1200.91,934.36,1113.75,1230.80,925.35,1247.36,1094.51,1099.01,1021.50
1910,1140.81,1198.68,1172.30,1258.10,1267.04,990.38,1337.03,1241.23,1053.58,1225.74,932.62,1166.07,1257.00,931.48,1272.28,1109.42,1148.11,1065.83
1911,1108.38,1101.47,1078.60,1215.14,1278.23,991.57,1151.32,1232.10,1031.52,1126.51,810.72,1220.41,1210.90,849.82,1252.84,978.59,1183.56,1073.32
1912,1280.04,1230.33,1186.20,1296.89,1345.21,1257.39,1359.10,1372.17,1257.77,1344.47,1100.34,1298.34,1390.50,1124.93,1393.75,1244.53,1305.81,1270.46
1913,1122.97,1065.42,1041.90,1197.62,1291.30,1059.56,1089.90,1242.62,1056.81,1098.35,807.47,1280.06,1198.10,859.96,1252.73,949.31,1239.13,1120.01
1914,1131.13,1120.27,1095.20,1219.75,1279.84,1023.96,1194.91,1238.11,1048.42,1154.61,874.22,1245.10,1220.80,897.04,1257.91,1024.17,1199.46,1089.15
1915,1198.69,1183.45,1150.40,1261.64,1306.24,1123.60,1287.85,1299.12,1142.55,1247.40,988.22,1251.24,1304.30,1008.06,1321.87,1129.88,1237.82,1165.96
1916,1174.54,1159.73,1127.30,1243.56,1292.18,1076.46,1262.28,1273.74,1105.54,1228.72,955.60,1248.48,1276.00,972.14,1296.55,1115.75,1219.12,1132.06
1917,1122.96,1100.05,1066.00,1173.55,1221.51,1040.12,1225.40,1203.04,1056.88,1175.67,946.61,1192.76,1206.00,952.56,1223.57,1084.35,1155.62,1078.78
1918,1046.24,1036.81,1015.50,1134.48,1195.76,939.72,1110.65,1138.38,961.26,1057.99,796.75,1182.21,1116.30,818.75,1155.56,939.00,1111.17,1001.12
1919,1150.32,1167.69,1136.20,1235.86,1269.24,1029.28,1302.83,1245.07,1073.71,1218.29,941.66,1214.36,1256.20,948.31,1273.33,1105.40,1168.44,1086.90
1920,1187.31,1164.62,1127.00,1234.93,1278.91,1119.54,1286.31,1283.22,1143.38,1249.73,984.50,1226.65,1295.40,1005.94,1305.72,1141.87,1219.69,1161.14
1921,989.14,938.08,909.80,1027.45,1102.66,924.12,1019.21,1065.25,926.96,1002.53,788.41,1110.94,1045.00,806.74,1076.97,911.26,1052.16,964.59
1922,936.50,946.63,909.00,944.17,935.94,905.87,1094.64,997.08,924.72,1040.07,863.86,876.05,1052.20,858.18,1022.69,974.73,911.53,911.18
1923,1210.61,1144.62,1103.50,1201.55,1274.91,1147.07,1268.61,1298.99,1152.88,1250.35,1018.68,1305.70,1290.70,1035.98,1306.68,1156.11,1316.34,1209.55
1924,1031.89,1044.06,1010.70,1081.88,1088.41,985.59,1154.90,1117.23,1014.59,1120.10,888.38,988.52,1157.30,901.22,1145.84,1025.88,1010.89,1003.89
1925,1256.54,1251.15,1210.70,1326.20,1366.90,1164.08,1394.91,1367.08,1192.39,1335.03,1036.99,1288.19,1383.50,1049.96,1395.97,1211.29,1284.20,1211.22
1926,1210.22,1197.34,1153.60,1246.03,1264.70,1156.69,1346.94,1295.77,1192.34,1307.78,1064.66,1189.45,1338.40,1077.35,1326.46,1215.88,1189.52,1176.31
1927,1150.04,1134.13,1100.50,1195.32,1232.58,1088.92,1244.51,1243.34,1113.74,1207.20,967.76,1167.16,1250.70,985.07,1263.26,1106.10,1181.18,1131.18
1928,934.12,916.11,884.20,957.01,975.65,882.48,1032.39,994.59,906.66,993.03,857.49,916.83,1014.30,858.34,1013.55,936.12,933.55,904.50
1929,1137.33,1125.88,1086.70,1180.87,1210.00,1066.03,1263.78,1224.78,1094.50,1218.80,992.02,1135.88,1251.10,998.37,1251.80,1128.03,1136.51,1095.95
1930,1385.16,1371.39,1314.20,1414.47,1436.18,1330.87,1606.96,1477.82,1332.00,1515.02,1233.60,1345.78,1522.20,1229.39,1510.56,1423.15,1374.43,1336.50
1931,1178.62,1158.07,1121.90,1223.90,1269.65,1117.60,1262.77,1280.94,1143.74,1238.61,970.40,1218.14,1294.70,991.27,1304.71,1119.65,1209.13,1157.78
1932,1220.93,1212.76,1171.60,1288.86,1337.48,1074.54,1333.48,1350.52,1190.87,1289.63,969.92,1276.07,1372.10,999.18,1377.85,1135.83,1267.63,1198.71
1933,1070.08,1080.18,1048.50,1127.17,1148.30,1002.02,1214.56,1154.76,1020.39,1138.91,914.88,1065.97,1167.80,923.36,1179.44,1050.70,1075.05,1027.46
1934,1076.83,1040.12,996.20,1095.63,1138.28,1019.02,1191.53,1160.06,1043.51,1153.33,939.98,1083.73,1179.90,948.66,1183.90,1072.32,1084.91,1045.76
1935,1121.41,1110.61,1069.80,1158.77,1193.27,1022.88,1263.61,1211.90,1079.76,1207.02,962.21,1136.62,1233.20,966.17,1236.36,1113.28,1138.86,1085.02
1936,1283.99,1276.71,1234.10,1317.25,1343.84,1215.12,1453.48,1371.09,1245.14,1365.20,1131.98,1279.84,1394.60,1135.88,1395.04,1269.95,1297.31,1253.18
1937,1473.60,1470.26,1420.10,1510.32,1530.78,1397.95,1648.32,1578.34,1434.64,1595.70,1285.32,1454.21,1627.00,1301.01,1610.66,1485.95,1478.15,1436.75
1938,1045.17,1032.40,996.10,1072.96,1104.03,978.26,1176.80,1117.51,1008.13,1115.95,913.83,1061.54,1135.20,916.64,1139.42,1038.96,1051.22,1009.76
1939,1133.80,1123.11,1094.60,1178.63,1207.22,1045.04,1208.57,1215.28,1106.71,1184.00,966.56,1175.90,1229.20,984.16,1232.71,1089.52,1168.74,1117.35
1940,1196.68,1174.31,1134.60,1218.71,1249.89,1151.81,1299.23,1287.34,1175.66,1270.32,1026.25,1193.50,1313.10,1048.02,1307.92,1171.13,1225.78,1188.45
1941,1336.03,1346.16,1307.50,1368.40,1373.85,1271.32,1513.58,1412.47,1301.28,1432.46,1200.99,1302.45,1445.00,1204.90,1434.77,1353.70,1345.97,1308.77
1942,1162.51,1194.00,1163.40,1210.91,1206.39,1062.30,1334.21,1232.73,1133.27,1249.66,1019.35,1158.36,1270.20,1027.70,1254.43,1165.11,1169.74,1132.87
1943,998.24,994.70,964.00,1043.80,1067.84,954.87,1115.04,1074.91,955.13,1053.16,829.65,1016.09,1087.50,843.49,1093.47,961.72,1023.81,975.66
1944,1177.55,1158.92,1118.20,1209.42,1238.00,1135.72,1296.71,1266.96,1134.44,1267.44,1013.11,1156.67,1289.50,1033.01,1290.91,1185.20,1194.13,1148.46
1945,1100.21,1114.98,1085.90,1159.07,1173.92,1001.39,1217.26,1183.50,1047.70,1175.19,939.18,1129.32,1211.10,941.48,1207.46,1076.60,1122.23,1059.46
1946,1215.23,1214.43,1181.20,1261.29,1296.14,1123.63,1321.21,1311.24,1178.12,1290.42,993.71,1263.06,1330.20,1023.11,1333.49,1182.75,1252.32,1192.38
1947,1245.45,1235.00,1194.60,1287.44,1312.20,1190.78,1380.90,1335.71,1205.05,1328.04,1085.54,1236.64,1361.90,1092.24,1361.20,1229.73,1256.41,1214.76
1948,1067.37,1064.20,1031.60,1106.66,1130.40,1026.37,1165.81,1154.64,1030.60,1135.45,890.07,1087.60,1181.60,896.86,1176.86,1026.40,1094.63,1049.64
1949,1083.81,1092.92,1061.40,1144.48,1170.98,969.72,1197.61,1175.93,1028.06,1159.05,896.24,1129.20,1202.00,908.60,1201.17,1052.57,1113.06,1041.28
1950,1208.88,1211.60,1181.40,1275.70,1298.64,1129.69,1289.29,1307.69,1177.46,1274.16,996.11,1247.44,1335.60,1015.58,1332.57,1148.88,1236.46,1188.54
1951,1353.40,1292.60,1250.10,1342.30,1375.74,1381.93,1436.88,1424.22,1360.92,1400.57,1212.75,1314.96,1430.40,1241.05,1430.80,1328.31,1399.77,1388.62
1952,1018.91,986.31,952.60,1045.60,1084.71,967.20,1091.85,1092.35,975.70,1076.29,862.21,1053.41,1101.60,885.25,1109.59,1004.21,1050.34,994.12
1953,1207.73,1188.20,1145.60,1245.02,1287.53,1118.51,1347.87,1300.77,1144.66,1295.10,1053.20,1218.48,1314.00,1057.11,1326.60,1211.06,1226.06,1158.20
1954,1052.51,1009.94,976.60,1074.40,1120.09,1003.07,1139.24,1116.25,999.85,1086.40,921.86,1096.33,1107.30,927.64,1126.58,1021.52,1101.81,1032.23
1955,1171.76,1152.17,1107.70,1205.44,1249.96,1051.57,1320.62,1266.79,1132.71,1256.98,1027.31,1184.61,1284.40,1029.70,1293.31,1166.46,1182.24,1128.27
1956,1156.23,1181.41,1144.60,1184.91,1174.42,1051.61,1357.04,1216.09,1140.09,1264.60,1059.99,1116.71,1261.40,1059.06,1238.43,1204.36,1143.75,1124.92
1957,1259.81,1240.13,1200.90,1275.63,1298.58,1210.36,1388.82,1336.85,1241.24,1325.80,1105.50,1258.15,1359.10,1120.40,1350.89,1235.90,1302.12,1262.30
1958,1071.25,1064.94,1031.90,1091.45,1109.02,991.62,1218.96,1131.54,1048.39,1131.83,974.30,1056.48,1142.60,980.69,1145.41,1076.52,1088.48,1052.03
1959,1172.10,1161.00,1118.10,1217.01,1245.96,1072.95,1299.75,1271.59,1129.81,1255.88,994.60,1192.60,1310.90,1006.62,1298.30,1138.51,1200.24,1140.68
1960,1086.78,1079.87,1047.10,1128.55,1169.06,1010.27,1194.34,1178.08,1041.84,1154.28,904.00,1116.05,1186.50,917.11,1199.81,1057.94,1114.14,1056.62
1961,1291.16,1221.76,1167.60,1296.79,1363.43,1277.65,1394.97,1392.50,1246.60,1364.81,1101.58,1315.98,1404.40,1108.07,1413.31,1255.07,1337.96,1280.74
1962,1363.64,1377.79,1322.60,1460.15,1484.74,1181.82,1627.15,1471.31,1252.44,1504.12,1166.13,1394.24,1509.00,1147.51,1511.42,1392.78,1364.94,1261.34
1963,1491.65,1529.06,1491.00,1531.56,1526.13,1393.98,1662.95,1589.25,1464.50,1608.44,1341.61,1461.97,1654.60,1351.18,1623.95,1496.32,1483.01,1451.06
1964,1195.78,1169.44,1130.60,1211.27,1252.01,1157.08,1290.95,1286.16,1155.76,1262.66,1033.60,1210.89,1306.00,1044.93,1306.53,1164.09,1232.64,1179.59
1965,1181.77,1200.88,1158.80,1227.85,1226.26,1146.78,1333.51,1272.53,1146.25,1304.32,1009.34,1151.89,1347.20,1027.38,1309.79,1191.50,1154.08,1139.16
1966,1229.61,1244.72,1207.80,1304.49,1324.55,1170.22,1367.58,1333.18,1172.12,1325.52,1026.64,1232.93,1371.10,1036.74,1368.38,1204.05,1220.15,1176.68
1967,1325.51,1338.02,1300.50,1418.53,1432.06,1233.22,1440.51,1436.46,1275.48,1428.40,1102.75,1329.00,1482.50,1138.06,1475.12,1307.21,1312.34,1266.62
1968,1351.36,1358.70,1311.80,1408.84,1431.30,1246.84,1500.10,1471.39,1312.51,1470.20,1138.23,1352.45,1528.50,1152.62,1508.17,1330.76,1358.24,1311.00
1969,1130.74,1126.39,1091.20,1162.03,1180.62,1079.55,1258.02,1212.92,1116.14,1202.23,980.59,1109.77,1234.90,995.36,1232.92,1112.81,1144.97,1119.79
