Variable:,pr
,Mexico,Aguascalientes,"Baja California","Baja California Sur",Campeche,Chiapas,Chihuahua,Coahuila,Colima,"Distrito Federal",Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,"Nuevo Leon",Oaxaca,Puebla,Queretaro,"Quintana Roo","San Luis Potosi",Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
1901,704.18,529.92,161.76,185.60,1196.14,1929.68,365.08,226.67,1050.90,870.86,667.14,523.58,943.39,886.03,924.13,816.15,868.19,767.33,1371.28,313.78,1214.03,882.19,563.21,1108.57,581.15,899.59,356.12,2210.24,507.38,648.17,1597.04,899.98,474.56
1902,672.79,521.51,168.53,181.27,975.29,1929.44,503.76,255.62,1054.18,901.21,441.88,525.87,974.76,902.71,861.07,854.27,884.24,819.02,810.45,313.72,1256.50,915.04,584.89,866.26,551.78,604.39,339.12,2202.08,489.33,677.85,1633.10,574.76,396.61
1903,710.58,508.78,112.45,184.17,907.09,1857.55,399.83,340.29,1032.01,1039.48,652.14,587.75,1053.21,1030.89,899.35,977.07,949.55,948.11,1247.44,552.72,1183.87,1028.83,668.68,792.19,636.76,812.00,320.49,2098.53,705.67,801.39,1624.37,491.84,474.53
1904,749.24,574.33,128.38,184.02,1074.37,1964.64,392.74,311.75,1104.12,1235.71,523.17,723.49,1116.35,1248.17,951.47,1183.09,1070.52,1068.27,1030.48,504.19,1332.35,1210.65,803.07,987.41,723.59,703.48,330.90,2255.02,691.08,961.37,1862.82,702.40,448.58
1905,789.48,594.25,287.67,185.30,1235.08,1838.69,522.33,326.51,1076.06,1114.85,679.56,703.52,1061.72,1199.61,950.56,1074.39,1056.07,993.90,1170.58,471.79,1146.24,1126.51,768.60,1194.28,727.26,889.13,476.60,2083.82,664.55,865.83,1717.59,988.40,473.92
1906,762.71,574.74,243.67,181.88,1097.84,1968.51,500.20,351.82,1125.99,1054.98,513.04,651.51,1028.68,1204.53,924.84,1004.48,1024.52,887.84,902.04,498.69,1296.80,1140.48,739.71,1015.71,700.95,707.62,407.97,2255.03,650.42,830.89,1879.98,759.69,460.76
1907,714.19,483.55,151.10,186.12,1282.15,2003.57,352.89,244.64,991.05,907.31,521.68,514.61,943.67,965.73,856.99,853.04,831.06,776.82,1253.14,335.20,1302.54,988.74,584.13,1258.68,551.18,772.61,417.23,2308.98,505.46,726.33,1738.15,1033.10,431.95
1908,688.36,466.69,188.05,181.36,1148.02,1902.68,356.41,258.71,1018.93,1073.06,444.24,551.64,1004.28,997.90,848.21,963.45,869.02,905.98,1037.98,392.99,1256.18,1037.55,632.72,1039.28,566.58,616.70,385.21,2170.62,547.75,821.57,1663.49,816.36,403.58
1909,648.38,378.16,212.30,179.97,1263.69,1929.76,287.49,234.39,945.49,848.32,402.09,438.81,884.53,781.87,748.38,763.17,756.36,731.93,866.28,391.40,1204.46,852.90,486.86,1205.80,459.30,534.63,384.45,2213.53,538.85,651.86,1534.12,1020.17,368.11
1910,667.97,456.83,148.99,181.02,1275.99,2052.76,260.93,175.43,1028.96,927.81,430.62,512.35,946.29,809.66,844.01,848.44,856.73,817.73,966.26,374.35,1303.02,846.35,547.45,1248.08,505.23,574.70,334.62,2382.21,558.19,670.59,1603.86,1022.77,394.13
